,Name,Mileage,Price
0,2007 Chevrolet Uplander 4dr Ext WB LT w/1LT,"64,476 mi.","$6,999"
1,2007 Chevrolet Uplander LS Fleet,"70,704 mi.","$6,998"
2,2007 Chevrolet Uplander LT 3ROW SEATING ONLY 71K LOW MILES DUAL POWER DOOR,"71,146 mi.","$5,995"
3,2008 Chevrolet Uplander LS,"53,000 mi.","$7,495"
4,2008 Chevrolet Uplander LS,"70,195 mi.","$5,991"
5,2008 Chevrolet Uplander Cargo Van,"53,086 mi.","$8,995"
6,2008 Chevrolet Uplander LT w/1LT,"137,721 mi.","$4,999"
7,2008 Chevrolet Uplander LS,"110,752 mi.","$7,999"
8,2008 Chevrolet Uplander LT w/1LT,"199,742 mi.","$3,495"
9,2008 Chevrolet Uplander LT w/1LT,"156,215 mi.","$4,499"
10,2008 Chevrolet Uplander LT,"105,696 mi.","$5,950"
11,2006 Chevrolet Uplander LS Fleet,"72,309 mi.","$6,999"
12,2006 Chevrolet Uplander LS,"197,151 mi.","$2,500"
13,2005 Chevrolet Uplander LS,"131,298 mi.","$2,999"
14,2005 Chevrolet Uplander Base,"168,266 mi.","$3,995"
15,2008 Chevrolet Uplander LS,"139,357 mi.","$3,799"
16,2006 Chevrolet Uplander LS Fleet,"127,987 mi.","$3,913"
17,2008 Chevrolet Uplander LS 4dr Extended Mini Van,"76,993 mi.","$6,995"
18,2008 Chevrolet Uplander LS,"149,000 mi.","$4,500"
19,2008 Chevrolet Uplander LS,"174,947 mi.","$3,495"
20,2008 Chevrolet Uplander LS,"96,773 mi.","$4,995"
21,2008 Chevrolet Uplander LS,"101,832 mi.","$6,995"
22,2008 Chevrolet Uplander LT,"136,251 mi.","$4,900"
23,2007 Chevrolet Uplander LT w/1LT,"137,547 mi.","$4,900"
24,2006 Chevrolet Uplander LS,"179,267 mi.","$2,500"
25,2007 Chevrolet Uplander LT,"195,075 mi.","$4,595"
26,2008 Chevrolet Uplander LT,"137,292 mi.","$4,500"
27,2007 Chevrolet Uplander 4DR EXT WB LT W/1LT,"150,186 mi.","$4,000"
28,2007 Chevrolet Uplander LT,"103,016 mi.","$3,499"
29,2008 Chevrolet Uplander LT,"125,975 mi.","$4,485"
30,2008 Chevrolet Uplander LT w/1LT,"150,926 mi.","$2,990"
31,2008 Chevrolet Uplander LS,"106,834 mi.","$5,000"
32,2008 Chevrolet Uplander LT,"88,214 mi.","$6,500"
33,2005 Chevrolet Uplander LS,"83,230 mi.","$5,997"
34,2007 Chevrolet Uplander LS Fleet,"55,975 mi.","$7,495"
35,2008 Chevrolet Uplander Cargo 4dr Extended Mini Van,"104,667 mi.","$9,995"
36,2008 Chevrolet Uplander LS,"69,915 mi.","$5,995"
37,2006 Chevrolet Uplander,"137,846 mi.","$2,995"
38,2006 Chevrolet Uplander LS Fleet,"202,000 mi.","$3,000"
39,2007 Chevrolet Uplander LS,"116,145 mi.","$4,695"
40,2008 Chevrolet Uplander LS,"158,834 mi.","$3,900"
41,2006 Chevrolet Uplander Cargo Van,"67,837 mi.","$8,995"
42,2008 Chevrolet Uplander LS,"107,129 mi.","$3,995"
43,2006 Chevrolet Uplander LS,"143,387 mi.","$3,300"
44,2008 Chevrolet Uplander Cargo Van,"142,461 mi.","$7,499"
45,2008 Chevrolet Uplander LT,"46,151 mi.","$10,745"
46,2005 Chevrolet Uplander LS,"133,144 mi.","$3,995"
47,2008 Chevrolet Uplander Cargo Van,"89,548 mi.","$6,996"
48,2007 Chevrolet Uplander LS,"130,544 mi.","$3,299"
49,2006 Chevrolet Uplander LT,"131,897 mi.","$4,900"
50,2007 Chevrolet Uplander LT,"91,439 mi.","$3,999"
51,2008 Chevrolet Uplander Cargo Van,"81,899 mi.","$10,995"
52,2008 Chevrolet Uplander LS,"81,899 mi.","$10,995"
53,2008 Chevrolet Uplander LT w/1LT,"146,457 mi.","$3,995"
54,2005 Chevrolet Uplander LS,"153,332 mi.","$3,990"
55,2007 Chevrolet Uplander LS,"158,006 mi.","$3,999"
56,2008 Chevrolet Uplander LS,"74,376 mi.","$6,990"
57,2008 Chevrolet Uplander LT w/1LT,"99,155 mi.","$5,995"
58,2006 Chevrolet Uplander LT,"178,349 mi.","$3,189"
59,2006 Chevrolet Uplander LS Fleet,"90,389 mi.","$2,999"
60,2008 Chevrolet Uplander LS,"202,199 mi.","$2,750"
61,2007 Chevrolet Uplander LS Fleet,"159,131 mi.","$2,099"
62,2007 Chevrolet Uplander LS,"140,000 mi.","$3,788"
63,2008 Chevrolet Uplander LS,"124,000 mi.","$3,990"
64,2008 Chevrolet Uplander LS,"88,772 mi.","$5,975"
65,"2007 Chevrolet Uplander 121"" WB","176,118 mi.","$2,495"
66,2007 Chevrolet Uplander LS,"127,919 mi.","$3,900"
67,2005 Chevrolet Uplander Base,"134,228 mi.","$2,999"
68,2008 Chevrolet Uplander LS,"169,677 mi.","$4,995"
69,2007 Chevrolet Uplander LS Fleet,"170,126 mi.","$2,650"
70,2008 Chevrolet Uplander LS,"132,470 mi.","$3,795"
71,2008 Chevrolet Uplander LS,"136,261 mi.","$2,999"
72,2007 Chevrolet Uplander LS Fleet,"135,597 mi.","$6,295"
73,2006 Chevrolet Uplander Wheelchair Handicap Van,"58,779 mi.","$16,987"
74,2006 Chevrolet Uplander LT w/2LT,"95,295 mi.","$5,995"
75,2006 Chevrolet Uplander LS,"227,263 mi.","$2,991"
76,2008 Chevrolet Uplander LT,"55,000 mi.","$6,995"
77,2008 Chevrolet Uplander LT,"139,836 mi.","$7,995"
78,2008 Chevrolet Uplander LT,"146,434 mi.","$4,999"
79,2007 Chevrolet Uplander LS,"87,951 mi.","$6,500"
80,2005 Chevrolet Uplander Base,"272,541 mi.","$1,333"
81,2008 Chevrolet Uplander LS,"80,116 mi.","$5,995"
82,2008 Chevrolet Uplander Cargo Van,"58,493 mi.","$10,995"
83,2006 Chevrolet Uplander Cargo 4dr Extended Mini Van,"58,779 mi.","$16,987"
84,2006 Chevrolet Uplander LT w/3LT,"132,236 mi.","$5,447"
85,2007 Chevrolet Uplander LS,"132,243 mi.","$3,995"
86,2005 Chevrolet Uplander Cargo Van,"45,451 mi.","$9,995"
87,2007 Chevrolet Uplander LT,"107,662 mi.","$5,900"
88,2008 Chevrolet Uplander LS,"143,936 mi.","$4,543"
89,2008 Chevrolet Uplander LS,"76,902 mi.","$6,990"
90,2005 Chevrolet Uplander LT,"92,779 mi.","$4,395"
91,2007 Chevrolet Uplander LS Fleet,"119,305 mi.","$9,995"
92,2007 Chevrolet Uplander LT w/2LT,"134,472 mi.","$4,980"
93,2008 Chevrolet Uplander LT w/1LT,"127,926 mi.","$4,981"
94,2008 Chevrolet Uplander LS,"49,226 mi.","$7,250"
95,2005 Chevrolet Uplander LT,"148,022 mi.","$3,997"
96,2007 Chevrolet Uplander LS,"96,918 mi.","$4,995"
97,2005 Chevrolet Uplander LT,"135,000 mi.","$2,990"
98,2008 Chevrolet Uplander LS,"218,766 mi.","$5,983"
99,2008 Chevrolet Uplander Cargo Van,"106,964 mi.","$5,400"
100,2007 Chevrolet Uplander LT w/1LT,"148,397 mi.","$4,990"
101,2006 Chevrolet Uplander LS,"152,769 mi.","$3,500"
102,2007 Chevrolet Uplander,"86,590 mi.","$7,995"
103,2007 Chevrolet Uplander LT,"185,433 mi.","$3,998"
104,2007 Chevrolet Uplander LS,"228,187 mi.","$2,295"
105,2007 Chevrolet Uplander LS,"79,149 mi.","$6,995"
106,2008 Chevrolet Uplander Cargo 4dr Extended Mini Van,"54,726 mi.","$15,999"
107,2008 Chevrolet Uplander LS,"195,955 mi.","$2,999"
108,2008 Chevrolet Uplander LT,"167,000 mi.","$3,500"
109,2008 Chevrolet Uplander LS,"143,002 mi.","$3,950"
110,2007 Chevrolet Uplander LS Fleet,"86,504 mi.","$7,980"
111,2008 Chevrolet Uplander LS,"196,890 mi.","$4,977"
112,2005 Chevrolet Uplander LS,"159,475 mi.","$2,900"
113,2007 Chevrolet Uplander LT w/2LT,"105,005 mi.","$4,999"
114,2008 Chevrolet Uplander LS Fleet,"231,522 mi.","$7,450"
115,2008 Chevrolet Uplander LS,"86,134 mi.","$5,495"
