,Name,Mileage,Price
0,2001 Chevrolet Venture LS 1SC Pkg,"158,417 mi.","$1,388"
1,2004 Chevrolet Venture LT,"203,799 mi.","$2,641"
2,2004 Chevrolet Venture LT,"243,249 mi.","$1,984"
3,2000 Chevrolet Venture LS,"43,443 mi.","$4,995"
4,2005 Chevrolet Venture LS,"277,743 mi.","$1,726"
5,2003 Chevrolet Venture LS,"166,589 mi.","$2,454"
6,2004 Chevrolet Venture LT,"179,141 mi.","$1,800"
7,1999 Chevrolet Venture,"150,000 mi.","$1,695"
8,2004 Chevrolet Venture Plus,"115,363 mi.","$3,489"
9,2004 Chevrolet Venture LS,"185,291 mi.","$2,110"
10,2004 Chevrolet Venture,"89,540 mi.","$4,770"
11,2001 Chevrolet Venture Warner Bros. Edition,"182,606 mi.","$1,881"
12,2005 Chevrolet Venture LT,"113,553 mi.","$3,948"
13,2003 Chevrolet Venture LT,"152,204 mi.","$2,995"
14,2003 Chevrolet Venture Cargo,"219,571 mi.","$1,500"
15,2002 Chevrolet Venture LT,"98,249 mi.","$5,995"
16,2004 Chevrolet Venture LS,"83,313 mi.","$8,999"
17,2003 Chevrolet Venture LT,"263,192 mi.","$3,990"
18,1998 Chevrolet Venture,"129,666 mi.","$2,800"
19,2005 Chevrolet Venture LS,"63,121 mi.","$5,501"
20,2005 Chevrolet Venture LS,"130,644 mi.","$2,999"
21,2003 Chevrolet Venture LT,"62,751 mi.","$5,931"
22,1998 Chevrolet Venture LS,"139,138 mi.","$2,495"
23,1999 Chevrolet Venture,"158,248 mi.","$1,995"
24,2005 Chevrolet Venture LS,"184,049 mi.","$1,850"
25,2004 Chevrolet Venture LS,"167,608 mi.","$2,500"
26,2002 Chevrolet Venture LT,"161,145 mi.","$3,433"
27,2003 Chevrolet Venture Warner Bros. Edition,"95,543 mi.","$4,995"
28,2004 Chevrolet Venture LT,"177,953 mi.","$2,995"
29,2000 Chevrolet Venture Plus,"189,321 mi.","$1,995"
30,2005 Chevrolet Venture LS,"132,136 mi.","$2,995"
31,2005 Chevrolet Venture Plus,"187,677 mi.","$2,999"
32,1999 Chevrolet Venture Base,"115,219 mi.","$3,488"
33,2004 Chevrolet Venture LS,"212,021 mi.","$1,135"
34,2005 Chevrolet Venture LS,"119,071 mi.","$6,990"
35,1999 Chevrolet Venture Base,"142,944 mi.","$1,500"
36,2004 Chevrolet Venture LS,"112,118 mi.","$2,795"
37,2003 Chevrolet Venture LS,"197,857 mi.","$1,950"
38,2005 Chevrolet Venture LS,"129,875 mi.","$4,900"
39,2000 Chevrolet Venture LS,"189,433 mi.","$1,999"
40,2005 Chevrolet Venture LT,"229,507 mi.","$1,500"
41,2004 Chevrolet Venture LS,"154,330 mi.","$3,399"
42,1997 Chevrolet Venture Base,"72,989 mi.","$4,000"
43,2000 Chevrolet Venture LS,"224,871 mi.","$2,600"
44,2002 Chevrolet Venture Plus,"102,000 mi.","$3,988"
45,1999 Chevrolet Venture,"129,964 mi.","$2,499"
46,2004 Chevrolet Venture,"135,402 mi.","$3,500"
47,1997 Chevrolet Venture LS,"156,758 mi.","$1,999"
48,2002 Chevrolet Venture LT,"155,278 mi.","$2,995"
49,2004 Chevrolet Venture,"194,785 mi.","$1,995"
50,1999 Chevrolet Venture,"120,310 mi.","$2,900"
51,1999 Chevrolet Venture,"136,077 mi.","$2,999"
52,1999 Chevrolet Venture Base,"83,087 mi.","$2,788"
53,2004 Chevrolet Venture,"182,330 mi.","$4,997"
54,2004 Chevrolet Venture Warner Bros. Edition,"185,861 mi.","$3,990"
55,2005 Chevrolet Venture LS,"232,809 mi.","$3,999"
56,2004 Chevrolet Venture LS,"210,540 mi.","$2,195"
57,2002 Chevrolet Venture LS,"171,445 mi.","$3,100"
58,1997 Chevrolet Venture Warner Bros. Edition,"119,519 mi.","$1,500"
59,1999 Chevrolet Venture Base,"116,657 mi.","$1,995"
60,1999 Chevrolet Venture LT,"94,927 mi.","$3,195"
61,2002 Chevrolet Venture,"352,000 mi.","$1,400"
62,2001 Chevrolet Venture LS,"189,000 mi.","$3,000"
63,2000 Chevrolet Venture Warner Bros. Edition,"106,235 mi.","$2,789"
64,2004 Chevrolet Venture LS,"137,007 mi.",Not Priced
65,1998 Chevrolet Venture Base,"111,414 mi.","$1,994"
66,2004 Chevrolet Venture LT,1 mi.,Not Priced
67,2000 Chevrolet Venture Plus,0 mi.,"$2,495"
68,2005 Chevrolet Venture LS,"119,071 mi.","$6,990"
69,2000 Chevrolet Venture LS,"198,573 mi.",Not Priced
70,2003 Chevrolet Venture LT,"189,250 mi.",Not Priced
