,Name,Mileage,Price
0,2012 Chrysler 300 Limited,"110,796 mi.","$8,950"
1,2018 Chrysler 300 Limited,"36,308 mi.","$21,588"
2,2018 Chrysler 300 Limited,"39,534 mi.","$19,866"
3,2015 Chrysler 300 Limited,"48,321 mi.","$22,380"
4,2017 Chrysler 300 Limited,"34,751 mi.","$18,850"
5,2015 Chrysler 300 Limited,"55,512 mi.","$17,509"
6,2018 Chrysler 300 Limited,"20,592 mi.","$23,999"
7,2018 Chrysler 300 Touring,"12,825 mi.","$20,488"
8,2013 Chrysler 300 S,"94,029 mi.","$13,892"
9,2017 Chrysler 300 Limited,"7,172 mi.","$20,400"
10,2012 Chrysler 300 300C Luxury Series,"74,632 mi.","$15,488"
11,2018 Chrysler 300 S,"17,589 mi.","$24,912"
12,2018 Chrysler 300 Limited,"12,891 mi.","$23,989"
13,2014 Chrysler 300 S,"36,860 mi.","$18,984"
14,2012 Chrysler 300 SRT-8,"49,604 mi.","$24,999"
15,2015 Chrysler 300 Limited,"71,191 mi.","$13,987"
16,2012 Chrysler 300,"106,056 mi.","$8,991"
17,2016 Chrysler 300 S,"40,369 mi.","$16,999"
18,2015 Chrysler 300 S,"10,101 mi.","$17,299"
19,2016 Chrysler 300 S,"30,738 mi.","$18,099"
20,2018 Chrysler 300 S,"13,529 mi.","$24,210"
21,2018 Chrysler 300 S,"8,726 mi.","$26,900"
22,2014 Chrysler 300 S,"54,270 mi.","$14,500"
23,2018 Chrysler 300 Touring,"26,360 mi.","$17,999"
24,2016 Chrysler 300 S,"30,738 mi.","$18,099"
25,2015 Chrysler 300 Limited,"31,798 mi.","$15,799"
26,2011 Chrysler 300 300C,"91,146 mi.","$13,500"
27,2017 Chrysler 300 Limited,"31,597 mi.","$19,000"
28,2018 Chrysler 300 Limited,"19,289 mi.","$18,294"
29,2017 Chrysler 300 S,"24,283 mi.","$21,792"
30,2017 Chrysler 300 Limited,"5,924 mi.","$25,569"
31,2011 Chrysler 300 Base,"117,227 mi.","$9,336"
32,2013 Chrysler 300 Base,"75,585 mi.","$12,521"
33,2017 Chrysler 300 S,"10,905 mi.","$25,495"
34,2014 Chrysler 300 S,"55,996 mi.","$22,997"
35,2015 Chrysler 300 S,"30,656 mi.","$21,962"
