,Name,Mileage,Price
0,2007 Chrysler Aspen Limited,"162,856 mi.","$5,699"
1,2009 Chrysler Aspen Limited,"101,031 mi.","$10,757"
2,2007 Chrysler Aspen Limited,"166,225 mi.","$5,288"
3,2008 Chrysler Aspen Limited,"132,153 mi.","$9,250"
4,2009 Chrysler Aspen Limited,"136,544 mi.","$10,294"
5,2008 Chrysler Aspen Limited,"135,233 mi.","$11,999"
6,2008 Chrysler Aspen Limited,"100,804 mi.","$10,185"
7,2008 Chrysler Aspen Limited,"112,457 mi.","$9,750"
8,2009 Chrysler Aspen Limited 2WD,"91,505 mi.","$11,500"
9,2008 Chrysler Aspen Limited,"137,669 mi.","$9,950"
10,2009 Chrysler Aspen Limited,"97,233 mi.","$9,900"
11,2007 Chrysler Aspen Limited,"130,576 mi.","$6,850"
12,2008 Chrysler Aspen Limited,"131,140 mi.","$10,495"
13,2008 Chrysler Aspen Limited,"111,000 mi.","$10,898"
14,2008 Chrysler Aspen Limited,"99,921 mi.","$8,977"
15,2007 Chrysler Aspen Limited,"154,000 mi.","$7,495"
16,2007 Chrysler Aspen Limited,"184,808 mi.","$7,988"
17,2007 Chrysler Aspen Limited,"189,579 mi.","$5,990"
18,2008 Chrysler Aspen Limited,"112,127 mi.","$13,970"
19,2008 Chrysler Aspen Limited,"108,000 mi.","$8,995"
20,2008 Chrysler Aspen Limited,"119,465 mi.","$11,952"
21,2008 Chrysler Aspen Limited,"161,431 mi.","$9,984"
22,2009 Chrysler Aspen Limited,"136,999 mi.","$9,404"
23,2008 Chrysler Aspen Limited,"51,218 mi.","$16,900"
24,2008 Chrysler Aspen Limited,"141,814 mi.","$7,997"
25,2008 Chrysler Aspen Limited,"146,045 mi.","$6,500"
26,2007 Chrysler Aspen Limited,"100,638 mi.","$8,288"
27,2009 Chrysler Aspen Limited,"115,299 mi.","$10,598"
28,2008 Chrysler Aspen Limited,"165,830 mi.","$8,988"
29,2007 Chrysler Aspen Limited,"156,778 mi.","$6,995"
30,2008 Chrysler Aspen Limited,"142,638 mi.","$9,577"
31,2007 Chrysler Aspen Limited,"169,044 mi.","$6,995"
32,2008 Chrysler Aspen Limited 4x4 4dr SUV,"125,098 mi.","$8,950"
33,2007 Chrysler Aspen Limited,"193,843 mi.","$3,495"
34,2007 Chrysler Aspen Limited,"138,363 mi.","$6,495"
35,2007 Chrysler Aspen Limited,"136,491 mi.","$6,995"
36,2008 Chrysler Aspen Limited,"129,898 mi.","$6,990"
37,2008 Chrysler Aspen Limited,"116,879 mi.","$8,198"
38,2007 Chrysler Aspen Limited,"98,693 mi.","$8,985"
39,2009 Chrysler Aspen Limited,"147,330 mi.","$6,995"
40,2008 Chrysler Aspen Limited,"161,987 mi.","$8,995"
41,2008 Chrysler Aspen Limited,"140,000 mi.","$7,959"
42,2008 Chrysler Aspen Limited,"108,430 mi.","$8,975"
43,2007 Chrysler Aspen Limited,"106,886 mi.","$5,600"
44,2007 Chrysler Aspen Limited,"150,063 mi.","$4,533"
45,2008 Chrysler Aspen Limited,"149,065 mi.","$9,000"
46,2007 Chrysler Aspen Limited,"124,725 mi.","$6,750"
47,2008 Chrysler Aspen Limited,"147,346 mi.","$8,995"
48,2007 Chrysler Aspen Limited,"182,336 mi.","$6,989"
49,2008 Chrysler Aspen Limited,"128,083 mi.","$8,695"
50,2008 Chrysler Aspen Limited,"117,383 mi.","$9,997"
51,2007 Chrysler Aspen Limited,"136,280 mi.","$8,500"
52,2008 Chrysler Aspen Limited,"140,740 mi.","$7,995"
53,2008 Chrysler Aspen Limited,"97,596 mi.","$9,500"
54,2007 Chrysler Aspen Limited,"117,433 mi.","$8,995"
55,2008 Chrysler Aspen Limited,"144,353 mi.","$4,499"
56,2008 Chrysler Aspen Limited,"142,295 mi.","$5,099"
57,2007 Chrysler Aspen Limited,"99,598 mi.","$7,250"
58,2008 Chrysler Aspen Limited,"93,965 mi.","$7,995"
59,2007 Chrysler Aspen Limited,"108,050 mi.","$9,995"
60,2008 Chrysler Aspen Limited,"126,484 mi.","$8,990"
61,2007 Chrysler Aspen Limited,"107,860 mi.","$7,950"
62,2008 Chrysler Aspen Limited,"99,170 mi.","$11,998"
63,2008 Chrysler Aspen Limited 4x4 4dr SUV,"114,672 mi.","$7,799"
64,2007 Chrysler Aspen Limited,"166,428 mi.","$7,495"
