,Name,Mileage,Price
0,1990 Chrysler LeBaron GTC,"10,547 mi.","$13,995"
1,1983 Chrysler LeBaron,"54,342 mi.","$9,895"
2,1994 Chrysler LeBaron GTC,"131,423 mi.","$2,495"
3,1993 Chrysler LeBaron Base/GTC,"79,419 mi.","$5,990"
4,1993 Chrysler LeBaron GTC,"133,945 mi.","$3,990"
5,1989 Chrysler LeBaron GTC,"49,580 mi.","$4,995"
6,1983 Chrysler LeBaron Mark Cross/Town & Country,"77,048 mi.","$9,988"
7,1990 Chrysler LeBaron GTC,"56,923 mi.","$9,950"
8,1989 Chrysler LeBaron GTC,"49,829 mi.","$8,980"
9,1993 Chrysler LeBaron Base/GTC,"86,000 mi.","$3,995"
10,1982 Chrysler LeBaron Medallion,"50,401 mi.","$4,530"
11,1992 Chrysler LeBaron LX,"147,000 mi.","$4,700"
12,1992 Chrysler LeBaron,"117,091 mi.","$2,500"
13,1995 Chrysler LeBaron GTC,"82,000 mi.","$2,700"
14,1995 Chrysler LeBaron GTC,"119,000 mi.","$3,000"
15,1995 Chrysler LeBaron GTC,"119,000 mi.","$3,000"
16,1986 Chrysler LeBaron,0 mi.,"$1,500"
17,1991 Chrysler LeBaron 4dr Sedan,0 mi.,"$3,900"
18,1984 Chrysler LeBaron,"64,541 mi.",Not Priced
