,Name,Mileage,Price
0,2017 Chrysler Pacifica Touring,"15,479 mi.","$21,726"
1,2017 Chrysler Pacifica Touring-L,"46,021 mi.","$21,601"
2,2017 Chrysler Pacifica LX,"40,335 mi.","$19,795"
3,2018 Chrysler Pacifica Touring L,"35,235 mi.","$22,991"
4,2018 Chrysler Pacifica L,"5,879 mi.","$23,991"
5,2018 Chrysler Pacifica Touring-L,"17,301 mi.","$25,899"
6,2018 Chrysler Pacifica Touring-L,"35,035 mi.","$24,984"
7,2018 Chrysler Pacifica Touring-L,"24,452 mi.","$25,226"
8,2018 Chrysler Pacifica Touring-L,"23,123 mi.","$25,415"
9,2017 Chrysler Pacifica Touring-L,"36,644 mi.","$21,985"
10,2017 Chrysler Pacifica Touring-L,"45,179 mi.","$21,500"
11,2018 Chrysler Pacifica Limited,"9,996 mi.","$35,895"
12,2017 Chrysler Pacifica Touring-L,"41,860 mi.","$19,499"
13,2017 Chrysler Pacifica Touring,"35,833 mi.","$21,998"
14,2018 Chrysler Pacifica Touring Plus,"18,301 mi.","$25,350"
15,2018 Chrysler Pacifica Touring-L Plus,"24,728 mi.","$31,700"
16,2018 Chrysler Pacifica Touring-L,"22,502 mi.","$27,999"
17,2017 Chrysler Pacifica Touring-L Plus,"30,773 mi.","$27,000"
18,2018 Chrysler Pacifica Touring-L,"24,204 mi.","$24,888"
19,2018 Chrysler Pacifica Touring Plus,"24,973 mi.","$24,975"
20,2017 Chrysler Pacifica Touring-L,"15,698 mi.","$25,799"
21,2018 Chrysler Pacifica L,"11,860 mi.","$23,597"
22,2017 Chrysler Pacifica Touring,"21,378 mi.","$22,499"
23,2017 Chrysler Pacifica LX,"38,091 mi.","$19,437"
24,2017 Chrysler Pacifica LX,"31,232 mi.","$20,498"
25,2018 Chrysler Pacifica Touring-L,"26,419 mi.","$24,895"
26,2017 Chrysler Pacifica Touring,"17,473 mi.","$23,480"
27,2017 Chrysler Pacifica LX,"8,492 mi.","$23,725"
28,2018 Chrysler Pacifica Touring Plus,"22,065 mi.","$24,300"
29,2018 Chrysler Pacifica Touring-L,"42,066 mi.","$24,995"
30,2019 Chrysler Pacifica Touring-L,12 mi.,"$37,885"
31,2017 Chrysler Pacifica Touring-L,"37,370 mi.","$22,593"
32,2018 Chrysler Pacifica LX,"10,939 mi.","$23,462"
33,2017 Chrysler Pacifica Touring-L,"47,993 mi.","$21,495"
34,2018 Chrysler Pacifica Touring,"24,768 mi.","$23,240"
35,2018 Chrysler Pacifica Touring-L,"33,789 mi.","$25,817"
36,2017 Chrysler Pacifica Touring-L,"41,860 mi.","$19,499"
37,2017 Chrysler Pacifica Touring,"20,085 mi.","$23,153"
38,2018 Chrysler Pacifica Touring-L,"31,000 mi.","$23,299"
39,2018 Chrysler Pacifica Touring,"14,885 mi.","$24,500"
40,2017 Chrysler Pacifica Touring,"29,330 mi.","$21,425"
41,2017 Chrysler Pacifica Touring-L,479 mi.,"$26,990"
42,2017 Chrysler Pacifica LX,"32,320 mi.","$19,958"
43,2017 Chrysler Pacifica Touring-L,"56,679 mi.","$20,700"
44,2017 Chrysler Pacifica Limited,"36,200 mi.","$30,995"
45,2018 Chrysler Pacifica Limited,"10,321 mi.","$33,995"
46,2018 Chrysler Pacifica Limited,"24,580 mi.","$33,874"
47,2018 Chrysler Pacifica Touring-L,"23,926 mi.","$26,988"
48,2018 Chrysler Pacifica Limited,"18,995 mi.","$33,152"
49,2017 Chrysler Pacifica Touring-L Plus,"26,685 mi.","$27,900"
50,2017 Chrysler Pacifica Touring-L,"41,860 mi.","$19,499"
51,2017 Chrysler Pacifica LX,"16,260 mi.","$21,496"
