,Name,Mileage,Price
0,1974 Datsun 260Z,"21,092 mi.","$23,395"
1,1979 Datsun 280ZX,"81,400 mi.","$17,000"
2,1974 Datsun 260Z,"87,297 mi.","$24,995"
3,1974 Datsun 260Z,"80,160 mi.","$21,995"
4,1982 Datsun 280ZX 2+2,"106,409 mi.","$4,888"
5,1979 Datsun 280ZX,"77,300 mi.","$8,900"
6,1981 Datsun,"89,631 mi.","$5,995"
7,1983 Datsun GL,"79,893 mi.","$14,995"
8,1974 Datsun 260Z,"92,150 mi.","$18,500"
9,1982 Datsun 210,"168,000 mi.","$4,500"
10,1976 Datsun 280Z,"187,000 mi.","$9,500"
11,1969 Datsun 1600,0 mi.,"$19,899"
12,1979 Datsun 280ZX PAUL CHAMPIONSHIP RACECAR,0 mi.,Not Priced
