,Name,Mileage,Price
0,2005 Dodge Caravan SE,"144,545 mi.","$2,500"
1,2005 Dodge Caravan SXT,"123,061 mi.","$4,988"
2,2005 Dodge Caravan SXT,"71,783 mi.","$7,646"
3,2001 Dodge Caravan Sport,"242,833 mi.","$2,998"
4,2001 Dodge Caravan Sport,"219,506 mi.","$1,900"
5,2005 Dodge Caravan SXT,"159,064 mi.","$3,488"
6,2005 Dodge Caravan SE,"108,822 mi.","$2,995"
7,2001 Dodge Caravan Sport,"178,282 mi.","$3,695"
8,2006 Dodge Caravan SXT,"194,173 mi.","$3,000"
9,2003 Dodge Caravan SXT,"156,341 mi.","$2,899"
10,2002 Dodge Caravan SE,"238,751 mi.","$1,994"
11,1998 Dodge Caravan SE,"137,876 mi.","$1,988"
12,2004 Dodge Caravan SXT,"179,770 mi.","$3,500"
13,2004 Dodge Caravan SXT,"142,871 mi.","$2,900"
14,2005 Dodge Caravan SXT,"119,968 mi.","$5,000"
15,2006 Dodge Caravan SE,"170,746 mi.","$3,650"
16,2005 Dodge Caravan SXT,"110,000 mi.","$3,888"
17,2006 Dodge Caravan SXT,"143,635 mi.","$4,995"
18,2007 Dodge Caravan SXT,"113,536 mi.","$4,991"
19,2001 Dodge Caravan Sport,"125,375 mi.","$2,995"
20,2007 Dodge Caravan SXT,"120,357 mi.","$2,450"
21,2005 Dodge Caravan SXT,"118,608 mi.","$4,995"
22,2005 Dodge Caravan SE,"130,163 mi.","$2,995"
23,2005 Dodge Caravan SXT,"127,989 mi.","$2,650"
24,2006 Dodge Caravan SE,"133,000 mi.","$6,999"
25,2003 Dodge Caravan SE,"108,280 mi.","$3,998"
26,2005 Dodge Caravan SXT,"195,739 mi.","$2,995"
27,2003 Dodge Caravan Sport,"118,250 mi.","$3,000"
28,2005 Dodge Caravan SXT,"175,543 mi.","$3,000"
29,2005 Dodge Caravan SXT,"105,060 mi.","$4,990"
30,2005 Dodge Caravan SXT,"290,000 mi.","$1,995"
31,2003 Dodge Caravan Sport,"204,000 mi.","$2,900"
32,2005 Dodge Caravan SXT,"98,000 mi.","$5,350"
33,2002 Dodge Caravan Sport,"95,815 mi.","$3,488"
34,2005 Dodge Caravan SXT,"179,851 mi.","$2,500"
35,2001 Dodge Caravan Sport,"119,792 mi.","$1,950"
36,2004 Dodge Caravan SE,"108,645 mi.","$2,900"
37,2005 Dodge Caravan SXT,"160,531 mi.","$3,590"
38,2003 Dodge Caravan SE,"45,091 mi.","$3,500"
39,2005 Dodge Caravan SE,"135,336 mi.","$2,999"
40,1993 Dodge Caravan SE,"153,378 mi.",$995
41,2005 Dodge Caravan SXT,"129,715 mi.","$4,990"
42,2004 Dodge Caravan SE,"65,057 mi.","$5,798"
43,2004 Dodge Caravan SE,"84,461 mi.","$5,488"
44,2006 Dodge Caravan SE,"112,965 mi.","$2,250"
45,2004 Dodge Caravan SXT,"219,285 mi.","$1,799"
46,2005 Dodge Caravan SE,"220,957 mi.","$1,799"
47,2005 Dodge Caravan SXT,"149,642 mi.","$4,995"
48,1998 Dodge Caravan Base,"142,144 mi.","$2,500"
49,2003 Dodge Caravan SE,"103,550 mi.","$3,995"
