,Name,Mileage,Price
0,2017 Dodge Challenger R/T,"5,632 mi.","$26,995"
1,2014 Dodge Challenger Shaker Pkg,"14,496 mi.","$25,990"
2,2017 Dodge Challenger R/T,"27,964 mi.","$22,871"
3,2015 Dodge Challenger SXT,"46,145 mi.","$16,300"
4,2013 Dodge Challenger R/T,"64,501 mi.","$17,763"
5,2013 Dodge Challenger SRT8,"32,462 mi.","$24,755"
6,2013 Dodge Challenger SXT,"94,062 mi.","$10,981"
7,2010 Dodge Challenger SRT8,"25,355 mi.","$23,994"
8,2018 Dodge Challenger SRT 392,"3,299 mi.","$42,500"
9,2017 Dodge Challenger SXT,"27,164 mi.","$21,668"
10,2015 Dodge Challenger R/T Plus Shaker,"67,003 mi.","$26,877"
11,2013 Dodge Challenger SXT,"48,177 mi.","$13,999"
12,2015 Dodge Challenger SXT,"52,784 mi.","$16,100"
13,2008 Dodge Challenger SRT8,"33,707 mi.","$23,995"
14,2014 Dodge Challenger SXT,"122,964 mi.","$11,995"
15,2016 Dodge Challenger SXT,"17,858 mi.","$21,977"
16,2015 Dodge Challenger SXT,"69,782 mi.","$16,699"
17,2017 Dodge Challenger 392 Hemi Scat Pack Shaker,"11,981 mi.","$39,995"
18,2017 Dodge Challenger SXT,"19,748 mi.","$19,999"
19,2015 Dodge Challenger SXT,"16,209 mi.","$23,500"
20,2015 Dodge Challenger R/T,"23,331 mi.","$21,988"
21,2013 Dodge Challenger R/T,"84,833 mi.","$14,879"
22,2016 Dodge Challenger SRT 392,"8,604 mi.","$37,998"
23,2013 Dodge Challenger R/T,"46,183 mi.","$19,988"
24,2014 Dodge Challenger R/T,"46,566 mi.","$21,997"
25,2014 Dodge Challenger SXT,"47,882 mi.","$19,995"
26,2013 Dodge Challenger SXT,"54,113 mi.","$14,989"
27,2018 Dodge Challenger R/T,"2,973 mi.","$31,985"
28,2013 Dodge Challenger SXT,"97,579 mi.","$12,146"
29,2011 Dodge Challenger SRT8,"27,502 mi.","$26,700"
30,2015 Dodge Challenger SRT Hellcat,"7,000 mi.","$52,495"
31,2013 Dodge Challenger SXT,"66,902 mi.","$15,075"
32,2009 Dodge Challenger SRT8,"37,178 mi.","$23,997"
33,2017 Dodge Challenger SXT,"28,512 mi.","$20,000"
34,2017 Dodge Challenger GT,"14,553 mi.","$26,995"
35,2014 Dodge Challenger SRT8 Core,"48,347 mi.","$25,999"
36,2009 Dodge Challenger R/T,"5,684 mi.","$21,397"
37,2012 Dodge Challenger R/T,"57,370 mi.","$17,999"
38,2012 Dodge Challenger SXT,"49,510 mi.","$15,480"
39,2011 Dodge Challenger R/T,"82,505 mi.","$15,881"
40,2016 Dodge Challenger R/T,"31,590 mi.","$25,984"
41,2016 Dodge Challenger SXT,"11,781 mi.","$21,500"
42,2017 Dodge Challenger T/A 392,"3,357 mi.","$37,998"
43,2010 Dodge Challenger R/T,"12,544 mi.","$21,987"
44,2016 Dodge Challenger SXT,"29,045 mi.","$19,432"
45,2016 Dodge Challenger R/T Scat Pack,"5,644 mi.","$33,588"
46,2009 Dodge Challenger SRT8,"26,838 mi.","$22,990"
47,2015 Dodge Challenger SRT Hellcat,"1,728 mi.","$53,471"
48,2009 Dodge Challenger R/T,"77,035 mi.","$16,893"
49,2013 Dodge Challenger SXT,"127,301 mi.","$11,995"
50,2018 Dodge Challenger SXT,"18,280 mi.","$21,774"
51,2016 Dodge Challenger SXT,"30,906 mi.","$18,200"
52,2016 Dodge Challenger R/T,"6,251 mi.","$25,594"
53,2012 Dodge Challenger R/T,"54,981 mi.","$17,849"
54,2012 Dodge Challenger Rallye Redline,"26,781 mi.","$18,991"
55,2016 Dodge Challenger SXT,"39,153 mi.","$20,766"
56,2018 Dodge Challenger R/T,"38,932 mi.","$25,488"
57,2016 Dodge Challenger SXT,"60,046 mi.","$17,987"
58,2017 Dodge Challenger SXT,"6,639 mi.","$18,999"
59,2016 Dodge Challenger SXT,"31,317 mi.","$16,999"
60,2016 Dodge Challenger R/T,"5,705 mi.","$26,987"
61,2011 Dodge Challenger Base,"10,754 mi.","$17,500"
62,2010 Dodge Challenger R/T,"25,812 mi.","$19,997"
63,2013 Dodge Challenger R/T,"49,688 mi.","$18,000"
64,2017 Dodge Challenger SXT,"22,801 mi.","$22,499"
65,2018 Dodge Challenger R/T,"13,447 mi.","$29,992"
66,2016 Dodge Challenger SXT,"32,396 mi.","$21,500"
67,2009 Dodge Challenger SRT8,"23,974 mi.","$25,504"
68,2014 Dodge Challenger R/T,"35,485 mi.","$23,900"
69,2018 Dodge Challenger GT,"15,000 mi.","$26,995"
70,2016 Dodge Challenger R/T,"6,791 mi.","$26,750"
71,2014 Dodge Challenger SXT,"67,029 mi.","$13,690"
72,2014 Dodge Challenger R/T,"22,238 mi.","$22,500"
73,2015 Dodge Challenger R/T Plus,"58,519 mi.","$23,883"
74,2017 Dodge Challenger SXT,"5,379 mi.","$23,200"
75,2016 Dodge Challenger R/T,"16,805 mi.","$25,791"
76,2015 Dodge Challenger SXT,"18,784 mi.","$19,675"
77,2017 Dodge Challenger SXT,"6,220 mi.","$22,418"
78,2016 Dodge Challenger SXT,"24,469 mi.","$20,000"
79,2016 Dodge Challenger R/T,"22,758 mi.","$29,480"
80,2017 Dodge Challenger SXT,"6,639 mi.","$18,999"
81,2018 Dodge Challenger R/T,"9,586 mi.","$26,250"
82,2018 Dodge Challenger GT,"10,677 mi.","$29,850"
83,2014 Dodge Challenger SXT,"25,295 mi.","$16,635"
84,2009 Dodge Challenger SRT8,"34,317 mi.","$24,988"
85,2013 Dodge Challenger R/T,"58,022 mi.","$18,982"
86,2014 Dodge Challenger SXT Plus,"40,539 mi.","$14,691"
87,2018 Dodge Challenger R/T,"20,525 mi.","$22,999"
88,2018 Dodge Challenger R/T,"11,460 mi.","$25,287"
89,2013 Dodge Challenger R/T,"41,027 mi.","$19,495"
90,2017 Dodge Challenger R/T 392,"3,031 mi.","$38,466"
91,2016 Dodge Challenger SXT,"7,989 mi.","$20,989"
92,2017 Dodge Challenger R/T,"11,287 mi.","$33,999"
93,2016 Dodge Challenger R/T Scat Pack,"23,801 mi.","$29,900"
94,2018 Dodge Challenger 392 Hemi Scat Pack Shaker,"5,441 mi.","$38,999"
95,2018 Dodge Challenger SXT,"2,138 mi.","$23,997"
96,2018 Dodge Challenger R/T 392,"10,303 mi.","$32,996"
97,2011 Dodge Challenger SRT8,"47,997 mi.","$25,127"
98,2015 Dodge Challenger SXT Plus,"10,346 mi.","$30,288"
99,2017 Dodge Challenger GT,"5,954 mi.","$28,493"
100,2014 Dodge Challenger R/T,"28,409 mi.","$21,000"
101,2017 Dodge Challenger R/T,"38,075 mi.","$24,495"
102,2013 Dodge Challenger R/T,"67,409 mi.","$18,792"
103,2016 Dodge Challenger R/T,"33,933 mi.","$23,795"
104,2016 Dodge Challenger R/T,"9,407 mi.","$26,998"
105,2017 Dodge Challenger R/T,"24,271 mi.","$24,495"
106,2018 Dodge Challenger SXT,"21,395 mi.","$21,689"
107,2016 Dodge Challenger R/T,"41,428 mi.","$21,596"
108,2016 Dodge Challenger R/T,"21,073 mi.","$25,535"
109,2017 Dodge Challenger GT,"34,164 mi.","$24,199"
110,2017 Dodge Challenger GT,"9,547 mi.","$28,535"
111,2010 Dodge Challenger R/T,"39,434 mi.","$18,221"
112,2010 Dodge Challenger SRT8,"17,157 mi.","$24,656"
113,2013 Dodge Challenger R/T,"32,709 mi.","$20,999"
114,2013 Dodge Challenger R/T,"65,730 mi.","$15,950"
115,2010 Dodge Challenger R/T,"58,609 mi.","$15,995"
116,2016 Dodge Challenger SXT,"18,412 mi.","$21,988"
117,2017 Dodge Challenger R/T,"18,947 mi.","$25,999"
118,2010 Dodge Challenger SE,"102,673 mi.","$10,000"
119,2018 Dodge Challenger SXT,"12,895 mi.","$20,997"
120,2013 Dodge Challenger R/T,"20,883 mi.","$20,495"
121,2016 Dodge Challenger SXT,"28,269 mi.","$20,495"
122,2015 Dodge Challenger R/T Plus,"32,978 mi.","$25,995"
123,2017 Dodge Challenger SXT,"28,100 mi.","$18,719"
