,Name,Mileage,Price
0,2010 Dodge Dakota Big Horn/Lone Star,"150,790 mi.","$10,796"
1,2011 Dodge Dakota Big Horn/Lone Star,"81,111 mi.","$14,479"
2,2000 Dodge Dakota Sport,"128,107 mi.","$3,995"
3,2010 Dodge Dakota Big Horn/Lone Star,"105,997 mi.","$11,053"
4,2008 Dodge Dakota SXT/Bighorn/Lonestar,"64,773 mi.","$12,488"
5,2010 Dodge Dakota Big Horn/Lone Star,"96,169 mi.","$14,399"
6,2007 Dodge Dakota ST,"112,536 mi.","$5,999"
7,2005 Dodge Dakota SLT Quad Cab,"99,567 mi.","$9,500"
8,2010 Dodge Dakota Big Horn/Lone Star,"49,964 mi.","$16,999"
9,2003 Dodge Dakota SLT,"80,268 mi.","$7,981"
10,2010 Dodge Dakota Big Horn/Lone Star,"118,849 mi.","$11,000"
11,2002 Dodge Dakota SLT,"154,844 mi.","$4,888"
12,2011 Dodge Dakota Big Horn/Lone Star,"72,529 mi.","$16,570"
13,2011 Dodge Dakota Big Horn/Lone Star,"28,768 mi.","$15,900"
14,1999 Dodge Dakota Sport,"106,768 mi.","$5,895"
15,2007 Dodge Dakota SLT,"148,094 mi.","$6,750"
16,2007 Dodge Dakota ST Club Cab,"99,994 mi.","$8,200"
17,2005 Dodge Dakota SLT,"151,230 mi.","$6,300"
18,2003 Dodge Dakota SLT,"160,956 mi.","$3,999"
19,2001 Dodge Dakota SLT,"113,910 mi.","$4,998"
20,2005 Dodge Dakota SLT Quad Cab,"136,000 mi.","$4,997"
21,2001 Dodge Dakota Sport,"170,693 mi.","$4,194"
22,2006 Dodge Dakota SLT,"139,018 mi.","$6,500"
23,2006 Dodge Dakota ST,"183,648 mi.","$5,000"
24,2004 Dodge Dakota SLT Quad Cab,"153,439 mi.","$6,550"
25,2011 Dodge Dakota Bighorn/Lonestar,"49,695 mi.","$13,588"
26,2007 Dodge Dakota ST,"81,197 mi.","$6,850"
27,2007 Dodge Dakota SLT,"101,640 mi.","$9,976"
28,2007 Dodge Dakota ST,"146,574 mi.","$8,622"
29,2009 Dodge Dakota Big Horn/Lone Star,"79,300 mi.","$12,395"
30,2003 Dodge Dakota SLT,"95,562 mi.","$4,700"
31,2006 Dodge Dakota SLT,"168,864 mi.","$7,988"
32,2005 Dodge Dakota ST Quad Cab,"106,559 mi.","$4,718"
33,1999 Dodge Dakota Sport,"129,184 mi.","$3,995"
34,2008 Dodge Dakota SLT,"86,136 mi.","$9,995"
35,2005 Dodge Dakota SLT,"73,196 mi.","$10,989"
36,2008 Dodge Dakota Laramie,"68,839 mi.","$12,200"
37,2006 Dodge Dakota SLT Club Cab,"126,337 mi.","$7,409"
38,2006 Dodge Dakota SLT,"163,118 mi.","$7,990"
39,2011 Dodge Dakota Big Horn/Lone Star,"33,820 mi.","$14,995"
40,2011 Dodge Dakota Big Horn/Lone Star,"60,121 mi.","$14,492"
41,2010 Dodge Dakota Big Horn/Lone Star,"96,039 mi.","$11,995"
42,2007 Dodge Dakota SLT,"113,470 mi.","$6,397"
43,2005 Dodge Dakota SLT Quad Cab,"130,341 mi.","$7,944"
44,2006 Dodge Dakota SLT Quad Cab,"139,920 mi.","$6,995"
45,2005 Dodge Dakota SLT,"47,559 mi.","$11,591"
46,2009 Dodge Dakota Big Horn/Lone Star,"99,454 mi.","$12,995"
47,2005 Dodge Dakota ST Quad Cab,"84,949 mi.","$6,988"
48,2007 Dodge Dakota SLT Club Cab,"88,369 mi.","$9,151"
49,2003 Dodge Dakota Base,"95,589 mi.","$4,989"
50,2006 Dodge Dakota SLT,"115,890 mi.","$9,988"
51,2007 Dodge Dakota SLT Club Cab,"146,790 mi.","$7,298"
