,Name,Mileage,Price
0,2018 Dodge Durango GT,"17,635 mi.","$35,990"
1,2015 Dodge Durango Limited,"73,158 mi.","$24,489"
2,2015 Dodge Durango R/T,"19,282 mi.","$34,877"
3,2016 Dodge Durango SXT,"29,513 mi.","$26,877"
4,2014 Dodge Durango SXT,"66,969 mi.","$19,900"
5,2015 Dodge Durango SXT,"69,467 mi.","$17,046"
6,2018 Dodge Durango GT,"22,868 mi.","$31,900"
7,2014 Dodge Durango Limited,"23,544 mi.","$24,999"
8,2018 Dodge Durango GT,"25,881 mi.","$30,680"
9,2018 Dodge Durango GT,"26,294 mi.","$31,814"
10,2014 Dodge Durango Limited,"66,290 mi.","$23,900"
11,2013 Dodge Durango SXT,"53,232 mi.","$18,975"
12,2011 Dodge Durango Crew,"91,521 mi.","$14,888"
13,2014 Dodge Durango SXT,"68,111 mi.","$20,990"
14,2017 Dodge Durango R/T,"29,935 mi.","$31,930"
15,2014 Dodge Durango Citadel,"56,176 mi.","$21,992"
16,2016 Dodge Durango Citadel Anodized Platinum,"35,301 mi.","$33,298"
17,2016 Dodge Durango Citadel Anodized Platinum,"42,597 mi.","$27,994"
18,2017 Dodge Durango R/T,"49,015 mi.","$30,900"
19,2013 Dodge Durango R/T,"83,572 mi.","$17,996"
20,2014 Dodge Durango Citadel,"45,897 mi.","$21,995"
21,2014 Dodge Durango SXT,"73,051 mi.","$17,995"
22,2017 Dodge Durango GT,"35,399 mi.","$28,499"
23,2015 Dodge Durango SXT,"48,664 mi.","$24,925"
24,2015 Dodge Durango Limited,"74,931 mi.","$24,000"
25,2018 Dodge Durango GT,"32,584 mi.","$32,270"
26,2011 Dodge Durango Crew,"173,794 mi.","$8,949"
27,2015 Dodge Durango Limited,"49,503 mi.","$29,995"
28,2015 Dodge Durango SXT,"61,811 mi.","$22,734"
29,2017 Dodge Durango GT,"21,046 mi.","$33,900"
30,2015 Dodge Durango Limited,"32,194 mi.","$28,500"
