,Name,Mileage,Price
0,2006 Dodge Magnum SRT8,"91,913 mi.","$16,995"
1,2006 Dodge Magnum SRT8,"104,042 mi.","$11,979"
2,2007 Dodge Magnum 4dr Wgn RWD,"152,262 mi.","$3,688"
3,2005 Dodge Magnum SXT,"104,698 mi.","$5,995"
4,2005 Dodge Magnum RT,"134,613 mi.","$6,999"
5,2005 Dodge Magnum SE,"214,194 mi.","$2,488"
6,2005 Dodge Magnum SE,"77,047 mi.","$9,888"
7,2005 Dodge Magnum SE,"143,126 mi.","$4,675"
8,2007 Dodge Magnum Base,"119,000 mi.","$6,900"
9,2006 Dodge Magnum R/T,"98,200 mi.","$9,791"
10,2007 Dodge Magnum Base,"100,204 mi.","$6,788"
11,2005 Dodge Magnum R/T,"184,101 mi.","$5,750"
12,2008 Dodge Magnum SRT8,"216,613 mi.","$9,999"
13,2006 Dodge Magnum R/T,"198,487 mi.","$4,945"
14,2007 Dodge Magnum Base,"106,616 mi.","$4,990"
15,2008 Dodge Magnum SXT,"76,616 mi.","$7,990"
16,2005 Dodge Magnum SE,"102,171 mi.","$6,999"
17,2007 Dodge Magnum 4dr Wgn RWD,"155,894 mi.","$5,990"
18,2006 Dodge Magnum SE,"80,943 mi.","$5,900"
19,2005 Dodge Magnum SE,"128,663 mi.","$3,999"
20,2005 Dodge Magnum SE,"183,524 mi.","$2,650"
21,2008 Dodge Magnum Base,"161,822 mi.","$4,995"
22,2007 Dodge Magnum 4dr Wgn RWD,"112,365 mi.","$6,995"
23,2008 Dodge Magnum Base,"96,859 mi.","$9,995"
24,2006 Dodge Magnum Base,"90,687 mi.","$6,194"
25,2008 Dodge Magnum SXT,"119,607 mi.","$5,995"
26,2006 Dodge Magnum 4dr Wgn RWD,"133,959 mi.","$5,995"
27,2005 Dodge Magnum SE,"122,990 mi.","$5,987"
28,2005 Dodge Magnum R/T,"150,030 mi.","$4,921"
29,2005 Dodge Magnum SE,"56,860 mi.","$5,995"
30,2007 Dodge Magnum Base,"240,953 mi.","$3,987"
31,2005 Dodge Magnum SE,"181,491 mi.","$3,995"
32,2005 Dodge Magnum SE,"86,000 mi.","$6,000"
33,2005 Dodge Magnum R/T,"115,165 mi.","$9,133"
34,2005 Dodge Magnum SE,"148,170 mi.","$2,000"
35,2005 Dodge Magnum SE,"53,384 mi.","$7,900"
36,2006 Dodge Magnum R/T,"96,349 mi.","$9,995"
37,2005 Dodge Magnum SE,"108,926 mi.","$8,900"
38,2008 Dodge Magnum 4dr Wgn RWD,"115,544 mi.","$4,988"
39,2006 Dodge Magnum 4dr Wgn RWD,"219,650 mi.","$2,995"
40,2005 Dodge Magnum R/T,"150,912 mi.","$3,995"
41,2005 Dodge Magnum SE,"190,311 mi.","$2,999"
42,2005 Dodge Magnum SE,"131,521 mi.","$3,990"
43,2005 Dodge Magnum RT,"159,372 mi.","$5,995"
44,2005 Dodge Magnum R/T,"109,073 mi.","$7,302"
45,2005 Dodge Magnum SE,"166,292 mi.","$5,564"
46,2006 Dodge Magnum R/T,"135,000 mi.","$5,900"
47,2005 Dodge Magnum R/T,"134,000 mi.","$8,499"
48,2005 Dodge Magnum RT,"120,982 mi.","$6,416"
49,2005 Dodge Magnum SE,"155,260 mi.","$5,000"
50,2006 Dodge Magnum SRT8,"122,601 mi.","$10,978"
51,2005 Dodge Magnum R/T,"127,827 mi.","$8,000"
52,2006 Dodge Magnum Base,"115,355 mi.","$3,895"
53,2007 Dodge Magnum Base,"161,495 mi.","$3,995"
54,2007 Dodge Magnum Base,"131,355 mi.","$5,500"
55,2005 Dodge Magnum SE,"121,901 mi.","$5,995"
56,2006 Dodge Magnum 4dr Wgn RWD,"151,000 mi.","$4,995"
57,2005 Dodge Magnum RT,"170,602 mi.","$5,000"
58,2007 Dodge Magnum Base,"132,895 mi.","$5,397"
59,2006 Dodge Magnum R/T,"131,710 mi.","$2,995"
60,2007 Dodge Magnum 4dr Wgn RWD,"145,615 mi.","$4,995"
61,2008 Dodge Magnum 4dr Wgn RWD,"99,000 mi.","$5,988"
62,2006 Dodge Magnum,"182,477 mi.","$3,500"
63,2007 Dodge Magnum,"129,464 mi.","$5,950"
64,2005 Dodge Magnum SE,"104,719 mi.","$5,995"
65,2006 Dodge Magnum R/T,"147,000 mi.","$6,995"
66,2005 Dodge Magnum RT,"198,466 mi.","$4,988"
67,2006 Dodge Magnum 4dr Wgn RWD,"239,519 mi.","$2,995"
68,2007 Dodge Magnum 4dr Wgn RWD,"153,385 mi.","$6,999"
69,2008 Dodge Magnum Base,"79,600 mi.","$3,995"
70,2006 Dodge Magnum Base,"226,180 mi.","$5,977"
71,2007 Dodge Magnum 4dr Wgn RWD,"166,632 mi.","$5,495"
72,2005 Dodge Magnum SE,"121,600 mi.","$3,999"
73,2007 Dodge Magnum,"110,863 mi.","$7,495"
74,2005 Dodge Magnum R/T,"113,825 mi.","$3,995"
75,2007 Dodge Magnum 4dr Wgn RWD,"114,000 mi.","$5,988"
76,2007 Dodge Magnum 4dr Wgn RWD,"144,561 mi.","$3,495"
77,2005 Dodge Magnum SE,"98,984 mi.","$4,800"
78,2007 Dodge Magnum 4dr Wgn RWD,"129,945 mi.","$4,290"
79,2008 Dodge Magnum SXT,"95,268 mi.","$5,995"
80,2006 Dodge Magnum SRT8,"113,357 mi.","$14,495"
81,2005 Dodge Magnum SE,"73,797 mi.","$5,499"
82,2005 Dodge Magnum SE,"146,000 mi.","$3,295"
83,2008 Dodge Magnum SXT,"129,936 mi.","$5,750"
84,2005 Dodge Magnum R/T,"86,813 mi.","$7,995"
85,2006 Dodge Magnum Base,"90,525 mi.","$6,900"
86,2007 Dodge Magnum Base,"149,938 mi.","$4,999"
87,2005 Dodge Magnum RT,"63,468 mi.","$9,990"
88,2005 Dodge Magnum R/T,"94,989 mi.","$7,800"
89,2005 Dodge Magnum R/T,"147,962 mi.","$5,499"
90,2005 Dodge Magnum SE,"122,000 mi.","$3,990"
91,2005 Dodge Magnum R/T,"161,425 mi.","$5,969"
92,2006 Dodge Magnum SRT8,"152,485 mi.","$12,900"
93,1979 Dodge Magnum,"21,670 mi.","$6,995"
94,2007 Dodge Magnum SRT8,"91,153 mi.","$15,900"
95,2006 Dodge Magnum SRT8,"142,660 mi.","$10,999"
96,2006 Dodge Magnum SRT8,"38,000 mi.","$21,409"
97,2008 Dodge Magnum R/T,"109,031 mi.","$9,995"
98,2006 Dodge Magnum SRT8,"75,431 mi.","$20,995"
99,2006 Dodge Magnum SRT8,"130,710 mi.","$11,850"
100,2006 Dodge Magnum SRT8,"86,914 mi.","$15,474"
101,2006 Dodge Magnum Base,"115,000 mi.",$699
102,2006 Dodge Magnum 4dr Wgn RWD,"68,075 mi.","$6,999"
103,2006 Dodge Magnum R/T,"67,812 mi.","$12,995"
104,2006 Dodge Magnum 4dr Wgn RWD,"101,390 mi.","$6,495"
105,2006 Dodge Magnum Base,"159,255 mi.","$3,900"
106,2005 Dodge Magnum R/T,"107,933 mi.","$6,995"
107,2006 Dodge Magnum SXT,"203,816 mi.","$1,500"
108,2005 Dodge Magnum SE,"190,000 mi.","$2,400"
109,2006 Dodge Magnum SXT,"131,600 mi.","$3,250"
110,2005 Dodge Magnum SXT,"190,000 mi.","$2,450"
111,2005 Dodge Magnum R/T,"149,495 mi.","$5,000"
112,2007 Dodge Magnum Base,"257,000 mi.","$2,450"
113,2005 Dodge Magnum R/T,"165,000 mi.","$4,500"
114,2007 Dodge Magnum Base,"107,078 mi.","$5,995"
115,2006 Dodge Magnum SRT8,"36,565 mi.","$20,499"
116,2005 Dodge Magnum SE,"91,544 mi.",Not Priced
117,2006 Dodge Magnum SE,0 mi.,"$3,950"
118,2005 Dodge Magnum SE,0 mi.,Not Priced
119,2005 Dodge Magnum SE,"159,422 mi.",Not Priced
120,2005 Dodge Magnum RT,"132,473 mi.","$4,999"
121,2008 Dodge Magnum Base,"185,000 mi.",Not Priced
122,2005 Dodge Magnum RT,0 mi.,"$3,995"
123,2006 Dodge Magnum R/T,0 mi.,"$6,000"
124,2008 Dodge Magnum SXT,"166,799 mi.","$3,950"
125,2007 Dodge Magnum Base,"140,702 mi.",Not Priced
126,2006 Dodge Magnum R/T,"205,903 mi.","$5,769"
127,2005 Dodge Magnum R/T,"184,101 mi.","$5,750"
128,2006 Dodge Magnum 4dr Wgn RWD,"79,779 mi.","$6,495"
129,2007 Dodge Magnum SXT,"179,050 mi.",Not Priced
130,2007 Dodge Magnum Base,"161,654 mi.","$4,500"
131,2006 Dodge Magnum Base,"26,920 mi.","$11,999"
132,2005 Dodge Magnum R/T,"131,896 mi.","$9,770"
133,1979 Dodge Magnum Unspecified,"41,087 mi.","$5,500"
134,2008 Dodge Magnum SRT8,"76,674 mi.","$17,477"
135,2005 Dodge Magnum SE,"194,687 mi.",Not Priced
136,2005 Dodge Magnum SE,"113,362 mi.",Not Priced
137,2005 Dodge Magnum SE,"102,550 mi.","$4,990"
138,2007 Dodge Magnum SXT,"131,419 mi.","$3,999"
139,2005 Dodge Magnum R/T,"132,918 mi.",Not Priced
