,Name,Mileage,Price
0,2000 Dodge Neon Highline,"225,911 mi.",$799
1,2005 Dodge Neon SRT-4,"133,738 mi.","$6,995"
2,2005 Dodge Neon SXT,"77,022 mi.","$5,394"
3,2005 Dodge Neon SXT,"74,901 mi.","$5,000"
4,2005 Dodge Neon SXT,"93,999 mi.","$3,895"
5,2003 Dodge Neon SXT,"147,983 mi.","$2,995"
6,1995 Dodge Neon Sport,"107,556 mi.","$3,447"
7,2004 Dodge Neon SE,"61,926 mi.","$3,950"
8,1998 Dodge Neon Highline,"99,232 mi.","$2,695"
9,2000 Dodge Neon Base,"238,152 mi.","$2,999"
10,2004 Dodge Neon SXT,"108,802 mi.","$2,999"
11,2005 Dodge Neon SXT,"139,154 mi.","$1,495"
12,2004 Dodge Neon SXT,"109,046 mi.","$3,500"
13,2005 Dodge Neon SRT-4,"120,796 mi.","$6,995"
14,2005 Dodge Neon SXT,"118,254 mi.","$3,250"
15,2005 Dodge Neon SXT,"107,000 mi.","$2,500"
16,2005 Dodge Neon SXT,"68,978 mi.","$3,298"
17,2005 Dodge Neon SRT-4,"97,187 mi.","$5,953"
18,2004 Dodge Neon SXT,"60,481 mi.","$2,850"
19,2005 Dodge Neon SXT,"99,463 mi.","$2,999"
20,2004 Dodge Neon SXT,"98,418 mi.","$2,995"
21,2004 Dodge Neon SXT,"106,661 mi.","$3,995"
22,2000 Dodge Neon Highline,"161,896 mi.","$2,995"
23,2005 Dodge Neon SXT,"151,908 mi.","$3,999"
24,2003 Dodge Neon SRT-4,"126,228 mi.","$9,995"
25,2005 Dodge Neon SXT,"147,200 mi.","$4,995"
26,2004 Dodge Neon SXT,"91,622 mi.","$2,495"
27,1998 Dodge Neon Highline,"67,420 mi.","$3,480"
28,2005 Dodge Neon SRT-4,"92,721 mi.","$8,489"
29,2003 Dodge Neon SXT,"63,880 mi.","$2,999"
30,2005 Dodge Neon SXT,"129,044 mi.","$3,495"
31,2000 Dodge Neon Highline,"158,187 mi.","$1,000"
32,2002 Dodge Neon ES,"203,332 mi.","$2,999"
33,2004 Dodge Neon SXT,"129,956 mi.","$2,995"
34,2004 Dodge Neon SE,"116,183 mi.","$3,751"
35,1999 Dodge Neon Highline,"94,815 mi.","$2,995"
36,2004 Dodge Neon SRT4,"100,316 mi.","$9,995"
37,2002 Dodge Neon SE,"73,000 mi.","$3,995"
38,2003 Dodge Neon SXT,"52,024 mi.","$4,500"
39,2005 Dodge Neon SXT,"108,577 mi.","$3,900"
40,2004 Dodge Neon SXT,"116,049 mi.","$1,500"
41,2000 Dodge Neon Highline,"234,818 mi.","$2,995"
42,2004 Dodge Neon SRT4,"120,514 mi.","$7,989"
43,2003 Dodge Neon SE,"134,672 mi.","$2,995"
44,2001 Dodge Neon Highline,"144,078 mi.","$2,495"
45,2004 Dodge Neon SXT,"52,448 mi.","$3,900"
46,2003 Dodge Neon SXT,"104,521 mi.","$1,350"
47,2003 Dodge Neon SXT,"160,210 mi.","$2,150"
48,2005 Dodge Neon SXT,"266,662 mi.","$1,495"
49,2005 Dodge Neon SXT,"119,000 mi.","$2,999"
