,Name,Mileage,Price
0,2000 Dodge Ram Van 3500,"99,161 mi.","$7,995"
1,2001 Dodge Ram Van 1500 WB,"140,031 mi.","$7,500"
2,1996 Dodge Ram Van 2500,"136,986 mi.","$2,995"
3,2003 Dodge Ram Van 3500,"34,272 mi.","$7,995"
4,2003 Dodge Ram Van Conversion,"160,426 mi.","$3,650"
5,1995 Dodge Ram Van B2500,"196,694 mi.","$1,750"
6,2002 Dodge Ram Van 3500,"106,360 mi.","$13,950"
7,1998 Dodge Ram Van B2500,"47,693 mi.","$6,000"
8,"1997 Dodge Ram Van 2500 127"" WB","223,145 mi.","$2,200"
9,"1999 Dodge Ram Van 3500 127"" WB","196,209 mi.","$5,000"
10,1997 Dodge Ram Van B2500,"310,748 mi.","$1,895"
11,2000 Dodge Ram Van 3500,"159,000 mi.","$1,495"
12,1994 Dodge Ram Van B250,"87,624 mi.","$4,400"
13,2002 Dodge Ram Van 2500,"109,000 mi.","$3,497"
14,2003 Dodge Ram Van 3500 Maxi 3dr Extended Cargo Van,"30,895 mi.","$8,950"
15,2002 Dodge Ram Van 1500,"32,669 mi.","$9,494"
16,2003 Dodge Ram Van 1500,"96,203 mi.","$3,999"
17,2003 Dodge Ram Van 2500,"34,272 mi.","$7,995"
18,1999 Dodge Ram Van 1500,"177,244 mi.","$3,134"
19,2000 Dodge Ram Van Conversion,"68,921 mi.","$15,995"
20,1997 Dodge Ram Van B2500,"92,864 mi.","$5,450"
21,2002 Dodge Ram Van 1500,"82,163 mi.","$4,800"
22,1997 Dodge Ram Van B2500,"198,000 mi.","$3,450"
23,1997 Dodge Ram Van B3500 Maxi Van,"239,462 mi.","$3,000"
24,1986 Dodge Ram Van B250,"120,000 mi.","$2,800"
25,2002 Dodge Ram Van 3500 Maxi Van,"191,000 mi.","$3,995"
26,2003 Dodge Ram Van 2500,"90,000 mi.","$5,099"
27,2001 Dodge Ram Van 1500,"112,000 mi.","$5,000"
28,1996 Dodge Ram Van B2500,"123,000 mi.","$1,500"
29,2003 Dodge Ram Van 2500,"92,000 mi.","$5,400"
30,1994 Dodge Ram Van B250,"63,000 mi.","$4,999"
31,1994 Dodge Ram Van B250,"63,000 mi.","$4,999"
32,1994 Dodge Ram Van B250,"63,000 mi.","$4,999"
33,1994 Dodge Ram Van B250,"63,000 mi.","$4,999"
34,2000 Dodge Ram Van Conversion,"76,094 mi.","$7,995"
35,"2003 Dodge Ram Van 3500 127"" WB","138,191 mi.",Not Priced
36,2002 Dodge Ram Van 3500,"55,003 mi.","$7,995"
37,1996 Dodge Ram Van B2500,"97,000 mi.",Not Priced
38,1999 Dodge Ram Van Conversion,"62,830 mi.","$6,500"
39,1997 Dodge Ram Van B2500,"139,000 mi.",Not Priced
40,2003 Dodge Ram Van 1500 WB,"206,881 mi.",Not Priced
41,2003 Dodge Ram Van 3500 LWB,1 mi.,"$1,000"
42,2001 Dodge Ram Van 2500,"127,523 mi.",Not Priced
