,Name,Mileage,Price
0,"1998 Dodge Ram Wagon 3500 127"" WB MAXI","91,375 mi.","$8,980"
1,"1999 Dodge Ram Wagon 2500 127"" WB","150,514 mi.","$3,895"
2,1997 Dodge Ram Wagon,"138,901 mi.","$3,799"
3,"2002 Dodge Ram Wagon 3500 127"" WB MAXI","111,250 mi.","$5,999"
4,"1999 Dodge Ram Wagon 2500 127"" WB","220,000 mi.","$4,990"
5,"1992 Dodge Ram Wagon B350 127.6"" WB","88,416 mi.","$4,920"
6,"2002 Dodge Ram Wagon 3500 127"" WB MAXI","89,616 mi.","$5,870"
7,"2000 Dodge Ram Wagon 3500 127"" WB MAXI","85,532 mi.","$3,999"
8,1996 Dodge Ram Wagon B2500,0 mi.,$600
9,"2001 Dodge Ram Wagon 3500 127"" WB MAXI",0 mi.,"$8,000"
