,Name,Mileage,Price
0,2013 Dodge SRT Viper GTS,"3,323 mi.","$91,995"
1,2013 Dodge SRT Viper GTS,"6,588 mi.","$87,777"
2,2013 Dodge SRT Viper GTS,"17,690 mi.","$83,995"
3,2014 Dodge SRT Viper GTS,"10,000 mi.","$87,995"
4,2014 Dodge SRT Viper Base,"17,086 mi.","$77,900"
5,2013 Dodge SRT Viper GTS,"10,123 mi.","$79,995"
6,2014 Dodge SRT Viper GTS,"8,879 mi.","$104,995"
7,2013 Dodge SRT Viper GTS,"14,753 mi.","$87,995"
8,2014 Dodge SRT Viper GTS,"6,206 mi.","$85,800"
9,2014 Dodge SRT Viper GTS,555 mi.,"$109,999"
10,2013 Dodge SRT Viper Base,"2,018 mi.","$79,988"
11,2014 Dodge SRT Viper Base,"2,446 mi.","$99,950"
12,2014 Dodge SRT Viper GTS 2dr Coupe,"1,512 mi.","$109,875"
13,2014 Dodge SRT Viper GTS,976 mi.,"$93,997"
14,2013 Dodge SRT Viper GTS,"28,287 mi.","$92,995"
15,2013 Dodge SRT Viper GTS,"1,500 mi.","$95,788"
16,2013 Dodge SRT Viper GTS,"7,603 mi.","$99,500"
17,2013 Dodge SRT Viper GTS,"4,395 mi.","$89,995"
18,2013 Dodge SRT Viper GTS,"5,735 mi.","$84,990"
19,2013 Dodge SRT Viper GTS,"11,660 mi.","$84,995"
20,2014 Dodge SRT Viper Base,"9,284 mi.","$79,999"
21,2013 Dodge SRT Viper GTS,5 mi.,"$117,997"
22,2014 Dodge SRT Viper GTS,"10,164 mi.","$84,999"
23,2013 Dodge SRT Viper GTS,124 mi.,"$129,990"
24,2014 Dodge SRT Viper,"9,526 mi.","$73,987"
25,2013 Dodge SRT Viper SRT,"16,050 mi.","$69,800"
26,2014 Dodge SRT Viper GTS,"13,450 mi.","$77,800"
27,2014 Dodge SRT Viper GTS,"10,889 mi.","$73,599"
28,2014 Dodge SRT Viper GTS,"31,170 mi.","$69,985"
29,2013 Dodge SRT Viper GTS,"5,879 mi.","$84,800"
30,2013 Dodge SRT Viper Base,"35,000 mi.","$77,000"
31,2013 Dodge SRT Viper GTS,"9,500 mi.","$77,950"
32,2014 Dodge SRT Viper GTS,"30,000 mi.","$58,000"
33,2013 Dodge SRT Viper GTS,"10,252 mi.","$92,999"
34,2014 Dodge SRT Viper GTS,0 mi.,"$86,995"
35,2013 Dodge SRT Viper GTS,"7,000 mi.","$68,000"
