,Name,Mileage,Price
0,1994 Dodge Stealth R/T,"42,397 mi.","$12,000"
1,1991 Dodge Stealth ES,"26,223 mi.","$10,250"
2,1993 Dodge Stealth Base,"47,610 mi.","$5,495"
3,1994 Dodge Stealth R/T,"103,797 mi.","$5,496"
4,1992 Dodge Stealth RT,"132,379 mi.","$4,500"
5,1993 Dodge Stealth R/T,"82,645 mi.","$9,988"
6,1991 Dodge Stealth R/T Turbo AWD 2dr Hatchback,"57,324 mi.","$11,950"
7,1993 Dodge Stealth R/T,"83,250 mi.","$11,500"
8,1991 Dodge Stealth R/T,"86,082 mi.","$6,950"
9,1993 Dodge Stealth ES,"196,442 mi.",$995
10,1994 Dodge Stealth R/T,"92,000 mi.","$8,275"
11,1992 Dodge Stealth R/T Turbo AWD,"100,000 mi.","$5,000"
12,1992 Dodge Stealth ES,"107,500 mi.","$2,000"
13,1994 Dodge Stealth,"41,700 mi.","$6,900"
14,1991 Dodge Stealth R/T,"232,515 mi.","$2,999"
15,1993 Dodge Stealth ES,"62,000 mi.","$6,499"
16,1992 Dodge Stealth RT,"117,000 mi.","$6,995"
17,1991 Dodge Stealth R/T,"76,000 mi.","$7,995"
18,1991 Dodge Stealth R/T,"100,633 mi.","$5,494"
