,Name,Mileage,Price
0,2003 Dodge Viper SRT-10,"29,500 mi.","$35,499"
1,2017 Dodge Viper GTC,"7,426 mi.","$160,000"
2,2006 Dodge Viper SRT10,"28,314 mi.","$48,999"
3,2005 Dodge Viper SRT10,"12,500 mi.","$49,999"
4,2000 Dodge Viper RT-10,"14,373 mi.","$36,950"
5,1994 Dodge Viper RT-10,"13,152 mi.","$33,800"
6,2006 Dodge Viper SRT10,"19,360 mi.","$58,579"
7,2000 Dodge Viper GTS,"11,516 mi.","$46,287"
8,2000 Dodge Viper RT/10,"33,847 mi.","$40,999"
9,2004 Dodge Viper SRT10,"19,630 mi.","$39,500"
10,2005 Dodge Viper SRT-10,"30,480 mi.","$46,999"
11,2004 Dodge Viper SRT-10,"27,641 mi.","$42,800"
12,2006 Dodge Viper SRT-10,"19,952 mi.","$45,000"
13,2009 Dodge Viper SRT-10,"16,671 mi.","$67,798"
14,1997 Dodge Viper 2dr GTS Coupe,"11,023 mi.","$44,900"
15,2004 Dodge Viper SRT10,"14,656 mi.","$38,824"
16,1997 Dodge Viper GTS,"25,105 mi.","$44,995"
17,1992 Dodge Viper RT-10,"2,642 mi.","$59,995"
18,2010 Dodge Viper SRT-10,32 mi.,"$125,000"
19,1994 Dodge Viper RT-10,"17,222 mi.","$39,424"
20,2004 Dodge Viper SRT-10,"26,104 mi.","$42,900"
21,2005 Dodge Viper SRT-10,"4,782 mi.","$50,000"
22,2003 Dodge Viper SRT-10,"11,583 mi.","$42,974"
23,2002 Dodge Viper RT/10,"33,186 mi.","$35,544"
24,1995 Dodge Viper Sports Car,"18,160 mi.","$42,900"
25,2005 Dodge Viper SRT10,"43,217 mi.","$43,900"
26,2005 Dodge Viper SRT10,"38,688 mi.","$39,888"
27,1994 Dodge Viper RT-10,"7,328 mi.","$39,900"
28,1994 Dodge Viper RT-10,"1,041 mi.","$44,900"
29,2006 Dodge Viper SRT10,"11,845 mi.","$63,800"
30,2002 Dodge Viper GTS,"29,713 mi.","$52,900"
31,2004 Dodge Viper SRT10,"48,925 mi.","$37,990"
32,2003 Dodge Viper SRT-10,"18,669 mi.","$39,999"
33,2005 Dodge Viper SRT10,"14,791 mi.","$43,995"
34,1994 Dodge Viper RT-10,"26,362 mi.","$37,480"
35,2006 Dodge Viper SRT10 Bumblebee Coupe,"26,253 mi.","$52,900"
36,2009 Dodge Viper SRT10,"15,457 mi.","$65,777"
37,2005 Dodge Viper SRT10,"22,581 mi.","$40,977"
38,2017 Dodge Viper GTC,"6,816 mi.","$149,991"
39,2005 Dodge Viper SRT10,"13,599 mi.","$45,950"
40,2008 Dodge Viper SRT10,789 mi.,"$69,995"
41,2001 Dodge Viper RT/10,"51,519 mi.","$34,000"
42,2006 Dodge Viper SRT-10,"11,434 mi.","$54,995"
43,2006 Dodge Viper SRT-10,"9,223 mi.","$49,980"
44,2003 Dodge Viper SRT-10,"27,428 mi.","$42,950"
45,1995 Dodge Viper Sports Car,"7,108 mi.","$41,500"
46,2008 Dodge Viper SRT-10,"19,968 mi.","$59,995"
47,2016 Dodge Viper ACR,"5,981 mi.","$139,995"
48,2006 Dodge Viper SRT10,"17,908 mi.","$54,997"
49,2003 Dodge Viper SRT-10,"43,654 mi.","$39,950"
50,2006 Dodge Viper SRT-10,"17,523 mi.","$57,777"
51,2004 Dodge Viper SRT10,"24,964 mi.","$38,500"
52,2006 Dodge Viper SRT-10,"14,044 mi.","$79,999"
53,1992 Dodge Viper Sports Car RT-10,"3,098 mi.","$59,997"
54,2017 Dodge Viper GTC,83 mi.,"$179,999"
55,2006 Dodge Viper SRT-10,"9,219 mi.","$49,977"
56,2002 Dodge Viper GTS,"1,960 mi.","$68,900"
57,2006 Dodge Viper SRT-10,"7,046 mi.","$79,999"
58,1993 Dodge Viper RT-10,"31,041 mi.","$34,500"
59,1993 Dodge Viper Sports Car,"8,518 mi.","$39,991"
60,1993 Dodge Viper RT-10,"7,450 mi.","$42,995"
61,2000 Dodge Viper RT-10,"22,688 mi.","$35,995"
62,2009 Dodge Viper SRT-10,"19,409 mi.","$59,900"
63,2006 Dodge Viper SRT-10,"18,941 mi.","$89,995"
64,2004 Dodge Viper SRT-10,"16,790 mi.","$49,998"
65,2009 Dodge Viper SRT-10,315 mi.,"$99,990"
66,2008 Dodge Viper SRT10,"10,661 mi.","$71,990"
67,2006 Dodge Viper SRT10,"26,901 mi.","$59,990"
68,1995 Dodge Viper Sports Car,"31,221 mi.","$36,500"
69,2005 Dodge Viper SRT10,"12,538 mi.","$47,450"
70,2002 Dodge Viper RT/10,"11,201 mi.","$45,750"
71,1995 Dodge Viper Sports Car,"14,821 mi.","$31,995"
72,2004 Dodge Viper SRT10,"22,540 mi.","$39,995"
73,2004 Dodge Viper SRT10,"4,500 mi.","$78,000"
74,1996 Dodge Viper RT/10,"5,812 mi.","$45,990"
75,2006 Dodge Viper SRT10,"13,566 mi.","$54,999"
76,2003 Dodge Viper SRT-10,"10,369 mi.","$48,999"
77,2004 Dodge Viper SRT-10,"36,765 mi.","$41,800"
78,1994 Dodge Viper Sports Car,"9,342 mi.","$36,998"
79,2009 Dodge Viper SRT10 ACR,"12,500 mi.","$99,995"
80,2010 Dodge Viper SRT-10,"8,454 mi.","$63,888"
81,2015 Dodge Viper SRT,"3,037 mi.","$82,991"
82,2008 Dodge Viper SRT-10,"32,833 mi.","$44,498"
83,2016 Dodge Viper ACR,"5,925 mi.","$104,910"
