,Name,Mileage,Price
0,2016 Ferrari FF,"1,839 mi.","$219,800"
1,2018 Ferrari 488 Spider,"3,644 mi.","$304,800"
2,2013 Ferrari California,"13,295 mi.","$127,800"
3,2012 Ferrari 458 Spider,"4,071 mi.","$214,800"
4,2017 Ferrari GTC4Lusso,"1,800 mi.","$299,800"
5,2002 Ferrari 575 M,"4,263 mi.","$159,900"
6,2001 Ferrari 550 Maranello,"21,390 mi.","$138,900"
7,2015 Ferrari 458 Spider,"6,491 mi.","$239,800"
8,2004 Ferrari 575 M,"15,799 mi.","$138,900"
9,2012 Ferrari California Base,"19,693 mi.","$109,745"
10,2016 Ferrari California T,"8,335 mi.","$174,999"
11,2005 Ferrari 360 Modena Spider,"22,833 mi.","$89,990"
12,2012 Ferrari 458 Italia,"11,995 mi.","$199,000"
13,2016 Ferrari 488 GTB,"5,958 mi.","$255,000"
14,2010 Ferrari 599 GTB Fiorano,"3,961 mi.","$185,000"
15,2015 Ferrari F12berlinetta,"5,720 mi.","$263,000"
16,2018 Ferrari 488 Spider,66 mi.,"$379,000"
17,2011 Ferrari California,"29,081 mi.","$99,950"
18,2004 Ferrari Challenge Stradale,"12,282 mi.","$235,990"
19,2017 Ferrari 488 Spider,"4,075 mi.","$315,000"
20,2013 Ferrari California Base,"18,648 mi.","$117,880"
21,2017 Ferrari 488 Spider,"4,358 mi.","$279,000"
22,2015 Ferrari 458 Italia Base,"20,118 mi.","$184,990"
23,2013 Ferrari 458 Spider Base,"4,564 mi.","$214,900"
24,2012 Ferrari California Base,"18,257 mi.","$109,900"
25,2016 Ferrari 488 GTB Base,"3,879 mi.","$244,900"
26,2015 Ferrari 458 Italia Base,"3,114 mi.","$199,900"
27,2015 Ferrari F12berlinetta Base,"2,667 mi.","$265,900"
28,2015 Ferrari F12berlinetta Base,"5,401 mi.","$274,900"
29,2017 Ferrari GTC4Lusso V12,"2,868 mi.","$254,749"
30,2016 Ferrari California T,"1,813 mi.","$164,500"
31,1998 Ferrari F355 Spider,"20,055 mi.","$69,950"
32,2012 Ferrari 458 Italia,"11,271 mi.","$183,000"
33,2014 Ferrari F12berlinetta,"10,215 mi.","$239,000"
34,2018 Ferrari 488 Spider Base,537 mi.,"$329,000"
35,2017 Ferrari 488 Spider Base,158 mi.,"$339,000"
36,2016 Ferrari F12berlinetta Base,821 mi.,"$284,900"
37,2018 Ferrari 488 Spider Base,"1,951 mi.","$314,900"
38,2012 Ferrari FF Base,"35,417 mi.","$128,900"
39,2016 Ferrari 488 Spider Base,"1,581 mi.","$299,984"
40,2016 Ferrari 488 Spider,"3,909 mi.","$292,488"
41,2010 Ferrari California Base,"24,266 mi.","$99,980"
42,2015 Ferrari California T,"6,644 mi.","$165,000"
43,2017 Ferrari F12berlinetta Base,"2,358 mi.","$294,900"
44,2012 Ferrari 458 Spider Base,"8,642 mi.","$209,900"
45,2015 Ferrari F12berlinetta Base,"4,876 mi.","$259,900"
46,2016 Ferrari 488 GTB Base,"1,190 mi.","$265,000"
47,2012 Ferrari 458 Italia Base,"17,335 mi.","$179,900"
48,2014 Ferrari F12berlinetta Base,"17,260 mi.","$229,985"
49,2017 Ferrari 488 Spider Base,"2,871 mi.","$339,985"
50,2013 Ferrari 458 Spider Base,"8,072 mi.","$229,985"
51,2015 Ferrari California T,"13,500 mi.","$148,900"
52,2011 Ferrari 599 GTO Base,"2,321 mi.","$672,500"
53,2017 Ferrari 488 Spider Base,840 mi.,"$309,900"
54,2016 Ferrari 488 Spider Base,"1,107 mi.","$289,900"
55,2011 Ferrari California,"3,883 mi.","$117,990"
56,2018 Ferrari 488 GTB,"1,108 mi.","$269,990"
57,2018 Ferrari 488 GTB,"2,308 mi.","$299,900"
58,2017 Ferrari GTC4Lusso V12,"4,577 mi.","$279,990"
59,2014 Ferrari 458 Italia Base,"4,790 mi.","$204,900"
60,2010 Ferrari 599 GTB Fiorano F1A HGTE,"19,822 mi.","$184,900"
61,2006 Ferrari F430 Spider,"14,131 mi.","$122,900"
62,1993 Ferrari 512 TR,"5,350 mi.","$208,900"
63,2012 Ferrari California Base,"13,466 mi.","$108,800"
