,Name,Mileage,Price
0,1996 Ford Club Wagon Chateau,"104,940 mi.","$4,999"
1,1997 Ford Club Wagon XL H/D,"91,061 mi.","$5,495"
2,1997 Ford Club Wagon XL Super,"98,000 mi.","$6,495"
3,1995 Ford Club Wagon XLT,"110,327 mi.","$4,999"
4,1996 Ford Club Wagon XL/XLT/XL Plus,"120,484 mi.","$4,995"
5,1998 Ford Club Wagon XL/XLT,"85,635 mi.","$5,995"
6,"1996 Ford Club Wagon Reg 138"" WB XLT","89,820 mi.","$7,952"
7,1992 Ford Club Wagon Super XLT,"150,770 mi.","$5,000"
8,1998 Ford Club Wagon XLT,"199,264 mi.","$3,500"
9,1996 Ford Club Wagon CLUB WAGON,"76,597 mi.","$7,990"
10,1998 Ford Club Wagon XLT,0 mi.,"$2,995"
