,Name,Mileage,Price
0,2009 Ford Crown Victoria Police Interceptor,"53,220 mi.","$9,977"
1,2001 Ford Crown Victoria Police Interceptor,"144,374 mi.","$3,495"
2,2005 Ford Crown Victoria Base,"95,548 mi.","$5,550"
3,2001 Ford Crown Victoria LX,"90,208 mi.","$2,978"
4,2007 Ford Crown Victoria LX,"86,037 mi.","$5,950"
5,2006 Ford Crown Victoria LX,"99,863 mi.","$5,998"
6,1997 Ford Crown Victoria,"104,780 mi.","$3,998"
7,2000 Ford Crown Victoria LX,"157,247 mi.","$2,900"
8,2011 Ford Crown Victoria LX,"122,919 mi.","$9,998"
9,2005 Ford Crown Victoria Police Interceptor,"114,000 mi.","$4,195"
10,2011 Ford Crown Victoria Police Interceptor,"114,282 mi.","$4,980"
11,2002 Ford Crown Victoria LX,"189,320 mi.","$2,500"
12,2003 Ford Crown Victoria LX,"116,021 mi.","$5,494"
13,2011 Ford Crown Victoria Police Interceptor,"93,712 mi.","$5,995"
14,2009 Ford Crown Victoria Police Interceptor,"61,842 mi.","$6,995"
15,2010 Ford Crown Victoria Police Interceptor,"63,093 mi.","$6,795"
16,2009 Ford Crown Victoria Police Interceptor,"44,585 mi.","$7,995"
17,2011 Ford Crown Victoria Police Interceptor,"82,000 mi.","$5,499"
18,2010 Ford Crown Victoria Police Interceptor,"85,827 mi.","$4,799"
19,2005 Ford Crown Victoria Police Interceptor,"128,285 mi.","$3,497"
20,2008 Ford Crown Victoria Police Interceptor,"137,503 mi.","$4,997"
21,2002 Ford Crown Victoria LX,"97,708 mi.","$4,999"
22,2000 Ford Crown Victoria Base,"187,104 mi.","$2,678"
23,2003 Ford Crown Victoria LX,"112,338 mi.","$4,488"
24,2011 Ford Crown Victoria Police Interceptor,"73,002 mi.","$5,995"
25,2010 Ford Crown Victoria Police Interceptor,"148,355 mi.","$3,995"
26,2009 Ford Crown Victoria Police Interceptor,"49,260 mi.","$9,500"
27,2008 Ford Crown Victoria Police Interceptor,"37,837 mi.","$8,900"
28,2009 Ford Crown Victoria Police Interceptor,"150,000 mi.","$4,500"
29,2010 Ford Crown Victoria Police Interceptor,"127,839 mi.","$4,970"
30,2003 Ford Crown Victoria LX,"110,066 mi.","$4,670"
31,2008 Ford Crown Victoria LX,"89,090 mi.","$6,491"
32,2008 Ford Crown Victoria Police Interceptor,"130,000 mi.","$3,499"
33,2005 Ford Crown Victoria LX,"153,670 mi.","$3,990"
34,2007 Ford Crown Victoria Police Interceptor,"95,677 mi.","$6,995"
35,2009 Ford Crown Victoria Police Interceptor,"99,156 mi.","$4,785"
36,2005 Ford Crown Victoria Police Interceptor,"184,005 mi.","$4,150"
37,1999 Ford Crown Victoria Police Interceptor,"74,137 mi.","$2,970"
38,2010 Ford Crown Victoria Police Interceptor,"106,000 mi.","$4,799"
39,2004 Ford Crown Victoria Police Interceptor,"123,979 mi.","$3,359"
40,2010 Ford Crown Victoria Police Interceptor,"59,802 mi.","$7,795"
41,2011 Ford Crown Victoria Police Interceptor,"53,000 mi.","$6,500"
42,2011 Ford Crown Victoria Police Interceptor,"109,667 mi.","$4,995"
43,2007 Ford Crown Victoria Police Interceptor,"203,758 mi.","$2,995"
44,2009 Ford Crown Victoria Police Interceptor,"108,051 mi.","$3,995"
45,2010 Ford Crown Victoria Police Interceptor,"60,526 mi.","$6,795"
46,1955 Ford Crown Victoria Base,"10,116 mi.","$34,900"
47,2009 Ford Crown Victoria Police Interceptor,"125,000 mi.","$5,995"
48,2011 Ford Crown Victoria Police Interceptor,"45,081 mi.","$7,595"
49,1996 Ford Crown Victoria LX,"119,306 mi.","$2,880"
50,2006 Ford Crown Victoria Police Interceptor,"149,949 mi.","$3,000"
51,2011 Ford Crown Victoria Police Interceptor,"109,746 mi.","$5,400"
52,2011 Ford Crown Victoria Police Interceptor,"95,237 mi.","$5,795"
53,2000 Ford Crown Victoria Police Interceptor,"85,806 mi.","$3,995"
54,2011 Ford Crown Victoria Police Interceptor,"81,000 mi.","$5,500"
55,2004 Ford Crown Victoria Standard,"104,833 mi.","$5,990"
56,2011 Ford Crown Victoria Police Interceptor,"123,644 mi.","$3,995"
57,2007 Ford Crown Victoria Police Interceptor,"140,001 mi.","$2,494"
58,2005 Ford Crown Victoria Police Interceptor,"125,307 mi.","$3,995"
59,2011 Ford Crown Victoria Police Interceptor,"109,667 mi.","$4,995"
60,2008 Ford Crown Victoria Police Interceptor,"56,794 mi.","$6,450"
61,2010 Ford Crown Victoria Police Interceptor,"172,301 mi.","$4,217"
62,1999 Ford Crown Victoria LX,"164,018 mi.","$2,998"
63,2011 Ford Crown Victoria Police Interceptor,"113,121 mi.","$5,300"
64,2011 Ford Crown Victoria Police Interceptor,"119,117 mi.","$4,500"
65,1996 Ford Crown Victoria LX,"224,878 mi.","$1,890"
66,1997 Ford Crown Victoria Base,"42,689 mi.","$4,495"
67,2011 Ford Crown Victoria Police Interceptor,"100,501 mi.","$4,150"
68,2001 Ford Crown Victoria Base,"85,452 mi.","$2,300"
