,Name,Mileage,Price
0,1940 Ford Deluxe,"9,700 mi.","$122,000"
1,1940 Ford Deluxe,"999,999 mi.","$25,000"
2,1940 Ford Deluxe,"1,124 mi.","$35,900"
3,1937 Ford Deluxe,"75,075 mi.","$29,950"
4,1940 Ford Deluxe,1 mi.,"$40,000"
5,1937 Ford Deluxe,"5,000 mi.","$32,500"
6,1939 Ford Deluxe,400 mi.,"$32,500"
7,1937 Ford Deluxe,"21,000 mi.","$38,500"
8,1940 Ford Deluxe,"30,000 mi.","$20,000"
9,1950 Ford Deluxe,0 mi.,"$24,900"
10,1937 Ford Deluxe,,"$37,900"
11,1940 Ford Deluxe,,"$37,900"
12,1938 Ford Deluxe BODY,650 mi.,"$54,990"
13,1940 Ford Deluxe,"6,425 mi.","$199,990"
14,1940 Ford Deluxe,"26,044 mi.","$42,990"
15,1939 Ford Deluxe,0 mi.,"$32,900"
