,Name,Mileage,Price
0,2011 Ford E250 Cargo,"128,285 mi.","$10,995"
1,2014 Ford E250 Commercial,"50,014 mi.","$18,490"
2,2012 Ford E250 Cargo,"108,809 mi.","$11,995"
3,2012 Ford E250 Cargo,"129,484 mi.","$12,990"
4,2006 Ford E250 Cargo,"155,070 mi.","$5,995"
5,2013 Ford E250 Cargo,"85,379 mi.","$14,995"
6,2011 Ford E250,"69,007 mi.","$17,995"
7,2011 Ford E250 Cargo,"57,470 mi.","$18,900"
8,2005 Ford E250,"118,550 mi.","$6,995"
9,2014 Ford E250 Cargo,"87,785 mi.","$17,316"
10,2008 Ford E250 Cargo,"131,204 mi.","$12,498"
11,2014 Ford E250 Cargo,"91,247 mi.","$16,998"
12,2013 Ford E250 Cargo,"78,102 mi.","$16,489"
13,2000 Ford E250 Cargo,"126,271 mi.","$6,475"
14,2014 Ford E250 Cargo,"45,041 mi.","$20,747"
15,2013 Ford E250 Cargo,"53,419 mi.","$18,500"
16,2011 Ford E250 Cargo,"111,257 mi.","$11,291"
17,2002 Ford E250 Cargo,"252,302 mi.","$3,595"
18,2012 Ford E250 Cargo,"187,816 mi.","$9,950"
19,2009 Ford E250 Cargo,"88,462 mi.","$13,988"
20,2014 Ford E250 E-250,"57,376 mi.","$22,391"
21,2013 Ford E250 Cargo,"85,148 mi.","$15,991"
22,2009 Ford E250 Cargo,"90,449 mi.","$12,500"
23,2014 Ford E250 Commercial,"145,064 mi.","$12,499"
24,2013 Ford E250 Commercial,"75,630 mi.","$14,994"
25,2010 Ford E250 XL,"140,320 mi.","$8,999"
26,2005 Ford E250,"209,925 mi.","$4,900"
27,2006 Ford E250 Cargo,"146,585 mi.","$6,649"
28,2009 Ford E250 MOBILITY,"72,146 mi.","$17,995"
29,2007 Ford E250 Commercial,"139,108 mi.","$5,995"
30,2012 Ford E250 Cargo,"58,825 mi.","$16,534"
31,2013 Ford E250 Cargo,"78,623 mi.","$17,534"
32,2014 Ford E250 Cargo,"43,612 mi.","$19,034"
33,2014 Ford E250 Cargo,"67,652 mi.","$15,499"
34,2007 Ford E250,"137,475 mi.","$5,990"
35,2006 Ford E250 Cargo,"36,000 mi.","$9,995"
36,2014 Ford E250 Cargo,"124,939 mi.","$12,750"
37,2011 Ford E250 Cargo,"111,655 mi.","$10,990"
38,2013 Ford E250 Cargo,"164,939 mi.","$9,952"
39,2008 Ford E250 Cargo,"124,963 mi.","$9,995"
40,2010 Ford E250 Cargo,"118,718 mi.","$9,279"
41,2010 Ford E250 Cargo,"153,033 mi.","$9,950"
42,2012 Ford E250 Cargo,"131,298 mi.","$12,991"
43,2011 Ford E250 E-250,"21,436 mi.","$13,500"
44,2014 Ford E250 Cargo,"36,100 mi.","$17,650"
45,2007 Ford E250 Cargo Van,"189,145 mi.","$3,995"
46,2010 Ford E250 Cargo,"242,872 mi.","$4,900"
47,2001 Ford E250 Commercial,"102,609 mi.","$5,998"
48,2013 Ford E250 Cargo,"115,859 mi.","$12,956"
49,2014 Ford E250 Commercial,"69,821 mi.","$19,000"
50,2008 Ford E250 Cargo,"170,124 mi.","$6,353"
51,2007 Ford E250 Cargo,"96,181 mi.","$8,998"
52,2012 Ford E250 Commercial,"220,970 mi.","$8,995"
53,2014 Ford E250 Commercial,"92,377 mi.","$18,935"
54,2013 Ford E250 Cargo,"91,125 mi.","$15,000"
55,2014 Ford E250 Commercial,"38,056 mi.","$20,900"
56,2014 Ford E250 Commercial,"65,802 mi.","$17,495"
57,2010 Ford E250 Commercial,"116,082 mi.","$9,995"
58,2012 Ford E250 Commercial,"27,441 mi.","$17,936"
