,Name,Mileage,Price
0,2017 Ford Expedition XLT,"49,819 mi.","$20,989"
1,2017 Ford Expedition XLT,"55,141 mi.","$20,526"
2,2017 Ford Expedition Limited,"47,736 mi.","$27,981"
3,2017 Ford Expedition XLT,"51,148 mi.","$21,994"
4,2016 Ford Expedition XLT,"50,462 mi.","$24,589"
5,2018 Ford Expedition Limited,"30,542 mi.","$49,000"
6,2016 Ford Expedition Limited,"31,697 mi.","$34,959"
7,2018 Ford Expedition XLT,"11,280 mi.","$53,998"
8,2011 Ford Expedition Limited,"93,172 mi.","$17,995"
9,2018 Ford Expedition Limited,"27,918 mi.","$56,950"
10,2017 Ford Expedition XLT,"38,567 mi.","$24,709"
11,2011 Ford Expedition Limited,"143,887 mi.","$9,989"
12,2017 Ford Expedition Limited,"47,276 mi.","$35,747"
13,2017 Ford Expedition XLT,"56,240 mi.","$21,998"
14,2018 Ford Expedition Limited,"15,904 mi.","$51,900"
15,2011 Ford Expedition Limited,"88,605 mi.","$16,590"
16,2014 Ford Expedition Limited,"97,417 mi.","$19,750"
17,2011 Ford Expedition XLT,"155,050 mi.","$11,995"
18,2017 Ford Expedition XLT,"43,342 mi.","$23,594"
19,2013 Ford Expedition Limited,"67,649 mi.","$27,995"
20,2014 Ford Expedition XLT,"88,603 mi.","$17,995"
21,2010 Ford Expedition Eddie Bauer,"136,516 mi.","$12,991"
22,2015 Ford Expedition King Ranch,"56,355 mi.","$32,993"
23,2018 Ford Expedition Limited,"26,839 mi.","$53,345"
24,2008 Ford Expedition XLT,"142,551 mi.","$8,286"
25,2015 Ford Expedition King Ranch,"77,400 mi.","$29,783"
26,2018 Ford Expedition Limited,"34,511 mi.","$50,987"
27,2018 Ford Expedition Limited,"19,320 mi.","$51,500"
28,2014 Ford Expedition Limited,"89,043 mi.","$20,900"
29,2015 Ford Expedition Limited,"84,853 mi.","$23,900"
30,2013 Ford Expedition XLT,"81,359 mi.","$16,500"
31,2012 Ford Expedition XLT,"73,372 mi.","$16,500"
32,2013 Ford Expedition Limited,"59,352 mi.","$24,138"
33,2015 Ford Expedition King Ranch,"94,650 mi.","$27,992"
34,2013 Ford Expedition XLT,"83,772 mi.","$15,991"
35,2007 Ford Expedition XLT,"140,127 mi.","$6,771"
36,2013 Ford Expedition King Ranch,"99,991 mi.","$17,991"
37,2017 Ford Expedition XLT,"50,906 mi.","$24,000"
38,2013 Ford Expedition XLT,"73,580 mi.","$17,991"
39,2018 Ford Expedition Limited,"26,314 mi.","$54,435"
40,2018 Ford Expedition Limited,"26,879 mi.","$55,690"
41,2015 Ford Expedition Limited,"53,572 mi.","$31,950"
42,2016 Ford Expedition Limited,"49,325 mi.","$34,787"
43,2017 Ford Expedition XLT,"53,311 mi.","$25,798"
44,2018 Ford Expedition Platinum,"18,225 mi.","$65,990"
45,2016 Ford Expedition Limited,"90,288 mi.","$28,962"
46,2017 Ford Expedition XLT,"44,045 mi.","$26,497"
47,2018 Ford Expedition Limited,"27,815 mi.","$52,672"
48,2012 Ford Expedition King Ranch,"87,862 mi.","$20,990"
49,2016 Ford Expedition Platinum,"48,923 mi.","$37,500"
50,2015 Ford Expedition Limited,"40,852 mi.","$32,939"
51,2017 Ford Expedition XLT,"52,432 mi.","$26,997"
52,2015 Ford Expedition Platinum,"57,042 mi.","$36,874"
53,2017 Ford Expedition Limited,"51,908 mi.","$32,995"
54,2017 Ford Expedition XLT,"45,600 mi.","$23,599"
55,2018 Ford Expedition Platinum,"4,428 mi.","$68,245"
56,2015 Ford Expedition Platinum,"59,498 mi.","$36,653"
57,2017 Ford Expedition XLT,"31,522 mi.","$32,950"
58,2014 Ford Expedition Limited,"94,930 mi.","$23,500"
59,2017 Ford Expedition XLT,"45,600 mi.","$23,599"
60,2017 Ford Expedition XLT,"29,777 mi.","$37,985"
61,2017 Ford Expedition XLT,"29,092 mi.","$30,988"
62,2018 Ford Expedition XLT,"20,287 mi.","$48,900"
63,2017 Ford Expedition Limited,"49,227 mi.","$30,600"
64,2017 Ford Expedition Limited,"51,222 mi.","$29,996"
65,2017 Ford Expedition,"48,678 mi.","$26,000"
66,2017 Ford Expedition XLT,"43,982 mi.","$26,000"
67,2017 Ford Expedition XLT,"43,739 mi.","$28,900"
68,2012 Ford Expedition Limited,"82,810 mi.","$17,735"
69,2015 Ford Expedition XLT,"33,405 mi.","$30,888"
70,2017 Ford Expedition XLT,"50,296 mi.","$24,850"
71,2017 Ford Expedition XLT,"57,621 mi.","$24,968"
72,2017 Ford Expedition XLT,"48,305 mi.","$28,500"
73,2015 Ford Expedition XLT,"65,598 mi.","$24,942"
74,2012 Ford Expedition XLT,"78,758 mi.","$20,000"
