,Name,Mileage,Price
0,2016 Ford Explorer,"27,339 mi.","$19,981"
1,2017 Ford Explorer Limited,"32,234 mi.","$25,960"
2,2017 Ford Explorer XLT,"8,001 mi.","$29,991"
3,2013 Ford Explorer Limited,"78,095 mi.","$20,232"
4,2018 Ford Explorer Limited,"14,494 mi.","$32,598"
5,2017 Ford Explorer Limited,"50,352 mi.","$28,911"
6,2017 Ford Explorer sport,"19,226 mi.","$36,995"
7,2014 Ford Explorer Limited,"41,171 mi.","$23,886"
8,2016 Ford Explorer XLT,"37,393 mi.","$26,999"
9,2018 Ford Explorer Limited,"29,414 mi.","$31,790"
10,2016 Ford Explorer XLT,"45,491 mi.","$24,888"
11,2014 Ford Explorer Sport,"100,636 mi.","$18,750"
12,2015 Ford Explorer XLT,"77,780 mi.","$21,901"
13,2018 Ford Explorer XLT,"11,262 mi.","$32,998"
14,2014 Ford Explorer Limited,"76,930 mi.","$19,998"
15,2014 Ford Explorer XLT,"74,402 mi.","$16,500"
16,2017 Ford Explorer XLT,"33,517 mi.","$29,000"
17,2016 Ford Explorer Sport,"78,272 mi.","$27,500"
18,2014 Ford Explorer Sport,"126,986 mi.","$18,300"
19,2014 Ford Explorer XLT,"86,366 mi.","$18,690"
20,2017 Ford Explorer Limited,"35,527 mi.","$29,690"
21,2015 Ford Explorer XLT,"21,899 mi.","$24,800"
22,2015 Ford Explorer Limited,"74,015 mi.","$22,990"
23,2017 Ford Explorer Limited,"38,782 mi.","$29,490"
24,2017 Ford Explorer Limited,325 mi.,"$34,849"
25,2015 Ford Explorer Limited,"58,887 mi.","$21,972"
26,2016 Ford Explorer XLT,"51,331 mi.","$24,749"
27,2018 Ford Explorer Limited,"25,469 mi.","$32,992"
28,2017 Ford Explorer XLT,"29,799 mi.","$28,900"
29,2012 Ford Explorer XLT,"106,386 mi.","$13,999"
30,2015 Ford Explorer Limited,"101,101 mi.","$19,499"
31,2014 Ford Explorer Limited,"92,545 mi.","$18,724"
32,2018 Ford Explorer Limited,"24,111 mi.","$29,962"
33,2014 Ford Explorer Limited,"87,272 mi.","$18,995"
34,2016 Ford Explorer XLT,"25,981 mi.","$26,999"
35,2017 Ford Explorer XLT,"22,076 mi.","$29,699"
36,2017 Ford Explorer Platinum,"18,111 mi.","$39,620"
37,2017 Ford Explorer XLT,"19,400 mi.","$28,599"
38,2017 Ford Explorer sport,"21,101 mi.","$35,967"
39,2016 Ford Explorer Sport,"26,283 mi.","$32,495"
40,2014 Ford Explorer XLT,"118,292 mi.","$14,716"
41,2017 Ford Explorer XLT,"15,076 mi.","$31,975"
42,2012 Ford Explorer XLT,"82,937 mi.","$17,990"
43,2016 Ford Explorer XLT,"40,754 mi.","$27,990"
44,2016 Ford Explorer Sport,"44,156 mi.","$30,990"
45,2017 Ford Explorer XLT,"11,421 mi.","$30,990"
46,2016 Ford Explorer Sport,"21,360 mi.","$34,490"
47,2017 Ford Explorer Limited,"41,812 mi.","$30,990"
48,2014 Ford Explorer XLT,"45,492 mi.","$23,321"
49,2017 Ford Explorer Base,"8,117 mi.","$23,982"
50,2016 Ford Explorer XLT,"20,555 mi.","$29,599"
51,2016 Ford Explorer Limited,"57,644 mi.","$24,995"
52,2017 Ford Explorer Base,"48,914 mi.","$21,597"
53,2014 Ford Explorer Sport,"58,533 mi.","$23,999"
54,2014 Ford Explorer XLT,"56,898 mi.","$21,190"
55,2013 Ford Explorer Base,"91,103 mi.","$14,950"
56,2017 Ford Explorer XLT,"37,304 mi.","$26,264"
57,2016 Ford Explorer XLT,"78,386 mi.","$23,380"
58,2012 Ford Explorer Limited,"101,284 mi.","$16,637"
59,2017 Ford Explorer XLT,"11,619 mi.","$28,750"
60,2016 Ford Explorer Sport,"61,191 mi.","$30,000"
61,2016 Ford Explorer XLT,"35,944 mi.","$26,721"
62,2016 Ford Explorer XLT,"48,928 mi.","$26,457"
63,2013 Ford Explorer Limited,"58,145 mi.","$19,995"
64,2014 Ford Explorer XLT,"106,669 mi.","$15,598"
65,2017 Ford Explorer sport,"59,959 mi.","$26,623"
66,2015 Ford Explorer XLT,"44,229 mi.","$21,271"
67,2016 Ford Explorer XLT,"25,847 mi.","$23,797"
68,2013 Ford Explorer XLT,"91,032 mi.","$16,983"
69,2012 Ford Explorer XLT,"143,447 mi.","$11,998"
70,2015 Ford Explorer Sport,"47,980 mi.","$29,488"
71,2014 Ford Explorer Limited,"75,531 mi.","$19,400"
72,2015 Ford Explorer Limited,"73,092 mi.","$20,000"
73,2016 Ford Explorer XLT,"25,725 mi.","$26,888"
74,2016 Ford Explorer Limited,"34,074 mi.","$26,759"
75,2015 Ford Explorer XLT,"99,147 mi.","$15,999"
76,2016 Ford Explorer Limited,"30,355 mi.","$26,559"
77,2013 Ford Explorer XLT,"87,313 mi.","$15,587"
78,2017 Ford Explorer Limited,"26,242 mi.","$28,945"
79,2015 Ford Explorer XLT,"82,046 mi.","$19,900"
80,2017 Ford Explorer sport,"38,822 mi.","$32,800"
81,2016 Ford Explorer XLT,"35,633 mi.","$27,490"
82,2016 Ford Explorer Base,"31,143 mi.","$21,557"
83,2016 Ford Explorer Limited,"25,290 mi.","$29,894"
84,2016 Ford Explorer Sport,"30,602 mi.","$30,601"
85,2015 Ford Explorer Limited,"68,867 mi.","$20,994"
86,2016 Ford Explorer Sport,"21,396 mi.","$34,475"
87,2014 Ford Explorer XLT,"54,715 mi.","$20,048"
88,2015 Ford Explorer XLT,"53,906 mi.","$24,995"
89,2015 Ford Explorer XLT,"29,104 mi.","$28,500"
90,2016 Ford Explorer XLT,"36,973 mi.","$24,761"
91,2018 Ford Explorer Limited,"26,157 mi.","$34,995"
92,2016 Ford Explorer Limited,"37,102 mi.","$29,395"
93,2016 Ford Explorer XLT,"30,145 mi.","$29,995"
94,2015 Ford Explorer Limited,"77,016 mi.","$18,999"
95,2014 Ford Explorer XLT,"63,869 mi.","$20,488"
96,2017 Ford Explorer XLT,"21,493 mi.","$29,975"
