,Name,Mileage,Price
0,2016 Ford F-250 XL,"23,927 mi.","$30,000"
1,2017 Ford F-250 Lariat,"19,407 mi.","$58,499"
2,2017 Ford F-250 XLT,"27,758 mi.","$43,203"
3,2018 Ford F-250 XLT,"18,620 mi.","$45,388"
4,2016 Ford F-250,"61,111 mi.","$39,500"
5,2012 Ford F-250 XLT,"171,440 mi.","$15,500"
6,2012 Ford F-250 XLT,"88,861 mi.","$16,988"
7,2016 Ford F-250 Lariat,"31,648 mi.","$42,150"
8,2015 Ford F-250 King Ranch,"62,692 mi.","$39,599"
9,2006 Ford F-250 Lariat,"187,327 mi.","$15,995"
10,2016 Ford F-250 XLT,"44,393 mi.","$34,911"
11,2015 Ford F-250 Platinum,"40,222 mi.","$44,747"
12,2006 Ford F-250 XLT,"95,445 mi.","$12,500"
13,1999 Ford F-250,"243,000 mi.","$6,500"
14,2004 Ford F-250 XL,"122,340 mi.","$7,470"
15,2015 Ford F-250 XLT,"33,251 mi.","$30,859"
16,2015 Ford F-250 XL,"76,917 mi.","$18,997"
17,2002 Ford F-250 Lariat,"206,686 mi.","$10,995"
18,2001 Ford F-250,"158,510 mi.","$16,995"
19,2011 Ford F-250 Super Duty,"39,840 mi.","$29,995"
20,2016 Ford F-250 Lariat,"18,992 mi.","$54,921"
21,2017 Ford F-250 Lariat,"18,466 mi.","$56,486"
22,2015 Ford F-250 Lariat,"90,570 mi.","$38,597"
23,2017 Ford F-250 Lariat,"15,001 mi.","$57,593"
24,2014 Ford F-250 Lariat,"67,996 mi.","$37,893"
25,2017 Ford F-250 XLT,"25,382 mi.","$31,537"
26,2018 Ford F-250 XLT,"33,282 mi.","$43,500"
27,2002 Ford F-250 Lariat,"151,635 mi.","$14,989"
28,2016 Ford F-250 Lariat,"71,248 mi.","$39,764"
29,2012 Ford F-250 XLT,"115,213 mi.","$19,995"
30,2010 Ford F-250 XLT,"192,298 mi.","$10,250"
31,2011 Ford F-250 XLT,"129,320 mi.","$16,450"
32,2016 Ford F-250 XLT,"12,173 mi.","$30,999"
33,2015 Ford F-250 Super Duty,"83,667 mi.","$41,395"
34,2011 Ford F-250 Lariat,"136,857 mi.","$22,771"
35,2015 Ford F-250 King Ranch,"67,409 mi.","$42,221"
36,"2016 Ford F-250 4WD Crew Cab 172"""" Lariat","88,350 mi.","$30,950"
37,2006 Ford F-250 Super Duty,"144,979 mi.","$11,990"
38,2016 Ford F-250 XLT,"32,900 mi.","$36,995"
39,2007 Ford F-250 XLT,"163,055 mi.","$9,970"
40,2018 Ford F-250 Lariat,"20,788 mi.","$48,500"
41,2015 Ford F-250 XL,"53,446 mi.","$27,995"
42,2015 Ford F-250 King Ranch,"40,041 mi.","$47,488"
43,2016 Ford F-250 XL,"35,001 mi.","$28,000"
44,2017 Ford F-250 XLT,"33,338 mi.","$44,997"
45,2016 Ford F-250 XLT,"42,468 mi.","$25,990"
46,2014 Ford F-250 Lariat,"129,395 mi.","$28,990"
47,2017 Ford F-250 Lariat,"22,461 mi.","$47,844"
48,2017 Ford F-250 XLT,"28,097 mi.","$46,990"
49,2013 Ford F-250 XL,"38,224 mi.","$23,495"
50,2011 Ford F-250 Lariat,"89,333 mi.","$33,750"
51,2016 Ford F-250 XLT,"29,590 mi.","$33,300"
52,2016 Ford F-250 XL,"28,745 mi.","$28,582"
53,2017 Ford F-250 Lariat,"64,502 mi.","$39,995"
54,2016 Ford F-250 4WD SuperCab,"35,269 mi.","$39,499"
55,2014 Ford F-250 Lariat,"79,373 mi.","$30,500"
56,2012 Ford F-250,"47,864 mi.","$25,838"
57,2017 Ford F-250 Lariat,"17,665 mi.","$54,999"
58,2018 Ford F-250 XLT,"71,686 mi.","$39,900"
59,2014 Ford F-250 Lariat,"53,292 mi.","$42,300"
60,2011 Ford F-250 4WD Crew Cab,"110,066 mi.","$28,900"
61,2018 Ford F-250 XLT,"21,119 mi.","$36,565"
62,2012 Ford F-250 Lariat,"123,315 mi.","$33,650"
63,2016 Ford F-250 XL,"33,822 mi.","$27,000"
64,2003 Ford F-250 Lariat SuperCab Super Duty,"140,680 mi.","$9,385"
65,2017 Ford F-250 Lariat,"10,353 mi.","$55,977"
66,2016 Ford F-250 XL,"13,852 mi.","$27,615"
67,2016 Ford F-250 XL,"16,602 mi.","$28,643"
68,2011 Ford F-250 4WD Crew Cab,"82,539 mi.","$26,999"
69,2014 Ford F-250 XLT,"89,634 mi.","$31,400"
70,2016 Ford F-250 Lariat,"63,674 mi.","$38,998"
71,2006 Ford F-250 Super Duty,"179,624 mi.","$4,500"
72,2017 Ford F-250 XL,"59,104 mi.","$34,988"
73,2015 Ford F-250 King Ranch,"32,815 mi.","$49,968"
