,Name,Mileage,Price
0,1958 Ford Fairlane 500,"98,283 mi.","$26,499"
1,1965 Ford Fairlane,"59,183 mi.","$12,500"
2,1964 Ford Fairlane,"21,734 mi.","$30,900"
3,1964 Ford Fairlane 500 CUSTOM,"49,943 mi.","$27,000"
4,1955 Ford Fairlane,"76,972 mi.","$27,000"
5,1957 Ford Fairlane,"87,000 mi.","$8,000"
6,1955 Ford Fairlane,"67,355 mi.","$14,900"
7,1957 Ford Fairlane,,"$56,999"
8,1969 Ford Fairlane,0 mi.,Not Priced
9,1956 Ford Fairlane,0 mi.,"$18,995"
10,1955 Ford Fairlane,0 mi.,"$24,995"
11,1962 Ford Fairlane,,"$7,750"
