,Name,Mileage,Price
0,2012 Ford Focus Electric Base,"37,571 mi.","$10,599"
1,2015 Ford Focus Electric Base,"34,150 mi.","$14,860"
2,2016 Ford Focus Electric Base,"23,222 mi.","$14,998"
3,2013 Ford Focus Electric,"38,917 mi.","$9,600"
4,2014 Ford Focus Electric Base,"39,268 mi.","$11,500"
5,2015 Ford Focus Electric Base,"36,335 mi.","$12,872"
6,2017 Ford Focus Electric Base,"9,040 mi.","$16,393"
7,2014 Ford Focus Electric Base,"55,444 mi.","$12,995"
8,2012 Ford Focus Electric Base,"40,578 mi.","$9,998"
9,2013 Ford Focus Electric Base,"33,866 mi.","$10,595"
10,2016 Ford Focus Electric Base,"16,666 mi.","$14,900"
11,2014 Ford Focus Electric Base,"48,305 mi.","$11,998"
12,2016 Ford Focus Electric,"8,121 mi.","$16,496"
13,2013 Ford Focus Electric Base,"53,505 mi.","$9,990"
14,2016 Ford Focus Electric Base,"10,483 mi.","$14,777"
15,2016 Ford Focus Electric Base,"9,318 mi.","$16,500"
16,2013 Ford Focus Electric Base,"46,309 mi.","$10,998"
17,2014 Ford Focus Electric Base,"31,534 mi.","$12,491"
18,2013 Ford Focus Electric Base,"48,660 mi.","$10,499"
19,2016 Ford Focus Electric Base,"38,519 mi.","$11,900"
20,2016 Ford Focus Electric Base,"16,193 mi.","$14,982"
21,2014 Ford Focus Electric Base,"35,106 mi.","$10,500"
22,2014 Ford Focus Electric Base,"23,926 mi.","$13,782"
23,2017 Ford Focus Electric Base,"3,772 mi.","$17,932"
24,2014 Ford Focus Electric Base,"56,073 mi.","$10,996"
25,2016 Ford Focus Electric Base,"19,409 mi.","$14,897"
26,2013 Ford Focus Electric Base,"38,975 mi.","$11,998"
27,2013 Ford Focus Electric,"39,432 mi.","$10,996"
28,2013 Ford Focus Electric Base,"30,892 mi.","$9,992"
29,2014 Ford Focus Electric Base,"16,010 mi.","$12,657"
30,2016 Ford Focus Electric Base,"6,858 mi.","$15,999"
31,2015 Ford Focus Electric Base,"24,203 mi.","$12,999"
32,2015 Ford Focus Electric Base,"15,094 mi.","$12,200"
33,2015 Ford Focus Electric Base,"44,675 mi.","$12,192"
34,2016 Ford Focus Electric Base,"15,067 mi.","$14,474"
35,2015 Ford Focus Electric Base,"33,014 mi.","$13,991"
36,2013 Ford Focus Electric Base,"34,786 mi.","$8,800"
37,2013 Ford Focus Electric Base,"67,728 mi.","$12,599"
38,2013 Ford Focus Electric Base,"47,755 mi.","$11,998"
39,2013 Ford Focus Electric Base,"31,597 mi.","$11,599"
40,2016 Ford Focus Electric Base,"12,391 mi.","$15,988"
41,2016 Ford Focus Electric Base,"10,870 mi.","$16,991"
42,2015 Ford Focus Electric Base,"76,050 mi.","$12,987"
43,2014 Ford Focus Electric Base,"67,337 mi.","$10,599"
44,2013 Ford Focus Electric Base,"44,661 mi.","$10,998"
45,2012 Ford Focus Electric Base,"39,007 mi.","$9,998"
46,2016 Ford Focus Electric Base,"12,712 mi.","$15,990"
47,2014 Ford Focus Electric Base,"32,765 mi.","$11,991"
48,2013 Ford Focus Electric,"47,360 mi.","$12,427"
49,2013 Ford Focus Electric Base,"4,992 mi.","$13,595"
50,2013 Ford Focus Electric Base,"23,258 mi.","$8,200"
51,2016 Ford Focus Electric Base,"10,171 mi.","$15,782"
52,2013 Ford Focus Electric Base,"44,405 mi.","$10,700"
53,2016 Ford Focus Electric Base,"17,448 mi.","$16,477"
54,2015 Ford Focus Electric Base,"31,012 mi.","$13,977"
55,2015 Ford Focus Electric Base,"6,508 mi.","$14,998"
56,2016 Ford Focus Electric,"13,797 mi.","$16,767"
57,2014 Ford Focus Electric Base,"49,150 mi.","$11,100"
58,2013 Ford Focus Electric Base,"34,829 mi.","$10,995"
59,2012 Ford Focus Electric Base,"24,521 mi.","$10,500"
60,2016 Ford Focus Electric Base,"2,423 mi.","$15,998"
61,2015 Ford Focus Electric Base,"24,383 mi.","$12,502"
62,2015 Ford Focus Electric Base,"22,320 mi.","$13,904"
63,2013 Ford Focus Electric Base,"48,741 mi.","$10,787"
64,2014 Ford Focus Electric Base,"32,064 mi.","$11,991"
65,2013 Ford Focus Electric Base,"45,662 mi.","$9,980"
66,2013 Ford Focus Electric,"32,907 mi.","$10,995"
67,2013 Ford Focus Electric Base,"39,092 mi.","$12,599"
68,2015 Ford Focus Electric Base,"17,942 mi.","$13,998"
69,2013 Ford Focus Electric Base,"26,500 mi.","$11,998"
70,2012 Ford Focus Electric Base,"15,120 mi.","$9,222"
71,2013 Ford Focus Electric Base,"9,417 mi.","$11,995"
72,2013 Ford Focus Electric Base,"48,760 mi.","$8,699"
73,2013 Ford Focus Electric Base,"32,210 mi.","$10,662"
74,2012 Ford Focus Electric Base,"6,441 mi.","$11,450"
75,2014 Ford Focus Electric Base,"45,700 mi.","$11,700"
76,2016 Ford Focus Electric Base,"5,088 mi.","$16,500"
77,2013 Ford Focus Electric Base,"15,375 mi.","$12,900"
78,2015 Ford Focus Electric Base,"33,743 mi.","$12,803"
79,2013 Ford Focus Electric Base,"23,700 mi.","$13,998"
80,2013 Ford Focus Electric,"18,444 mi.","$12,220"
81,2012 Ford Focus Electric Base,"42,618 mi.","$9,590"
82,2012 Ford Focus Electric Base,"86,970 mi.","$6,997"
83,2015 Ford Focus Electric Base,"28,007 mi.","$13,599"
84,2013 Ford Focus Electric Base,"19,655 mi.","$13,995"
85,2013 Ford Focus Electric Base,"79,810 mi.","$8,000"
86,2012 Ford Focus Electric Base,"55,322 mi.","$9,888"
87,2016 Ford Focus Electric Base,891 mi.,"$16,598"
88,2016 Ford Focus Electric Base,"6,353 mi.","$18,960"
89,2012 Ford Focus Electric Base,"34,716 mi.","$8,500"
90,2013 Ford Focus Electric Base,"11,903 mi.","$11,985"
91,2016 Ford Focus Electric Base,"16,819 mi.","$14,384"
92,2016 Ford Focus Electric Base,"9,629 mi.","$15,900"
93,2013 Ford Focus Electric Base,"48,910 mi.","$11,998"
94,2014 Ford Focus Electric Base,"41,943 mi.","$13,995"
95,2014 Ford Focus Electric Base,"36,457 mi.","$12,998"
96,2016 Ford Focus Electric Base,"9,318 mi.","$16,500"
97,2016 Ford Focus Electric Base,"9,318 mi.","$16,500"
98,2014 Ford Focus Electric Base,"30,892 mi.","$14,993"
99,2013 Ford Focus Electric,"55,642 mi.","$8,974"
100,2017 Ford Focus Electric Base,"4,872 mi.","$18,000"
101,2017 Ford Focus Electric Base,"4,872 mi.","$18,000"
102,2012 Ford Focus Electric Base,"25,241 mi.","$11,998"
103,2016 Ford Focus Electric Base,"13,010 mi.","$14,999"
104,2014 Ford Focus Electric Base,"43,198 mi.","$16,999"
105,2013 Ford Focus Electric Base,"46,538 mi.","$12,998"
106,2016 Ford Focus Electric Base,"16,819 mi.","$14,384"
107,2013 Ford Focus Electric Base,"62,281 mi.","$10,199"
108,2013 Ford Focus Electric Base,"20,742 mi.","$13,599"
109,2012 Ford Focus Electric Base,"59,589 mi.","$10,992"
110,2012 Ford Focus Electric Base,"28,444 mi.","$10,988"
111,2014 Ford Focus Electric Base,"54,069 mi.","$12,388"
112,2016 Ford Focus Electric Base,"22,565 mi.","$15,992"
113,2014 Ford Focus Electric Base,"29,548 mi.","$13,599"
114,2013 Ford Focus Electric Base,"42,245 mi.","$9,995"
115,2014 Ford Focus Electric Base,"17,853 mi.","$13,457"
116,2016 Ford Focus Electric BASE,"20,889 mi.","$13,924"
117,2016 Ford Focus Electric BASE,"12,887 mi.","$14,788"
118,2015 Ford Focus Electric BASE,"21,125 mi.","$12,979"
119,2013 Ford Focus Electric Base,"42,268 mi.","$8,995"
120,2012 Ford Focus Electric Base,"66,777 mi.","$8,895"
121,2015 Ford Focus Electric BASE,"42,883 mi.","$12,899"
122,2017 Ford Focus Electric BASE,"10,514 mi.","$17,998"
123,2014 Ford Focus Electric Base,"36,571 mi.","$13,995"
124,2015 Ford Focus Electric Base,"23,149 mi.","$13,999"
125,2016 Ford Focus Electric BASE,"35,105 mi.","$14,586"
126,2012 Ford Focus Electric ELECTRIC,"16,211 mi.","$24,477"
127,2014 Ford Focus Electric Base,"59,524 mi.","$9,500"
128,2017 Ford Focus Electric Base,"13,194 mi.","$16,700"
129,2015 Ford Focus Electric Base,"17,572 mi.","$13,499"
130,2013 Ford Focus Electric Base,"62,863 mi.","$10,800"
131,2013 Ford Focus Electric,"27,704 mi.","$10,898"
132,2016 Ford Focus Electric Base,"30,590 mi.","$14,559"
133,2016 Ford Focus Electric BASE,"22,359 mi.","$15,999"
134,2016 Ford Focus Electric Base,"28,562 mi.","$14,499"
135,2014 Ford Focus Electric Base,"45,602 mi.","$13,599"
136,2014 Ford Focus Electric Base,"51,322 mi.","$10,998"
137,2016 Ford Focus Electric Base,"20,313 mi.","$13,999"
138,2013 Ford Focus Electric Base,"31,727 mi.","$11,465"
139,2013 Ford Focus Electric Base,"44,821 mi.",Not Priced
140,2015 Ford Focus Electric Base,"12,577 mi.","$14,391"
141,2013 Ford Focus Electric Base,"56,801 mi.","$8,195"
142,2013 Ford Focus Electric Base,489 mi.,"$27,999"
