,Name,Mileage,Price
0,2018 Ford Focus ST Base,"9,389 mi.","$21,500"
1,2017 Ford Focus ST Base,"14,135 mi.","$17,881"
2,2018 Ford Focus ST Base,"9,154 mi.","$21,998"
3,2017 Ford Focus ST Base,"8,066 mi.","$19,000"
4,2016 Ford Focus ST Base,"29,711 mi.","$18,997"
5,2015 Ford Focus ST Base,"34,344 mi.","$16,695"
6,2015 Ford Focus ST Base,"43,082 mi.","$16,499"
7,2016 Ford Focus ST Base,"10,396 mi.","$22,100"
8,2015 Ford Focus ST Base,"30,547 mi.","$17,119"
9,2014 Ford Focus ST Base,"55,408 mi.","$15,995"
10,2017 Ford Focus ST Base,"16,157 mi.","$18,330"
11,2018 Ford Focus ST Base,"13,139 mi.","$18,000"
12,2014 Ford Focus ST Base,"108,943 mi.","$12,998"
13,2017 Ford Focus ST Base,"6,723 mi.","$22,988"
14,2016 Ford Focus ST Base,"29,500 mi.","$20,999"
15,2015 Ford Focus ST Base,"48,400 mi.","$18,104"
16,2015 Ford Focus ST Base,"41,981 mi.","$16,639"
17,2017 Ford Focus ST Base,38 mi.,"$20,748"
18,2015 Ford Focus ST Base,"19,653 mi.","$18,900"
19,2016 Ford Focus ST Base,"18,976 mi.","$19,999"
20,2017 Ford Focus ST Base,"14,563 mi.","$18,349"
21,2018 Ford Focus ST Base,"3,054 mi.","$21,998"
22,2016 Ford Focus ST Base,"22,230 mi.","$18,071"
23,2013 Ford Focus ST Base,"69,359 mi.","$15,755"
24,2017 Ford Focus ST Base,"17,985 mi.","$19,998"
25,2017 Ford Focus ST Base,"13,897 mi.","$21,995"
26,2013 Ford Focus ST Base,"63,316 mi.","$13,995"
27,2017 Ford Focus ST Base,"21,159 mi.","$18,734"
28,2018 Ford Focus ST Base,"4,678 mi.","$19,572"
29,2015 Ford Focus ST Base,"56,979 mi.","$16,226"
30,2017 Ford Focus ST Base,"16,152 mi.","$18,895"
31,2016 Ford Focus ST Base,"39,106 mi.","$15,995"
32,2016 Ford Focus ST Base,"43,402 mi.","$14,422"
33,2017 Ford Focus ST Base,"15,300 mi.","$20,998"
34,2017 Ford Focus ST Base,"14,601 mi.","$18,400"
35,2017 Ford Focus ST Base,"19,335 mi.","$18,374"
36,2018 Ford Focus ST Base,"5,366 mi.","$20,850"
37,2017 Ford Focus ST Base,"7,804 mi.","$18,000"
38,2016 Ford Focus ST Base,"3,880 mi.","$16,999"
39,2016 Ford Focus ST Base,"38,092 mi.","$17,742"
40,2018 Ford Focus ST Base,"14,122 mi.","$20,998"
41,2018 Ford Focus ST Base,"16,913 mi.","$18,980"
42,2018 Ford Focus ST Base,"23,557 mi.","$19,799"
43,2016 Ford Focus ST Base,"60,674 mi.","$15,891"
44,2017 Ford Focus ST Base,"24,257 mi.","$19,947"
45,2013 Ford Focus ST Base,"42,548 mi.","$14,688"
46,2015 Ford Focus ST Base,"45,849 mi.","$15,000"
47,2018 Ford Focus ST Base,"18,886 mi.","$17,500"
48,2016 Ford Focus ST Base,"15,917 mi.","$18,000"
49,2018 Ford Focus ST Base,"15,270 mi.","$17,900"
50,2014 Ford Focus ST Base,"33,677 mi.","$16,300"
51,2014 Ford Focus ST Base,"36,237 mi.","$14,997"
52,2016 Ford Focus ST Base,"15,561 mi.","$18,899"
53,2017 Ford Focus ST Base,"32,123 mi.","$17,900"
54,2016 Ford Focus ST Base,"28,545 mi.","$17,915"
55,2014 Ford Focus ST Base,"71,318 mi.","$14,999"
56,2014 Ford Focus ST Base,"63,368 mi.","$14,350"
57,2017 Ford Focus ST Base,"28,208 mi.","$17,499"
58,2017 Ford Focus ST Base,"21,241 mi.","$19,801"
59,2018 Ford Focus ST Base,"7,003 mi.","$20,998"
60,2017 Ford Focus ST Base,"31,430 mi.","$17,961"
61,2014 Ford Focus ST Base,"25,285 mi.","$16,591"
62,2016 Ford Focus ST Base,"31,593 mi.","$18,000"
63,2018 Ford Focus ST Base,303 mi.,"$19,988"
64,2017 Ford Focus ST Base,"28,036 mi.","$17,600"
65,2018 Ford Focus ST Base,"1,471 mi.","$20,750"
66,2016 Ford Focus ST Base,"25,393 mi.","$19,997"
67,2015 Ford Focus ST Base,"45,589 mi.","$17,000"
68,2017 Ford Focus ST Base,"19,983 mi.","$18,900"
69,2017 Ford Focus ST Base,"21,653 mi.","$18,393"
70,2015 Ford Focus ST Base,"37,741 mi.","$16,497"
71,2015 Ford Focus ST Base,"43,139 mi.","$16,500"
72,2017 Ford Focus ST Base,"19,790 mi.","$18,395"
73,2014 Ford Focus ST Base,"49,266 mi.","$14,488"
74,2017 Ford Focus ST Base,"35,180 mi.","$16,256"
75,2017 Ford Focus ST Base,"9,218 mi.","$19,800"
76,2017 Ford Focus ST Base,"6,315 mi.","$19,982"
77,2015 Ford Focus ST Base,"25,700 mi.","$17,499"
78,2018 Ford Focus ST Base,"6,385 mi.","$21,750"
79,2015 Ford Focus ST Base,"40,397 mi.","$15,840"
80,2016 Ford Focus ST Base,"41,407 mi.","$14,995"
81,2016 Ford Focus ST Base,"6,774 mi.","$18,900"
82,2015 Ford Focus ST Base,"57,588 mi.","$15,119"
83,2017 Ford Focus ST Base,"18,146 mi.","$17,901"
84,2016 Ford Focus ST Base,"59,227 mi.","$14,999"
85,2015 Ford Focus ST Base,"60,717 mi.","$12,998"
86,2016 Ford Focus ST Base,"36,963 mi.","$15,799"
87,2016 Ford Focus ST Base,"56,919 mi.","$16,985"
88,2015 Ford Focus ST Base,"53,544 mi.","$15,988"
89,2014 Ford Focus ST Base,"14,216 mi.","$18,497"
90,2017 Ford Focus ST Base,"24,733 mi.","$19,900"
91,2014 Ford Focus ST Base,"61,889 mi.","$13,845"
92,2017 Ford Focus ST Base,"10,261 mi.","$19,900"
93,2014 Ford Focus ST Base,"39,993 mi.","$15,998"
94,2015 Ford Focus ST Base,"38,980 mi.","$18,188"
95,2013 Ford Focus ST Base,"45,275 mi.","$14,495"
96,2013 Ford Focus ST Base,"69,000 mi.","$13,599"
97,2017 Ford Focus ST Base,"6,487 mi.","$19,797"
98,2017 Ford Focus ST Base,"36,246 mi.","$17,488"
99,2018 Ford Focus ST Base,"5,396 mi.","$22,500"
100,2015 Ford Focus ST Base,"29,600 mi.","$18,998"
101,2016 Ford Focus ST Base,"43,235 mi.","$18,998"
102,2016 Ford Focus ST Base,"29,243 mi.","$19,998"
103,2014 Ford Focus ST Base,"51,411 mi.","$17,599"
104,2014 Ford Focus ST Base,"32,266 mi.","$16,987"
105,2014 Ford Focus ST Base,"79,659 mi.","$12,996"
106,2016 Ford Focus ST Base,"18,000 mi.","$20,998"
107,2016 Ford Focus ST Base,"17,005 mi.","$20,999"
108,2017 Ford Focus ST Base,"12,162 mi.","$14,495"
109,2014 Ford Focus ST Base,"46,064 mi.","$16,998"
110,2014 Ford Focus ST Base,"94,589 mi.","$13,998"
111,2017 Ford Focus ST Base,"40,149 mi.","$17,998"
112,2016 Ford Focus ST Base,"19,567 mi.","$19,998"
113,2015 Ford Focus ST Base,"54,881 mi.","$17,192"
114,2018 Ford Focus ST Base,"17,014 mi.","$19,999"
115,2013 Ford Focus ST Base,"60,468 mi.","$15,998"
116,2016 Ford Focus ST Base,"13,801 mi.","$18,998"
117,2018 Ford Focus ST Base,"17,945 mi.","$20,998"
118,2018 Ford Focus ST Base,"4,678 mi.","$19,572"
119,2017 Ford Focus ST Base,"24,088 mi.","$19,998"
120,2015 Ford Focus ST Base,"43,606 mi.","$16,975"
121,2018 Ford Focus ST Base,"19,621 mi.","$20,987"
122,2015 Ford Focus ST Base,"55,549 mi.","$15,991"
123,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
124,2013 Ford Focus ST Base,"32,158 mi.","$18,012"
125,2018 Ford Focus ST Base,"4,533 mi.","$21,998"
126,2013 Ford Focus ST,"46,726 mi.","$16,500"
127,2014 Ford Focus ST Base,"55,432 mi.","$16,200"
128,2015 Ford Focus ST Base,"51,806 mi.","$14,499"
129,2017 Ford Focus ST Base,"6,171 mi.","$22,995"
130,2014 Ford Focus ST Base,"92,851 mi.","$13,400"
131,2014 Ford Focus ST Base,"46,829 mi.","$14,755"
132,2017 Ford Focus ST Base,"20,395 mi.","$18,998"
133,2015 Ford Focus ST Base,"42,085 mi.","$16,994"
134,2018 Ford Focus ST Base,"17,085 mi.","$19,999"
135,2016 Ford Focus ST Base,"14,120 mi.","$15,376"
136,2016 Ford Focus ST Base,"24,462 mi.","$15,377"
137,2018 Ford Focus ST Base,"4,861 mi.","$20,911"
138,2015 Ford Focus ST Base,"54,091 mi.","$17,202"
139,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
140,2015 Ford Focus ST Base,"56,556 mi.","$15,195"
141,2014 Ford Focus ST Base,"77,267 mi.","$13,990"
142,2013 Ford Focus ST Base,"79,344 mi.","$12,966"
143,2018 Ford Focus ST Base,"8,049 mi.","$22,901"
144,2018 Ford Focus ST Base,"16,664 mi.","$22,901"
145,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
146,2017 Ford Focus ST Base,"19,060 mi.","$16,988"
147,2014 Ford Focus ST Base,"36,087 mi.","$16,500"
148,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
149,2018 Ford Focus ST Base,"12,272 mi.","$20,594"
150,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
151,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
152,2017 Ford Focus ST Base,"20,001 mi.","$18,979"
153,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
154,2017 Ford Focus ST Base,"19,983 mi.","$18,900"
155,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
156,2013 Ford Focus ST,"37,255 mi.","$15,736"
157,2013 Ford Focus ST Base,"76,352 mi.","$12,193"
158,2016 Ford Focus ST Base,"51,907 mi.","$18,996"
159,2017 Ford Focus ST Base,"20,903 mi.","$19,998"
160,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
161,2017 Ford Focus ST Base,"18,601 mi.","$18,995"
162,2017 Ford Focus ST Base,"18,724 mi.","$18,568"
163,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
164,2017 Ford Focus ST Base,"14,571 mi.","$17,990"
165,2017 Ford Focus ST Base,"14,571 mi.","$17,990"
166,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
167,2017 Ford Focus ST Base,"19,048 mi.","$18,300"
168,2016 Ford Focus ST Base,"26,646 mi.","$18,599"
169,2017 Ford Focus ST Base,"14,435 mi.","$19,900"
170,2014 Ford Focus ST Base,"47,341 mi.","$14,957"
171,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
172,2015 Ford Focus ST Base,"97,427 mi.","$13,397"
173,2015 Ford Focus ST Base,"36,523 mi.","$16,238"
174,2017 Ford Focus ST Base,"3,939 mi.","$21,867"
175,2015 Ford Focus ST Base,"48,988 mi.","$16,799"
176,2013 Ford Focus ST Base,"58,500 mi.","$14,988"
177,2017 Ford Focus ST Base,"16,539 mi.","$21,998"
178,2017 Ford Focus ST Base,"21,810 mi.","$20,998"
179,2016 Ford Focus ST Base,"44,805 mi.","$16,625"
180,2014 Ford Focus ST Base,"45,320 mi.","$15,499"
181,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
182,2013 Ford Focus ST Base,"118,183 mi.","$10,950"
183,2016 Ford Focus ST Base,"26,733 mi.","$19,800"
184,2015 Ford Focus ST Base,"36,201 mi.","$17,989"
