,Name,Mileage,Price
0,2018 Ford Focus Titanium,"16,036 mi.","$14,981"
1,2018 Ford Focus Titanium,"16,862 mi.","$13,981"
2,2014 Ford Focus SE,"86,367 mi.","$7,900"
3,2017 Ford Focus SE,"5,327 mi.","$13,300"
4,2016 Ford Focus SE,"30,019 mi.","$10,500"
5,2017 Ford Focus SEL,"1,957 mi.","$10,995"
6,2014 Ford Focus Titanium,"49,737 mi.","$8,499"
7,2017 Ford Focus Titanium,"31,891 mi.","$15,747"
8,2017 Ford Focus Titanium,"17,844 mi.","$17,747"
9,2015 Ford Focus SE,"47,262 mi.","$9,999"
10,2012 Ford Focus SEL,"48,624 mi.","$8,977"
11,2017 Ford Focus Titanium,"26,919 mi.","$14,370"
12,2012 Ford Focus SE,"157,017 mi.","$4,999"
13,2014 Ford Focus SE,"55,733 mi.","$7,928"
14,2016 Ford Focus SE,"48,967 mi.","$10,250"
15,2016 Ford Focus SE,"29,105 mi.","$10,677"
16,2016 Ford Focus S,"68,104 mi.","$6,495"
17,2018 Ford Focus S,"9,633 mi.","$12,465"
18,2014 Ford Focus Titanium,"40,752 mi.","$9,922"
19,2018 Ford Focus S,"3,133 mi.","$11,299"
20,2018 Ford Focus SE,"13,271 mi.","$13,092"
21,2014 Ford Focus S,"43,401 mi.","$8,200"
22,2008 Ford Focus SE,"116,629 mi.","$5,695"
23,2012 Ford Focus SE,"62,974 mi.","$9,600"
24,2012 Ford Focus Titanium,"106,987 mi.","$9,787"
25,2012 Ford Focus SEL,"74,925 mi.","$7,700"
26,2015 Ford Focus SE,"29,165 mi.","$11,999"
27,2012 Ford Focus SE,"41,952 mi.","$8,812"
28,2014 Ford Focus SE,"43,495 mi.","$9,294"
29,2014 Ford Focus SE,"79,491 mi.","$7,700"
30,2013 Ford Focus SE,"129,096 mi.","$6,595"
31,2015 Ford Focus Titanium,"2,851 mi.","$13,982"
32,2015 Ford Focus SE,"44,743 mi.","$10,295"
33,2012 Ford Focus SEL,"109,413 mi.","$6,495"
34,2015 Ford Focus SE,"42,192 mi.","$11,271"
35,2012 Ford Focus SE,"109,626 mi.","$5,523"
36,2014 Ford Focus SE,"49,268 mi.","$8,922"
37,2010 Ford Focus SES,"68,947 mi.","$6,450"
38,2012 Ford Focus SE,"82,367 mi.","$6,950"
39,2014 Ford Focus SE,"83,093 mi.","$8,366"
40,2015 Ford Focus SE,"44,769 mi.","$11,782"
41,2017 Ford Focus SE,"30,812 mi.","$9,999"
42,2012 Ford Focus SEL,"65,501 mi.","$7,371"
43,2013 Ford Focus Titanium,"81,884 mi.","$9,193"
44,2013 Ford Focus SE,"115,192 mi.","$5,373"
45,2018 Ford Focus S,"3,133 mi.","$11,299"
46,2012 Ford Focus SE,"51,455 mi.","$8,646"
47,2014 Ford Focus SE,"10,094 mi.","$11,800"
48,2012 Ford Focus SE,"96,615 mi.","$6,995"
49,2014 Ford Focus SE,"117,163 mi.","$6,596"
50,2018 Ford Focus SE,38 mi.,"$12,999"
51,2015 Ford Focus SE,"58,640 mi.","$9,435"
52,2009 Ford Focus SE,"65,417 mi.","$5,999"
53,2008 Ford Focus SE,"103,417 mi.","$3,999"
54,2010 Ford Focus SE,"153,538 mi.","$3,918"
55,2016 Ford Focus SE,"38,196 mi.","$11,000"
56,2017 Ford Focus SE,"36,914 mi.","$10,800"
57,2014 Ford Focus SE,"130,903 mi.","$6,250"
58,2010 Ford Focus SE,"123,866 mi.","$4,597"
59,2015 Ford Focus SE,"27,088 mi.","$9,995"
60,2014 Ford Focus SE,"65,740 mi.","$7,989"
61,2015 Ford Focus Titanium,"16,758 mi.","$13,595"
62,2015 Ford Focus S,"44,383 mi.","$9,500"
63,2014 Ford Focus SE,"79,387 mi.","$7,980"
64,2014 Ford Focus SE,"36,144 mi.","$9,475"
65,2014 Ford Focus SE,"48,918 mi.","$8,000"
66,2014 Ford Focus SE,"81,755 mi.","$7,752"
67,2015 Ford Focus SE,"24,930 mi.","$10,294"
68,2018 Ford Focus S,"3,133 mi.","$11,299"
69,2016 Ford Focus SE,"21,775 mi.","$9,499"
70,2015 Ford Focus SE,"12,974 mi.","$11,385"
71,2017 Ford Focus SE,"40,772 mi.","$10,800"
72,2014 Ford Focus SE,"36,932 mi.","$9,890"
73,2014 Ford Focus SE,"63,177 mi.","$6,742"
74,2012 Ford Focus SE,"59,590 mi.","$7,747"
75,2014 Ford Focus SE,"108,925 mi.","$6,426"
76,2015 Ford Focus SE,"29,382 mi.","$10,309"
77,2016 Ford Focus SE,"40,573 mi.","$11,940"
78,2018 Ford Focus SE,"23,020 mi.","$10,900"
79,2015 Ford Focus SE,"92,423 mi.","$8,080"
80,2016 Ford Focus SE,"43,727 mi.","$7,993"
81,2016 Ford Focus SE,"26,740 mi.","$11,963"
82,2015 Ford Focus SE,"29,709 mi.","$10,471"
83,2012 Ford Focus SE,"100,585 mi.","$7,373"
84,2013 Ford Focus S,"67,588 mi.","$6,905"
85,2013 Ford Focus SE,"84,446 mi.","$7,495"
86,2017 Ford Focus SE,"45,078 mi.","$10,900"
87,2016 Ford Focus SE,"40,668 mi.","$11,693"
88,2017 Ford Focus SE,"30,812 mi.","$9,999"
89,2012 Ford Focus SE,"62,569 mi.","$5,750"
90,2017 Ford Focus SE,"39,263 mi.","$9,499"
91,2014 Ford Focus SE,"118,592 mi.","$6,286"
92,2012 Ford Focus SE,"74,405 mi.","$6,124"
93,2016 Ford Focus S,"39,897 mi.","$9,999"
94,2014 Ford Focus SE,"54,257 mi.","$7,416"
95,2014 Ford Focus SE,"30,158 mi.","$8,995"
96,2014 Ford Focus SE,"91,384 mi.","$6,200"
97,2008 Ford Focus SE,"84,575 mi.","$3,995"
98,2010 Ford Focus SE,"73,992 mi.","$6,495"
99,2016 Ford Focus SE,"56,826 mi.","$9,595"
100,2017 Ford Focus SE,"44,457 mi.","$10,290"
101,2017 Ford Focus SE,"40,398 mi.","$9,900"
102,2012 Ford Focus SEL,"125,484 mi.","$5,995"
103,2015 Ford Focus SE,"37,673 mi.","$12,301"
104,2012 Ford Focus SEL,"84,433 mi.","$6,990"
105,2012 Ford Focus SE,"44,026 mi.","$8,243"
