,Name,Mileage,Price
0,2005 Ford Freestar S,"34,691 mi.","$5,943"
1,2005 Ford Freestar SEL,"81,259 mi.","$5,497"
2,2005 Ford Freestar SEL,"229,944 mi.","$2,999"
3,2004 Ford Freestar SE,"226,026 mi.","$2,522"
4,2005 Ford Freestar SES,"100,221 mi.","$3,995"
5,2004 Ford Freestar SE,"83,486 mi.","$4,246"
6,2005 Ford Freestar SES,"179,539 mi.","$2,995"
7,2005 Ford Freestar Limited,"170,711 mi.","$3,995"
8,2007 Ford Freestar SE,"91,409 mi.","$4,500"
9,2006 Ford Freestar SE,"46,833 mi.","$5,995"
10,2004 Ford Freestar SEL,"139,432 mi.","$3,200"
11,2004 Ford Freestar SEL,"139,396 mi.","$3,200"
12,2005 Ford Freestar S,"59,435 mi.","$5,588"
13,2005 Ford Freestar S,"84,250 mi.","$3,995"
14,2004 Ford Freestar SEL,"121,000 mi.","$2,995"
15,2005 Ford Freestar SEL,"108,290 mi.","$5,100"
16,2004 Ford Freestar SES,"130,654 mi.","$3,999"
17,2005 Ford Freestar SE,"101,679 mi.","$4,999"
18,2006 Ford Freestar SE,"207,416 mi.","$2,183"
19,2005 Ford Freestar SES,"90,333 mi.","$3,995"
20,2005 Ford Freestar SES,"330,895 mi.","$1,000"
21,2006 Ford Freestar SEL,"186,126 mi.","$1,999"
22,2006 Ford Freestar SEL,"151,394 mi.","$5,490"
23,2005 Ford Freestar,"174,641 mi.","$1,905"
24,2005 Ford Freestar SES,"47,773 mi.","$5,495"
25,2005 Ford Freestar SES,"151,889 mi.","$3,990"
26,2005 Ford Freestar SE,"95,339 mi.","$3,000"
27,2004 Ford Freestar SE,"144,125 mi.","$2,997"
28,2004 Ford Freestar SE,"59,941 mi.","$5,995"
29,2005 Ford Freestar SEL,"137,314 mi.","$4,900"
30,2006 Ford Freestar SEL,"124,376 mi.","$3,980"
31,2004 Ford Freestar Limited,"137,225 mi.","$3,995"
32,2006 Ford Freestar SEL,"170,586 mi.","$1,599"
