,Name,Mileage,Price
0,2018 Ford Fusion Titanium,"17,662 mi.","$18,481"
1,2018 Ford Fusion Titanium,"18,520 mi.","$18,481"
2,2016 Ford Fusion SE,"37,635 mi.","$14,995"
3,2016 Ford Fusion SE,"73,627 mi.","$12,591"
4,2016 Ford Fusion SE,"29,715 mi.","$15,451"
5,2016 Ford Fusion SE,"37,190 mi.","$14,198"
6,2015 Ford Fusion Titanium,"90,719 mi.","$13,988"
7,2014 Ford Fusion SE,"65,573 mi.","$10,991"
8,2013 Ford Fusion Titanium,"53,535 mi.","$13,790"
9,2016 Ford Fusion SE,"38,200 mi.","$16,991"
10,2016 Ford Fusion SE,"45,025 mi.","$13,442"
11,2017 Ford Fusion S,"13,527 mi.","$14,623"
12,2016 Ford Fusion SE,"64,357 mi.","$12,242"
13,2012 Ford Fusion S,"65,777 mi.","$9,000"
14,2017 Ford Fusion SE,"24,920 mi.","$16,959"
15,2017 Ford Fusion Sport,"16,047 mi.","$21,206"
16,2017 Ford Fusion Sport,"7,234 mi.","$22,995"
17,2006 Ford Fusion SEL,"121,652 mi.","$5,995"
18,2016 Ford Fusion SE,"29,672 mi.","$12,754"
19,2016 Ford Fusion Titanium,"65,224 mi.","$13,598"
20,2017 Ford Fusion SE,"35,426 mi.","$14,418"
21,2011 Ford Fusion SE,"91,483 mi.","$7,888"
22,2014 Ford Fusion SE,"58,886 mi.","$11,794"
23,2012 Ford Fusion SEL,"70,685 mi.","$9,500"
24,2013 Ford Fusion Titanium,"93,157 mi.","$10,822"
25,2010 Ford Fusion Sport,"118,226 mi.","$5,995"
26,2009 Ford Fusion SE,"94,535 mi.","$7,197"
27,2010 Ford Fusion Sport,"58,977 mi.","$11,995"
28,2014 Ford Fusion SE,"57,083 mi.","$11,590"
29,2017 Ford Fusion SE,"32,174 mi.","$14,400"
30,2017 Ford Fusion SE,"21,865 mi.","$16,997"
31,2017 Ford Fusion SE,"25,484 mi.","$17,222"
32,2018 Ford Fusion Platinum,"9,470 mi.","$23,977"
33,2017 Ford Fusion SE,"22,695 mi.","$13,894"
34,2018 Ford Fusion SE,"1,031 mi.","$16,998"
35,2016 Ford Fusion SE,"29,030 mi.","$15,900"
36,2013 Ford Fusion S,"31,905 mi.","$11,993"
37,2013 Ford Fusion Titanium,"56,555 mi.","$13,744"
38,2015 Ford Fusion SE,"35,387 mi.","$12,990"
39,2017 Ford Fusion SE,"17,608 mi.","$15,999"
40,2016 Ford Fusion SE,"35,868 mi.","$10,995"
41,2016 Ford Fusion S,"92,726 mi.","$9,300"
