,Name,Mileage,Price
0,2006 Ford GT 2dr Cpe,"3,221 mi.","$439,040"
1,2006 Ford GT 2dr Cpe,"5,208 mi.","$269,900"
2,2005 Ford GT Base,"4,678 mi.","$289,000"
3,2006 Ford GT 2dr Cpe,"2,996 mi.","$275,000"
4,2005 Ford GT Base,"4,479 mi.","$279,900"
5,2006 Ford GT Base,602 mi.,"$310,000"
6,2005 Ford GT Base,"12,760 mi.","$429,000"
7,2005 Ford GT 2dr Cpe,"2,606 mi.","$285,000"
8,2005 Ford GT Base,"2,482 mi.","$284,888"
9,2006 Ford GT 2dr Cpe,"2,473 mi.","$324,999"
10,2006 Ford GT Base,821 mi.,"$317,900"
11,2005 Ford GT Base,"4,555 mi.","$274,888"
12,2006 Ford GT 2dr Cpe,"4,219 mi.","$439,040"
13,2005 Ford GT Base,"38,967 mi.","$300,000"
14,2006 Ford GT 2dr Cpe,"5,549 mi.","$475,997"
15,2005 Ford GT Base,"7,740 mi.","$289,995"
16,2005 Ford GT 2dr Cpe,42 mi.,"$390,000"
17,2006 Ford GT,"5,700 mi.","$269,000"
18,2006 Ford GT,269 mi.,"$495,900"
19,2006 Ford GT 2dr Cpe,363 mi.,"$319,950"
20,2005 Ford GT 2dr Cpe,"2,215 mi.","$287,991"
21,2006 Ford GT Base,"6,880 mi.","$269,995"
22,2005 Ford GT 2dr Cpe,"16,194 mi.","$238,899"
23,2006 Ford GT Base,439 mi.,"$328,888"
24,2005 Ford GT Base,"10,993 mi.","$271,000"
25,2005 Ford GT,"9,886 mi.","$254,950"
26,2005 Ford GT,"90,000 mi.","$12,000"
27,2006 Ford GT,"1,347 mi.","$325,000"
28,2006 Ford GT,"2,200 mi.","$310,000"
29,2005 Ford GT 2dr Cpe,"2,916 mi.",Not Priced
30,2005 Ford GT 2dr Cpe,"7,199 mi.",Not Priced
31,2006 Ford GT Base,"14,060 mi.",Not Priced
