,Name,Mileage,Price
0,1927 Ford Model T,"7,095 mi.","$15,568"
1,1927 Ford Model T,"7,136 mi.","$17,595"
2,1927 Ford Model T,843 mi.,"$22,900"
3,1925 Ford Model T Roadster,"27,328 mi.","$15,999"
4,1924 Ford Model T T-Bucket Roadster,"5,781 mi.","$9,999"
5,1923 Ford Model T,"1,024 mi.","$17,900"
6,1911 Ford Model T,1 mi.,"$49,900"
7,1923 Ford Model T,"3,000 mi.","$15,000"
8,1921 Ford Model T,100 mi.,"$15,500"
9,1912 Ford Model T,206 mi.,"$10,000"
10,1926 Ford Model T,0 mi.,"$20,000"
11,1926 Ford Model T,0 mi.,"$16,997"
12,1927 Ford Model T,0 mi.,Not Priced
13,1926 Ford Model T,0 mi.,"$15,900"
14,1923 Ford Model T,,"$11,500"
15,1923 Ford Model T DRAGSTER,0 mi.,"$84,900"
16,1923 Ford Model T,99 mi.,"$13,900"
