,Name,Mileage,Price
0,1970 Ford Ranchero Squire,"11,514 mi.","$39,995"
1,1967 Ford Ranchero Fairlane,"97,802 mi.","$16,900"
2,1975 Ford Ranchero Ranchero,"49,925 mi.","$13,995"
3,1973 Ford Ranchero,"4,051 mi.","$15,990"
4,1979 Ford Ranchero,"51,754 mi.","$7,995"
5,1971 Ford Ranchero Coupe,"51,831 mi.","$6,991"
6,1962 Ford Ranchero,1 mi.,"$25,995"
7,1963 Ford Ranchero,"12,000 mi.","$8,800"
8,1969 Ford Ranchero,"1,500 mi.",Not Priced
9,1971 Ford Ranchero,,Not Priced
10,1977 Ford Ranchero,,"$22,049"
11,1957 Ford Ranchero SUPERCHARGED CUSTOM,"2,679 mi.",Not Priced
12,1972 Ford Ranchero,0 mi.,"$5,996"
13,1975 Ford Ranchero,0 mi.,Not Priced
