,Name,Mileage,Price
0,2002 Ford Ranger Edge,"65,931 mi.","$9,481"
1,2011 Ford Ranger XL,"43,720 mi.","$11,980"
2,2008 Ford Ranger FX4,"78,951 mi.","$12,800"
3,2011 Ford Ranger Sport,"52,290 mi.","$13,990"
4,2010 Ford Ranger XLT,"47,602 mi.","$16,392"
5,2011 Ford Ranger Sport,"69,218 mi.","$18,444"
6,1996 Ford Ranger XLT,"186,649 mi.","$2,795"
7,2011 Ford Ranger Sport,"130,283 mi.","$12,570"
8,2003 Ford Ranger XLT,"147,089 mi.","$4,698"
9,2003 Ford Ranger XLT,"171,564 mi.","$7,788"
10,2008 Ford Ranger XLT SuperCab,"100,363 mi.","$9,500"
11,2002 Ford Ranger UNIQUE FLEET,"159,075 mi.","$3,991"
12,2007 Ford Ranger Sport SuperCab,"160,161 mi.","$10,500"
13,2010 Ford Ranger XLT,"138,142 mi.","$6,999"
14,2009 Ford Ranger XLT,"177,301 mi.","$8,500"
15,2008 Ford Ranger Sport SuperCab,"77,801 mi.","$9,986"
16,2011 Ford Ranger,"31,346 mi.","$18,985"
17,2011 Ford Ranger FX4,"89,922 mi.","$12,999"
18,2004 Ford Ranger XLT,"139,675 mi.","$7,999"
19,2008 Ford Ranger Sport,"85,542 mi.","$8,999"
20,2003 Ford Ranger XLT SuperCab,"93,354 mi.","$5,999"
21,2008 Ford Ranger XLT SuperCab,"54,820 mi.","$14,885"
22,2010 Ford Ranger XLT,"114,406 mi.","$10,300"
23,2010 Ford Ranger XLT,"96,121 mi.","$7,995"
24,2008 Ford Ranger Sport SuperCab,"133,715 mi.","$10,999"
25,2011 Ford Ranger XLT,"96,552 mi.","$14,298"
26,2010 Ford Ranger XL,"113,170 mi.","$8,000"
27,2004 Ford Ranger XL SuperCab,"132,384 mi.","$4,988"
28,2004 Ford Ranger XLT,"246,100 mi.","$5,850"
29,2011 Ford Ranger XLT,"92,021 mi.","$15,689"
30,1996 Ford Ranger XLT,"181,432 mi.","$3,300"
31,2011 Ford Ranger XLT,"106,300 mi.","$9,944"
32,2011 Ford Ranger Sport,"48,150 mi.","$18,888"
33,2002 Ford Ranger XLT,"99,799 mi.","$6,500"
34,2009 Ford Ranger XLT SuperCab,"96,720 mi.","$7,994"
35,2010 Ford Ranger XL,"62,781 mi.","$9,988"
36,2011 Ford Ranger XL,"133,056 mi.","$5,495"
37,2008 Ford Ranger Sport,"66,677 mi.","$14,995"
38,2011 Ford Ranger XLT,"51,539 mi.","$12,595"
39,2004 Ford Ranger Edge,"101,710 mi.","$7,488"
40,2011 Ford Ranger XLT,"152,212 mi.","$9,877"
41,2006 Ford Ranger XLT,"69,426 mi.","$7,381"
42,2002 Ford Ranger XLT,"96,250 mi.","$6,595"
43,2011 Ford Ranger XL,"79,748 mi.","$9,549"
44,2004 Ford Ranger XLT SuperCab,"116,062 mi.","$6,653"
45,2007 Ford Ranger FX4 Off-Rd,"100,441 mi.","$10,987"
46,2007 Ford Ranger XL,"111,039 mi.","$7,506"
47,2011 Ford Ranger XLT,"113,944 mi.","$10,615"
48,2010 Ford Ranger XL,"129,070 mi.","$5,790"
49,2011 Ford Ranger,"100,293 mi.","$7,995"
50,2011 Ford Ranger XLT,"26,327 mi.","$15,799"
51,2011 Ford Ranger XLT,"74,480 mi.","$11,250"
52,2011 Ford Ranger XLT,"85,870 mi.","$13,995"
53,2009 Ford Ranger XLT SuperCab,"112,588 mi.","$8,500"
54,2011 Ford Ranger XLT,"75,895 mi.","$16,700"
55,2011 Ford Ranger Sport,"69,560 mi.","$17,998"
56,2010 Ford Ranger Sport,"89,520 mi.","$12,299"
57,2010 Ford Ranger XLT,"86,666 mi.","$13,000"
58,2009 Ford Ranger XL,"390,235 mi.","$3,200"
59,2008 Ford Ranger Sport SuperCab,"52,584 mi.","$8,995"
60,2008 Ford Ranger Sport SuperCab,"74,657 mi.","$9,495"
61,2009 Ford Ranger Sport SuperCab,"51,555 mi.","$14,995"
62,2010 Ford Ranger Sport,"14,591 mi.","$14,995"
63,2009 Ford Ranger Sport,"81,804 mi.","$10,941"
64,2002 Ford Ranger XLT,"164,849 mi.","$3,995"
65,2010 Ford Ranger Sport,"103,476 mi.","$11,400"
66,2011 Ford Ranger Sport,"63,933 mi.","$11,387"
67,2009 Ford Ranger Sport SuperCab,"91,866 mi.","$8,497"
68,2009 Ford Ranger Sport,"95,818 mi.","$9,250"
69,2011 Ford Ranger XLT,"31,700 mi.","$18,900"
70,2002 Ford Ranger XLT,"159,917 mi.","$2,995"
71,2004 Ford Ranger XLT SuperCab,"189,450 mi.","$4,995"
72,2011 Ford Ranger XLT,"195,112 mi.","$9,200"
73,2007 Ford Ranger FX4 SuperCab,"127,948 mi.","$10,990"
74,2010 Ford Ranger Sport,"116,769 mi.","$11,995"
75,2001 Ford Ranger XLT,"110,892 mi.","$6,000"
76,2006 Ford Ranger Sport,"62,370 mi.","$9,279"
77,2009 Ford Ranger XLT SuperCab,"98,759 mi.","$10,180"
78,2011 Ford Ranger XL,"64,581 mi.","$9,490"
79,2002 Ford Ranger XL,"109,764 mi.","$4,439"
80,2011 Ford Ranger XLT,"73,159 mi.","$15,300"
81,2010 Ford Ranger XLT,"54,318 mi.","$13,995"
82,2010 Ford Ranger XLT,"107,592 mi.","$8,997"
83,2006 Ford Ranger XLT SuperCab,"104,630 mi.","$6,950"
84,2005 Ford Ranger Edge SuperCab,"86,026 mi.","$7,950"
85,2011 Ford Ranger XLT,"57,564 mi.","$11,298"
86,2011 Ford Ranger XL,"58,535 mi.","$11,950"
87,2011 Ford Ranger Sport,"64,120 mi.","$17,000"
