,Name,Mileage,Price
0,2017 Ford Shelby GT350 Base,"3,577 mi.","$57,500"
1,2016 Ford Shelby GT350 Base,"19,843 mi.","$45,998"
2,2016 Ford Shelby GT350 Base,"9,217 mi.","$45,998"
3,2017 Ford Shelby GT350 Base,"2,101 mi.","$54,300"
4,2017 Ford Shelby GT350 Base,"5,083 mi.","$49,355"
5,2017 Ford Shelby GT350 Base,"6,973 mi.","$50,900"
6,2017 Ford Shelby GT350 Base,"2,101 mi.","$54,300"
7,2017 Ford Shelby GT350 Base,"16,771 mi.","$50,900"
8,2016 Ford Shelby GT350 Base,"14,983 mi.","$49,900"
9,2017 Ford Shelby GT350 Base,"2,978 mi.","$56,287"
10,2016 Ford Shelby GT350 Base,"14,226 mi.","$43,998"
11,2017 Ford Shelby GT350 Base,"18,103 mi.","$54,999"
12,2018 Ford Shelby GT350 Base,677 mi.,"$58,940"
13,2017 Ford Shelby GT350 Base,"20,388 mi.","$49,729"
14,2018 Ford Shelby GT350 Base,"5,094 mi.","$60,988"
15,2016 Ford Shelby GT350 Base,"18,035 mi.","$48,998"
16,2016 Ford Shelby GT350 Base,"9,367 mi.","$46,998"
17,2018 Ford Shelby GT350 Base,"3,985 mi.","$55,890"
18,2017 Ford Shelby GT350 Base,"3,978 mi.","$50,888"
19,2017 Ford Shelby GT350 Base,"2,101 mi.","$54,300"
20,2018 Ford Shelby GT350 Base,"2,982 mi.","$53,000"
21,2017 Ford Shelby GT350 Base,"2,101 mi.","$54,300"
22,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
23,2018 Ford Shelby GT350 Base,"2,703 mi.","$55,350"
24,2017 Ford Shelby GT350 Base,"9,758 mi.","$49,763"
25,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
26,2017 Ford Shelby GT350 Base,"11,596 mi.","$48,900"
27,2017 Ford Shelby GT350 Base,"4,547 mi.","$49,900"
28,2016 Ford Shelby GT350 Base,"2,863 mi.","$48,500"
29,2018 Ford Shelby GT350 Base,757 mi.,"$57,990"
30,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
31,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
32,2017 Ford Shelby GT350 Base,"6,077 mi.","$47,808"
33,2017 Ford Shelby GT350 Base,"11,256 mi.","$51,507"
34,2016 Ford Shelby GT350 Base,"2,692 mi.","$49,680"
35,2017 Ford Shelby GT350 Base,"8,538 mi.","$49,998"
36,2017 Ford Shelby GT350,"7,449 mi.","$49,800"
37,2017 Ford Shelby GT350 Base,"3,238 mi.","$49,893"
38,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
39,2017 Ford Shelby GT350 Base,"8,647 mi.","$49,995"
40,2018 Ford Shelby GT350 Base,867 mi.,"$53,495"
41,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
42,2018 Ford Shelby GT350 Base,"3,683 mi.","$55,988"
43,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
44,2016 Ford Shelby GT350 Base,"4,978 mi.","$46,998"
45,2017 Ford Shelby GT350 Base,"41,591 mi.","$45,997"
46,2017 Ford Shelby GT350,"9,947 mi.","$51,709"
47,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
48,2017 Ford Shelby GT350 Base,"3,607 mi.","$51,950"
49,2017 Ford Shelby GT350 Base,"12,670 mi.","$50,950"
50,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
51,2017 Ford Shelby GT350 Base,"7,391 mi.","$50,998"
52,2017 Ford Shelby GT350 Base,"8,600 mi.","$49,800"
53,2017 Ford Shelby GT350 Base,"20,037 mi.","$49,998"
54,2017 Ford Shelby GT350 Base,"2,276 mi.","$52,789"
55,2018 Ford Shelby GT350 Base,"1,739 mi.","$54,300"
56,2017 Ford Shelby GT350 Base,"6,047 mi.","$51,998"
57,2018 Ford Shelby GT350 Base,"2,401 mi.","$56,000"
58,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
59,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
60,2016 Ford Shelby GT350 Base,"8,275 mi.","$48,998"
61,2016 Ford Shelby GT350 Base,"5,842 mi.","$46,990"
62,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
63,2018 Ford Shelby GT350 Base,"3,728 mi.","$53,998"
64,2016 Ford Shelby GT350 Base,"4,492 mi.","$54,750"
65,2018 Ford Shelby GT350 Base,"2,180 mi.","$57,850"
66,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
67,2017 Ford Shelby GT350 Base,"33,170 mi.","$46,985"
68,2016 Ford Shelby GT350 Base,413 mi.,"$50,998"
69,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
70,2017 Ford Shelby GT350 Base,"14,058 mi.","$49,750"
71,2018 Ford Shelby GT350 Base,"4,823 mi.","$55,997"
72,2018 Ford Shelby GT350 Base,"3,596 mi.","$54,995"
73,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
74,2017 Ford Shelby GT350 Base,"4,978 mi.","$49,895"
75,2017 Ford Shelby GT350 Base,"5,600 mi.","$54,900"
76,2017 Ford Shelby GT350 Base,"1,873 mi.","$54,500"
77,2018 Ford Shelby GT350 Base,"1,788 mi.","$58,888"
78,2016 Ford Shelby GT350 Base,"33,580 mi.","$43,998"
79,2016 Ford Shelby GT350 Base,"3,100 mi.","$52,998"
80,2016 Ford Shelby GT350 Base,"11,803 mi.","$47,000"
81,2018 Ford Shelby GT350 Base,429 mi.,"$55,875"
82,2017 Ford Shelby GT350 Base,"1,183 mi.","$56,990"
83,2018 Ford Shelby GT350 Base,"3,653 mi.","$51,995"
84,2018 Ford Shelby GT350 Base,"3,457 mi.","$54,980"
85,2018 Ford Shelby GT350 Base,"1,496 mi.","$55,490"
86,2017 Ford Shelby GT350 Base,289 mi.,"$57,490"
87,2017 Ford Shelby GT350 Base,"5,058 mi.","$49,919"
88,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
89,2018 Ford Shelby GT350 Base,441 mi.,"$50,998"
90,2017 Ford Shelby GT350 Base,"15,359 mi.","$48,997"
91,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
92,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
93,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
94,2017 Ford Shelby GT350 Base,"3,328 mi.","$54,985"
95,2016 Ford Shelby GT350 Base,"6,302 mi.","$47,700"
96,2017 Ford Shelby GT350 Base,"9,300 mi.","$55,000"
97,2018 Ford Shelby GT350 Base,720 mi.,"$54,495"
98,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
99,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
100,2016 Ford Shelby GT350 Base,"1,353 mi.","$49,983"
101,2016 Ford Shelby GT350 Base,"19,894 mi.","$48,998"
102,2016 Ford Shelby GT350 Base,"18,500 mi.","$47,000"
103,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
104,2017 Ford Shelby GT350 Base,"2,101 mi.","$54,300"
105,2017 Ford Shelby GT350 Base,"15,009 mi.","$49,988"
106,2016 Ford Shelby GT350 Base,"5,504 mi.","$49,995"
107,2018 Ford Shelby GT350 Base,"7,240 mi.","$54,000"
108,2018 Ford Shelby GT350 Base,"2,839 mi.","$54,956"
109,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
110,2018 Ford Shelby GT350 Base,"5,610 mi.","$58,981"
111,2018 Ford Shelby GT350 Base,"1,587 mi.","$55,500"
112,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
113,2017 Ford Shelby GT350 Base,"6,000 mi.","$55,000"
114,2017 Ford Shelby GT350 Base,"12,404 mi.","$67,259"
115,2016 Ford Shelby GT350 Base,"4,493 mi.","$48,998"
116,2016 Ford Shelby GT350,"2,353 mi.","$49,900"
117,2017 Ford Shelby GT350 Base,"1,780 mi.","$55,495"
118,2018 Ford Shelby GT350 Base,693 mi.,"$56,905"
119,2017 Ford Shelby GT350 Base,"12,890 mi.","$58,487"
120,2016 Ford Shelby GT350 Base,"2,850 mi.","$51,000"
121,2017 Ford Shelby GT350,"3,231 mi.","$54,900"
122,2017 Ford Shelby GT350 Base,"8,349 mi.","$52,995"
123,2017 Ford Shelby GT350 Base,"7,142 mi.","$54,998"
124,2017 Ford Shelby GT350,939 mi.,"$57,900"
125,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
126,2016 Ford Shelby GT350 Base,"15,133 mi.","$49,996"
127,2017 Ford Shelby GT350 Base,"5,103 mi.","$54,990"
128,2018 Ford Shelby GT350 Base,"5,398 mi.","$54,998"
129,2017 Ford Shelby GT350 Base,"3,032 mi.","$52,998"
130,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
131,2017 Ford Shelby GT350 Base,"6,435 mi.","$54,988"
132,2016 Ford Shelby GT350 Base,"13,100 mi.","$48,694"
133,2017 Ford Shelby GT350 Base,"12,339 mi.","$47,499"
134,2018 Ford Shelby GT350 Base,845 mi.,"$55,950"
135,2017 Ford Shelby GT350 Base,"2,531 mi.","$52,885"
136,2018 Ford Shelby GT350 Base,"1,846 mi.","$52,535"
137,2017 Ford Shelby GT350 Base,"7,884 mi.","$49,962"
138,2016 Ford Shelby GT350 Base,"8,790 mi.","$53,888"
139,2018 Ford Shelby GT350 Base,"7,543 mi.","$54,945"
140,2017 Ford Shelby GT350 Base,"14,138 mi.","$49,987"
141,2017 Ford Shelby GT350 Base,"4,659 mi.","$52,214"
142,2017 Ford Shelby GT350 Base,"12,457 mi.","$50,977"
143,2018 Ford Shelby GT350 Base,"3,822 mi.","$58,995"
144,2016 Ford Shelby GT350 Base,"5,980 mi.","$71,000"
145,2018 Ford Shelby GT350 Base,914 mi.,"$54,995"
146,2016 Ford Shelby GT350 Base,"5,980 mi.","$71,000"
147,2017 Ford Shelby GT350 Base,"20,280 mi.","$48,999"
148,2017 Ford Shelby GT350 Base,808 mi.,"$58,888"
149,2017 Ford Shelby GT350 Base,"2,156 mi.","$50,900"
150,2016 Ford Shelby GT350 Base,"1,621 mi.","$46,987"
151,2017 Ford Shelby GT350 Base,"3,731 mi.","$49,995"
152,2016 Ford Shelby GT350 Base,"21,170 mi.","$49,990"
153,2016 Ford Shelby GT350 Base,"24,480 mi.","$48,745"
154,2018 Ford Shelby GT350 Base,279 mi.,"$59,999"
155,2016 Ford Shelby GT350 Base,"14,837 mi.","$47,499"
156,2016 Ford Shelby GT350 Base,"3,641 mi.","$49,998"
157,2016 Ford Shelby GT350 Base,"9,242 mi.","$45,995"
158,2017 Ford Shelby GT350 Base,"3,679 mi.","$49,995"
159,2018 Ford Shelby GT350 Base,"6,953 mi.","$56,991"
160,2017 Ford Shelby GT350 Base,"3,300 mi.","$68,988"
161,2017 Ford Shelby GT350 Base,"10,808 mi.","$48,900"
162,2018 Ford Shelby GT350 Base,"8,163 mi.","$50,300"
163,2018 Ford Shelby GT350 Base,"2,413 mi.","$56,226"
164,2016 Ford Shelby GT350 Base,"6,040 mi.","$43,611"
165,2016 Ford Shelby GT350 Base,"37,693 mi.","$44,998"
166,2018 Ford Shelby GT350 Base,"1,587 mi.","$55,500"
167,2016 Ford Shelby GT350 Base,"4,700 mi.","$45,900"
168,2017 Ford Shelby GT350 Base,"2,283 mi.","$53,995"
169,2018 Ford Shelby GT350 Base,"8,529 mi.","$52,750"
170,2017 Ford Shelby GT350 Base,"12,200 mi.","$48,261"
171,2017 Ford Shelby GT350 Base,"8,947 mi.","$44,500"
172,2017 Ford Shelby GT350,929 mi.,"$52,487"
173,2017 Ford Shelby GT350 Base,"7,160 mi.","$45,136"
174,2017 Ford Shelby GT350 Base,"1,184 mi.","$65,851"
175,2018 Ford Shelby GT350 Base,"7,204 mi.","$53,977"
176,2016 Ford Shelby GT350 Base,"20,732 mi.","$42,995"
177,2018 Ford Shelby GT350 Base,"2,802 mi.","$51,994"
178,2016 Ford Shelby GT350 Base,"1,770 mi.","$47,888"
179,2016 Ford Shelby GT350 Base,"20,400 mi.","$46,800"
180,2017 Ford Shelby GT350 Base,"8,452 mi.","$50,382"
181,2016 Ford Shelby GT350 Base,"6,271 mi.","$45,998"
182,2016 Ford Shelby GT350 Base,"17,968 mi.","$45,530"
183,2017 Ford Shelby GT350 Base,"2,492 mi.","$66,966"
184,2017 Ford Shelby GT350 Base,"1,978 mi.","$52,998"
185,2017 Ford Shelby GT350 Base,"1,704 mi.","$54,991"
186,2018 Ford Shelby GT350 Base,"2,027 mi.","$54,895"
187,2017 Ford Shelby GT350 Base,740 mi.,"$79,460"
188,2018 Ford Shelby GT350 Base,183 mi.,"$58,990"
189,2017 Ford Shelby GT350 Base,"2,538 mi.","$51,925"
190,2018 Ford Shelby GT350 Base,10 mi.,"$55,985"
191,2016 Ford Shelby GT350 Base,"6,481 mi.","$39,900"
192,2017 Ford Shelby GT350 Base,"37,852 mi.","$46,065"
193,2017 Ford Shelby GT350 Base,"8,945 mi.","$49,595"
194,2017 Ford Shelby GT350 Base,"3,795 mi.","$49,999"
195,2017 Ford Shelby GT350 Base,"4,165 mi.","$79,995"
196,2017 Ford Shelby GT350 Base,"8,562 mi.","$46,228"
197,2018 Ford Shelby GT350 Base,"3,543 mi.","$53,998"
198,2018 Ford Shelby GT350 Base,"2,465 mi.","$54,475"
199,2016 Ford Shelby GT350 Base,"4,660 mi.","$44,900"
200,2016 Ford Shelby GT350 Base,"14,550 mi.","$44,200"
201,2017 Ford Shelby GT350 Base,"4,756 mi.","$49,700"
202,2017 Ford Shelby GT350 Base,"3,120 mi.","$68,988"
203,2017 Ford Shelby GT350 Base,"28,879 mi.","$45,491"
204,2017 Ford Shelby GT350 Base,"2,800 mi.","$49,594"
205,2017 Ford Shelby GT350 Base,"9,415 mi.","$49,530"
206,2017 Ford Shelby GT350 Base,"13,159 mi.","$48,998"
207,2017 Ford Shelby GT350 Base,480 mi.,"$53,800"
208,2016 Ford Shelby GT350,839 mi.,"$46,988"
209,2016 Ford Shelby GT350 Base,"27,263 mi.","$40,999"
210,2017 Ford Shelby GT350 Base,"2,925 mi.","$79,995"
211,2018 Ford Shelby GT350 Base,"2,881 mi.","$54,800"
212,2017 Ford Shelby GT350 Base,"2,135 mi.","$51,919"
213,2018 Ford Shelby GT350 Base,"9,998 mi.","$49,995"
214,2016 Ford Shelby GT350 Base,"12,047 mi.","$41,900"
215,2016 Ford Shelby GT350 Base,"21,823 mi.","$45,380"
216,2017 Ford Shelby GT350 Base,625 mi.,"$53,940"
217,2016 Ford Shelby GT350 Base,"15,068 mi.","$44,995"
218,2017 Ford Shelby GT350 Base,"2,908 mi.","$68,980"
219,2018 Ford Shelby GT350 Base,22 mi.,"$89,395"
220,2018 Ford Shelby GT350 Base,"3,922 mi.","$55,000"
221,2016 Ford Shelby GT350 Base,"33,743 mi.","$38,900"
222,2016 Ford Shelby GT350 Base,"58,522 mi.","$41,970"
223,2017 Ford Shelby GT350 Base,"6,136 mi.","$79,999"
224,2017 Ford Shelby GT350 Base,"5,790 mi.","$57,995"
225,2017 Ford Shelby GT350 Base,"6,000 mi.","$59,000"
226,2016 Ford Shelby GT350 Base,"6,600 mi.","$46,900"
227,2016 Ford Shelby GT350 Base,"1,442 mi.","$44,999"
228,2017 Ford Shelby GT350 Base,"5,700 mi.","$54,000"
229,2016 Ford Shelby GT350 Base,"3,200 mi.","$48,750"
230,2017 Ford Shelby GT350 Base,"1,400 mi.","$53,000"
231,2017 Ford Shelby GT350 Base,"36,000 mi.","$46,000"
232,2018 Ford Shelby GT350 Base,"1,050 mi.","$59,000"
233,2016 Ford Shelby GT350 Base,"7,008 mi.","$47,495"
234,2017 Ford Shelby GT350 Base,348 mi.,"$75,500"
