,Name,Mileage,Price
0,2008 Ford Taurus X SEL,"94,348 mi.","$7,995"
1,2009 Ford Taurus X Eddie Bauer,"120,731 mi.","$6,300"
2,2008 Ford Taurus X SEL,"165,235 mi.","$4,471"
3,2008 Ford Taurus X SEL,"117,800 mi.","$5,491"
4,2008 Ford Taurus X Eddie Bauer,"199,131 mi.","$4,490"
5,2008 Ford Taurus X SEL,"165,557 mi.","$4,983"
6,2008 Ford Taurus X SEL,"164,554 mi.","$5,989"
7,2008 Ford Taurus X SEL,"24,503 mi.","$11,495"
8,2008 Ford Taurus X SEL,"147,931 mi.","$4,999"
9,2008 Ford Taurus X Eddie Bauer,"148,452 mi.","$5,900"
10,2008 Ford Taurus X SEL,"147,280 mi.","$6,900"
11,2008 Ford Taurus X SEL,"26,106 mi.","$11,495"
12,2009 Ford Taurus X Limited,"125,936 mi.","$4,495"
13,2008 Ford Taurus X SEL,"25,788 mi.","$11,495"
14,2009 Ford Taurus X Limited,"141,908 mi.","$7,874"
15,2008 Ford Taurus X SEL,"146,025 mi.","$5,936"
16,2008 Ford Taurus X SEL,"123,538 mi.","$6,500"
17,2008 Ford Taurus X SEL,"162,179 mi.","$4,888"
18,2009 Ford Taurus X Limited,"127,828 mi.","$7,995"
19,2008 Ford Taurus X Limited,"149,880 mi.","$4,995"
20,2008 Ford Taurus X Limited,"83,379 mi.","$6,995"
21,2008 Ford Taurus X Limited,"185,116 mi.","$4,995"
22,2009 Ford Taurus X SEL,"154,146 mi.","$5,922"
23,2008 Ford Taurus X SEL,"129,291 mi.","$5,199"
24,2008 Ford Taurus X Limited,"90,626 mi.","$9,999"
25,2009 Ford Taurus X Eddie Bauer,"183,459 mi.","$3,650"
26,2008 Ford Taurus X Eddie Bauer,"119,994 mi.","$5,800"
27,2008 Ford Taurus X SEL,"164,461 mi.","$3,995"
28,2009 Ford Taurus X SEL,"168,585 mi.","$4,995"
29,2008 Ford Taurus X SEL,"100,012 mi.","$4,995"
30,2008 Ford Taurus X SEL,"115,353 mi.","$4,700"
31,2008 Ford Taurus X Eddie Bauer,"137,129 mi.","$5,495"
32,2009 Ford Taurus X Eddie Bauer,"104,627 mi.","$10,995"
33,2008 Ford Taurus X SEL,"138,020 mi.","$7,990"
34,2009 Ford Taurus X SEL,"161,608 mi.","$4,995"
35,2008 Ford Taurus X SEL,"168,000 mi.","$3,995"
36,2008 Ford Taurus X SEL,"158,638 mi.","$7,887"
37,2008 Ford Taurus X SEL,"70,208 mi.","$7,977"
38,2009 Ford Taurus X SEL,"105,493 mi.","$6,999"
39,2009 Ford Taurus X Limited,"106,988 mi.","$8,500"
40,2008 Ford Taurus X SEL FWD,"167,694 mi.","$4,700"
41,2008 Ford Taurus X SEL,"115,000 mi.","$5,995"
42,2009 Ford Taurus X SEL,"130,282 mi.","$6,349"
43,2008 Ford Taurus X Limited,"161,682 mi.","$6,500"
44,2008 Ford Taurus X Eddie Bauer,"79,000 mi.","$4,400"
45,2008 Ford Taurus X SEL,"167,418 mi.","$3,995"
46,2008 Ford Taurus X Eddie Bauer,"121,388 mi.","$8,475"
47,2008 Ford Taurus X Eddie Bauer,"136,570 mi.","$3,999"
48,2008 Ford Taurus X SEL,"145,000 mi.","$4,500"
49,2008 Ford Taurus X SEL,"243,000 mi.","$3,750"
50,2008 Ford Taurus X SEL,"183,036 mi.",Not Priced
51,2008 Ford Taurus X SEL,"183,036 mi.",Not Priced
52,2008 Ford Taurus X SEL,"183,036 mi.",Not Priced
53,2009 Ford Taurus X Eddie Bauer,"162,855 mi.","$3,995"
54,2008 Ford Taurus X SEL,"155,571 mi.",Not Priced
55,2008 Ford Taurus X Limited,"132,551 mi.",Not Priced
56,2008 Ford Taurus X Limited,0 mi.,"$6,995"
57,2008 Ford Taurus X Limited,"123,345 mi.",Not Priced
58,2008 Ford Taurus X SEL,"173,029 mi.",Not Priced
59,2008 Ford Taurus X SEL,"131,767 mi.","$4,995"
60,2008 Ford Taurus X Eddie Bauer,"159,705 mi.",Not Priced
61,2008 Ford Taurus X Eddie Bauer,"104,133 mi.","$8,998"
62,2008 Ford Taurus X SEL,"168,887 mi.","$3,100"
63,2008 Ford Taurus X SEL,"107,990 mi.","$4,500"
64,2008 Ford Taurus X SEL,"111,000 mi.",Not Priced
