,Name,Mileage,Price
0,2017 Ford Transit Connect XLT,"22,509 mi.","$17,995"
1,2011 Ford Transit Connect XLT,"95,334 mi.","$9,975"
2,2014 Ford Transit Connect XL,"69,333 mi.","$11,784"
3,2015 Ford Transit Connect XLT,"35,948 mi.","$16,439"
4,2014 Ford Transit Connect XLT,"31,729 mi.","$15,690"
5,2014 Ford Transit Connect XLT,"208,591 mi.","$7,500"
6,2018 Ford Transit Connect XL,909 mi.,"$19,999"
7,2016 Ford Transit Connect XL,"16,211 mi.","$17,999"
8,2016 Ford Transit Connect XL,"33,682 mi.","$18,393"
9,2017 Ford Transit Connect XL,"16,274 mi.","$19,995"
10,2015 Ford Transit Connect XLT w/Rear Liftgate,"28,242 mi.","$16,000"
11,2013 Ford Transit Connect XLT,"52,554 mi.","$12,288"
12,2014 Ford Transit Connect XLT,"124,008 mi.","$8,792"
13,2016 Ford Transit Connect XLT,"109,031 mi.","$12,569"
14,2016 Ford Transit Connect XLT w/Rear Liftgate,"34,749 mi.","$17,330"
15,2016 Ford Transit Connect XLT w/Rear Liftgate,"106,581 mi.","$11,988"
16,2016 Ford Transit Connect XLT,"54,806 mi.","$16,900"
17,2012 Ford Transit Connect XLT,"68,920 mi.","$10,995"
18,2015 Ford Transit Connect Titanium,"67,646 mi.","$15,099"
19,2018 Ford Transit Connect XL,"6,325 mi.","$19,800"
20,2015 Ford Transit Connect Titanium,"44,683 mi.","$18,500"
21,2016 Ford Transit Connect XLT w/Rear Liftgate,"74,179 mi.","$11,443"
22,2017 Ford Transit Connect XL,"10,181 mi.","$19,832"
23,2014 Ford Transit Connect XLT,"98,929 mi.","$12,995"
24,2012 Ford Transit Connect XLT,"52,565 mi.","$12,456"
25,2016 Ford Transit Connect XL,"24,536 mi.","$16,795"
26,2019 Ford Transit Connect XL,7 mi.,"$22,995"
27,2014 Ford Transit Connect XLT,"13,788 mi.","$15,900"
28,2014 Ford Transit Connect XLT,"48,193 mi.","$13,988"
29,2018 Ford Transit Connect XL,"7,319 mi.","$22,985"
30,2013 Ford Transit Connect XLT,"113,300 mi.","$8,490"
31,2016 Ford Transit Connect XLT,"57,819 mi.","$17,880"
32,2010 Ford Transit Connect XLT,"75,528 mi.","$9,900"
33,2016 Ford Transit Connect XL,"21,182 mi.","$20,552"
34,2014 Ford Transit Connect XL,"128,339 mi.","$7,500"
35,2017 Ford Transit Connect XL,"2,438 mi.","$20,490"
36,2014 Ford Transit Connect XL,"90,044 mi.","$11,990"
37,2014 Ford Transit Connect XL,"80,702 mi.","$11,750"
38,2016 Ford Transit Connect Titanium,"35,574 mi.","$20,994"
39,2019 Ford Transit Connect XLT,"4,492 mi.","$23,348"
40,2014 Ford Transit Connect XLT,"70,603 mi.","$12,700"
41,2016 Ford Transit Connect XLT w/Rear Liftgate,"46,577 mi.","$16,799"
42,2014 Ford Transit Connect XLT,"32,574 mi.","$14,910"
43,2015 Ford Transit Connect XLT w/Rear Liftgate,"77,565 mi.","$13,991"
44,2016 Ford Transit Connect XL,"35,511 mi.","$16,868"
45,2017 Ford Transit Connect XL,"13,008 mi.","$18,970"
46,2016 Ford Transit Connect XL,"10,748 mi.","$19,998"
47,2011 Ford Transit Connect XLT,"126,105 mi.","$6,998"
48,2012 Ford Transit Connect XL,"133,224 mi.","$6,000"
49,2017 Ford Transit Connect XLT,"18,529 mi.","$18,496"
50,2013 Ford Transit Connect XL,"76,985 mi.","$10,983"
51,2015 Ford Transit Connect Titanium,"88,024 mi.","$14,950"
52,2012 Ford Transit Connect XLT,"94,045 mi.","$8,797"
53,2015 Ford Transit Connect XLT w/Rear Liftgate,"24,969 mi.","$16,299"
54,2014 Ford Transit Connect XLT,"32,908 mi.","$14,900"
55,2014 Ford Transit Connect XLT,"5,023 mi.","$18,750"
56,2013 Ford Transit Connect XLT Premium,"51,231 mi.","$12,985"
57,2015 Ford Transit Connect XL,"31,860 mi.","$16,850"
58,2012 Ford Transit Connect XLT,"73,904 mi.","$10,950"
59,2015 Ford Transit Connect XLT,"32,583 mi.","$15,982"
60,2012 Ford Transit Connect XLT,"36,034 mi.","$12,999"
61,2013 Ford Transit Connect XLT,"92,977 mi.","$8,309"
62,2013 Ford Transit Connect XLT,"69,900 mi.","$10,000"
63,2015 Ford Transit Connect XL,"89,915 mi.","$11,238"
64,2016 Ford Transit Connect XLT,"40,145 mi.","$14,999"
65,2014 Ford Transit Connect XL,"81,940 mi.","$11,994"
66,2015 Ford Transit Connect XLT,"28,909 mi.","$16,800"
67,2017 Ford Transit Connect XLT w/Rear Liftgate,"3,574 mi.","$20,995"
68,2016 Ford Transit Connect XLT,"29,966 mi.","$17,932"
69,2014 Ford Transit Connect XL,"11,218 mi.","$15,999"
70,2015 Ford Transit Connect Titanium,"28,249 mi.","$18,899"
71,2015 Ford Transit Connect XLT,"22,790 mi.","$16,000"
72,2017 Ford Transit Connect XLT,"41,016 mi.","$17,398"
73,2015 Ford Transit Connect XL,"36,424 mi.","$15,590"
74,2017 Ford Transit Connect XL,"6,763 mi.","$18,626"
75,2016 Ford Transit Connect XL,"61,690 mi.","$15,480"
76,2016 Ford Transit Connect XLT,"16,721 mi.","$21,813"
77,2014 Ford Transit Connect XL,"82,196 mi.","$13,000"
78,2010 Ford Transit Connect XLT,"98,016 mi.","$9,995"
79,2016 Ford Transit Connect XLT,"5,760 mi.","$19,690"
80,2015 Ford Transit Connect XL,"71,658 mi.","$13,495"
81,2016 Ford Transit Connect XLT,"30,966 mi.","$19,777"
82,2015 Ford Transit Connect XL,"88,394 mi.","$10,995"
83,2014 Ford Transit Connect XLT,"65,799 mi.","$12,944"
84,2013 Ford Transit Connect XL,"17,658 mi.","$11,995"
85,2011 Ford Transit Connect XLT,"44,485 mi.","$9,840"
86,2016 Ford Transit Connect XL,"17,615 mi.","$17,895"
87,2013 Ford Transit Connect XLT,"76,510 mi.","$10,995"
88,2015 Ford Transit Connect XL,"66,949 mi.","$12,900"
89,2015 Ford Transit Connect XL w/Rear Liftgate,"66,615 mi.","$13,995"
