,Name,Mileage,Price
0,2013 Ford Utility Police Interceptor Base,"61,510 mi.","$13,995"
1,2013 Ford Utility Police Interceptor Base,"95,091 mi.","$10,995"
2,2013 Ford Utility Police Interceptor Base,"44,956 mi.","$13,998"
3,2013 Ford Utility Police Interceptor Base,"54,311 mi.","$13,998"
4,2013 Ford Utility Police Interceptor Base,"57,284 mi.","$14,995"
5,2017 Ford Utility Police Interceptor AWD,"20,696 mi.","$36,858"
6,2017 Ford Utility Police Interceptor AWD,25 mi.,"$34,776"
7,2017 Ford Utility Police Interceptor Base,"24,820 mi.","$24,995"
8,2017 Ford Utility Police Interceptor Base,"106,122 mi.","$14,997"
9,2013 Ford Utility Police Interceptor Base,"127,276 mi.","$9,504"
10,2013 Ford Utility Police Interceptor Base,"118,648 mi.","$10,995"
11,2017 Ford Utility Police Interceptor AWD,387 mi.,"$31,588"
12,2017 Ford Utility Police Interceptor Base,"65,976 mi.","$18,795"
13,2017 Ford Utility Police Interceptor Base,"74,310 mi.","$18,595"
14,2013 Ford Utility Police Interceptor Base,,"$9,999"
15,2013 Ford Utility Police Interceptor Base,"140,374 mi.",Not Priced
