,Name,Mileage,Price
0,2003 Ford Windstar Base,"195,539 mi.","$2,000"
1,2002 Ford Windstar LX w/130A,"193,779 mi.","$1,995"
2,2003 Ford Windstar SE,"157,816 mi.","$2,495"
3,2001 Ford Windstar SE Sport,"195,000 mi.","$2,995"
4,1999 Ford Windstar SE,"120,558 mi.","$2,250"
5,2003 Ford Windstar SE,"95,791 mi.","$4,812"
6,2003 Ford Windstar SE,"122,503 mi.","$4,450"
7,2002 Ford Windstar SEL,"144,963 mi.","$2,999"
8,1997 Ford Windstar,"178,413 mi.",$995
9,1996 Ford Windstar,"181,222 mi.","$1,995"
10,2002 Ford Windstar SEL,"132,944 mi.","$2,499"
11,2002 Ford Windstar SE,"123,746 mi.","$2,800"
12,2001 Ford Windstar LX,"104,347 mi.","$2,995"
13,1999 Ford Windstar LX,"186,433 mi.","$1,795"
14,2003 Ford Windstar SE,"104,603 mi.","$2,990"
15,2000 Ford Windstar SE,"157,745 mi.","$2,995"
16,2000 Ford Windstar SEL,"111,175 mi.","$1,995"
17,2002 Ford Windstar SE,"141,463 mi.","$1,995"
18,2000 Ford Windstar LX,"199,600 mi.","$2,788"
19,2001 Ford Windstar LX,"45,000 mi.","$6,950"
20,1998 Ford Windstar Base,"109,261 mi.","$3,995"
21,2002 Ford Windstar SE,"95,347 mi.","$2,899"
22,1998 Ford Windstar GL,"167,009 mi.","$1,100"
23,2001 Ford Windstar SEL,"149,672 mi.","$2,999"
24,2003 Ford Windstar SEL,"81,128 mi.","$5,922"
25,2001 Ford Windstar SE Sport,"158,000 mi.","$2,995"
26,2000 Ford Windstar SE,"234,000 mi.","$1,995"
27,2002 Ford Windstar SEL,"115,670 mi.","$3,995"
28,2001 Ford Windstar SE,"137,104 mi.","$1,700"
29,1999 Ford Windstar LX,"133,128 mi.","$2,950"
30,2002 Ford Windstar SEL,"122,431 mi.","$3,395"
31,2003 Ford Windstar Base,"316,045 mi.","$2,550"
32,1998 Ford Windstar Base,"165,170 mi.","$1,995"
33,2003 Ford Windstar Base,"79,354 mi.","$3,995"
34,2003 Ford Windstar LX,"81,051 mi.","$4,999"
35,2002 Ford Windstar SEL,"159,382 mi.","$3,273"
36,2003 Ford Windstar LX,"155,857 mi.","$4,648"
37,2003 Ford Windstar SE,"128,799 mi.","$2,555"
38,1999 Ford Windstar LX,"186,638 mi.","$1,500"
39,1999 Ford Windstar 3.0L,"128,716 mi.","$1,600"
40,2003 Ford Windstar SEL,"183,872 mi.","$1,595"
41,1998 Ford Windstar GL,"229,957 mi.","$3,150"
42,2003 Ford Windstar LX,"143,800 mi.","$4,995"
43,1999 Ford Windstar LX,"149,127 mi.","$2,495"
44,2001 Ford Windstar SEL,"81,392 mi.","$4,000"
45,2002 Ford Windstar LX,"72,625 mi.","$5,650"
46,2002 Ford Windstar SE,"161,000 mi.","$1,900"
47,2001 Ford Windstar SE,"143,175 mi.","$2,950"
48,2003 Ford Windstar,"155,407 mi.","$5,995"
