,Name,Mileage,Price
0,2015 GMC Acadia SLE-1,"55,509 mi.","$19,997"
1,2017 GMC Acadia Denali,"20,615 mi.","$30,833"
2,2018 GMC Acadia SLE-2,"18,739 mi.","$28,500"
3,2017 GMC Acadia Denali,"44,509 mi.","$33,844"
4,2015 GMC Acadia SLE-1,"48,696 mi.","$20,999"
5,2018 GMC Acadia SLT-1,"19,558 mi.","$31,498"
6,2018 GMC Acadia SLE-2,"13,681 mi.","$25,598"
7,2017 GMC Acadia SLT-1,"23,052 mi.","$30,329"
8,2018 GMC Acadia SLE-2,"21,031 mi.","$24,969"
9,2018 GMC Acadia SLE-2,"21,031 mi.","$24,969"
10,2009 GMC Acadia SLT-1,"162,051 mi.","$10,200"
11,2016 GMC Acadia SLT-2,"56,990 mi.","$24,984"
12,2017 GMC Acadia Denali,"21,740 mi.","$37,989"
13,2014 GMC Acadia SLE-1,"75,013 mi.","$14,291"
14,2018 GMC Acadia SLE,"10,187 mi.","$28,995"
15,2011 GMC Acadia Denali,"103,915 mi.","$14,835"
16,2015 GMC Acadia SLT-2,"51,478 mi.","$25,290"
17,2017 GMC Acadia Denali,"29,355 mi.","$35,969"
18,2016 GMC Acadia Denali,"29,772 mi.","$32,433"
19,2015 GMC Acadia Denali,"65,400 mi.","$26,465"
20,2011 GMC Acadia SLT-1,"91,808 mi.","$13,655"
21,2018 GMC Acadia SLT-1,"19,613 mi.","$35,232"
22,2013 GMC Acadia SLT-1,"97,618 mi.","$16,989"
23,2015 GMC Acadia SLE-1,"37,975 mi.","$19,995"
24,2014 GMC Acadia Denali,"35,742 mi.","$27,900"
25,2017 GMC Acadia Denali,"36,198 mi.","$34,401"
26,2015 GMC Acadia Denali,"52,290 mi.","$27,351"
27,2015 GMC Acadia SLE-2,"39,141 mi.","$21,450"
28,2014 GMC Acadia SLE-2,"80,248 mi.","$15,536"
29,2018 GMC Acadia SLT-1,"17,372 mi.","$32,241"
30,2016 GMC Acadia SLE-2,"35,055 mi.","$23,777"
31,2017 GMC Acadia SLT-1,"20,127 mi.","$30,999"
32,2015 GMC Acadia SLE-1,"45,707 mi.","$19,769"
33,2013 GMC Acadia Denali,"92,688 mi.","$18,962"
34,2018 GMC Acadia SLE-2,"23,916 mi.","$26,991"
35,2016 GMC Acadia Denali,"40,917 mi.","$29,500"
36,2012 GMC Acadia Denali,"105,672 mi.","$14,482"
37,2015 GMC Acadia SLE-1,"84,055 mi.","$17,250"
38,2017 GMC Acadia SLE-1,"80,615 mi.","$19,000"
39,2011 GMC Acadia Denali,"108,839 mi.","$14,999"
40,2015 GMC Acadia SLE-1,"44,532 mi.","$22,987"
