,Name,Mileage,Price
0,2002 GMC Safari YF7 UPFITTER,"109,329 mi.","$8,900"
1,2003 GMC Safari,"340,337 mi.","$2,456"
2,2005 GMC Safari FLOOR PARTITION CLEAN CARFAX,"87,141 mi.","$8,900"
3,2002 GMC Safari SLE,"94,763 mi.","$5,295"
4,2005 GMC Safari SLT,"126,898 mi.","$5,650"
5,2002 GMC Safari,"192,134 mi.","$2,999"
6,2003 GMC Safari,"114,143 mi.","$7,990"
7,1999 GMC Safari SLE,"167,557 mi.","$3,495"
8,1994 GMC Safari,"205,323 mi.","$2,750"
9,2000 GMC Safari SL,"140,211 mi.","$5,995"
10,2000 GMC Safari SL,"73,992 mi.","$4,495"
11,2002 GMC Safari SLT,"172,482 mi.","$3,000"
12,2001 GMC Safari EXT 111 WB,"219,071 mi.","$1,995"
13,1996 GMC Safari XT,"187,753 mi.","$2,495"
14,1997 GMC Safari,"146,458 mi.","$6,995"
15,2004 GMC Safari Base,"175,420 mi.","$3,999"
16,2002 GMC Safari Base,"140,187 mi.","$3,900"
17,2003 GMC Safari,"85,451 mi.","$3,990"
18,2004 GMC Safari SLE,"156,109 mi.","$4,195"
19,1992 GMC Safari M10,1 mi.,"$1,495"
20,2003 GMC Safari,"123,000 mi.","$3,800"
21,2000 GMC Safari,"138,449 mi.","$3,500"
22,2000 GMC Safari SLE,"123,897 mi.",Not Priced
23,1998 GMC Safari SLT,"209,240 mi.",Not Priced
24,2001 GMC Safari Base,0 mi.,"$2,999"
25,1992 GMC Safari Base,"298,492 mi.",Not Priced
26,2003 GMC Safari,"97,945 mi.",Not Priced
