,Name,Mileage,Price
0,1999 GMC Suburban,"215,914 mi.","$3,900"
1,1993 GMC Suburban 1500 4WD,"216,572 mi.","$2,488"
2,1996 GMC Suburban C1500 SL,"202,264 mi.","$5,900"
3,1997 GMC Suburban 2500 4WD,"151,419 mi.","$6,995"
4,1996 GMC Suburban 1500 4WD,"257,742 mi.","$5,700"
5,1999 GMC Suburban SLE,"168,420 mi.","$4,500"
6,1999 GMC Suburban SLE,"234,642 mi.","$4,097"
7,1996 GMC Suburban 1500 4WD,"254,464 mi.","$2,499"
8,1999 GMC Suburban 1500,"199,635 mi.","$2,995"
9,1999 GMC Suburban K1500,"252,000 mi.","$4,995"
10,1998 GMC Suburban 4DR 4WD 1500,"213,037 mi.","$3,389"
11,1999 GMC Suburban SLT,"164,301 mi.","$4,500"
12,1993 GMC Suburban 1500,"187,456 mi.","$10,995"
13,1997 GMC Suburban,"214,317 mi.","$3,000"
14,1997 GMC Suburban K1500,"238,330 mi.","$1,895"
15,1993 GMC Suburban 1500 4WD,"163,792 mi.","$2,488"
16,1997 GMC Suburban 1500 4WD,"200,000 mi.","$1,555"
17,1999 GMC Suburban 1500 4WD,"109,252 mi.","$3,995"
18,1999 GMC Suburban 1500 4WD,"174,559 mi.","$1,760"
19,1999 GMC Suburban 1500,"125,736 mi.","$4,500"
20,1999 GMC Suburban 1500 4WD,"149,307 mi.","$2,650"
21,1999 GMC Suburban K1500,"210,000 mi.","$6,000"
22,1996 GMC Suburban 2500,"170,000 mi.","$1,800"
23,1997 GMC Suburban 1500,"186,000 mi.","$1,500"
24,1997 GMC Suburban 1500,"186,000 mi.","$1,500"
25,1996 GMC Suburban 1500 4WD,0 mi.,Not Priced
26,1999 GMC Suburban 1500 4WD,"218,910 mi.",Not Priced
27,1997 GMC Suburban 1500,"250,772 mi.","$4,950"
28,1999 GMC Suburban K1500,"229,299 mi.","$3,500"
29,1999 GMC Suburban 1500 4WD,"204,528 mi.",Not Priced
30,1996 GMC Suburban 1500,"115,728 mi.","$4,995"
31,1999 GMC Suburban K1500 SLE,"175,000 mi.",Not Priced
32,1999 GMC Suburban,,"$1,999"
33,1986 GMC Suburban K1500,"200,000 mi.",Not Priced
34,1997 GMC Suburban 1500,"205,575 mi.",Not Priced
