,Name,Mileage,Price
0,2013 GMC Yukon Hybrid,"32,412 mi.","$32,750"
1,2012 GMC Yukon Hybrid Denali,"107,863 mi.","$17,250"
2,2009 GMC Yukon Hybrid,"133,339 mi.","$14,988"
3,2011 GMC Yukon Hybrid Base,"54,915 mi.","$23,999"
4,2011 GMC Yukon Hybrid,"90,616 mi.","$20,983"
5,2009 GMC Yukon Hybrid 2MODE NAVI,"141,487 mi.","$13,287"
6,2009 GMC Yukon Hybrid,"181,567 mi.","$8,000"
7,2010 GMC Yukon Hybrid Denali,"102,456 mi.","$17,495"
8,2011 GMC Yukon Hybrid,"124,218 mi.","$15,500"
9,2012 GMC Yukon Hybrid Denali,"92,000 mi.","$22,000"
10,2011 GMC Yukon Hybrid Denali,"109,563 mi.","$15,999"
11,2008 GMC Yukon Hybrid Base,"138,590 mi.","$12,880"
12,2012 GMC Yukon Hybrid Denali,"114,165 mi.","$15,988"
13,2013 GMC Yukon Hybrid Denali,"105,105 mi.","$20,495"
14,2012 GMC Yukon Hybrid Denali,"114,158 mi.","$18,995"
15,2013 GMC Yukon Hybrid Denali,"72,215 mi.","$21,888"
16,2008 GMC Yukon Hybrid Base,"127,875 mi.","$13,998"
17,2011 GMC Yukon Hybrid Denali,"116,939 mi.","$17,995"
18,2008 GMC Yukon Hybrid Base,"166,240 mi.","$10,912"
19,2011 GMC Yukon Hybrid Denali,"88,154 mi.","$20,995"
20,2008 GMC Yukon Hybrid Base,"72,855 mi.","$14,495"
21,2009 GMC Yukon Hybrid,"118,676 mi.","$12,990"
22,2010 GMC Yukon Hybrid Denali,"291,390 mi.","$8,997"
23,2010 GMC Yukon Hybrid Denali,"94,843 mi.","$17,995"
24,2012 GMC Yukon Hybrid,"159,732 mi.","$15,500"
25,2009 GMC Yukon Hybrid Base,"150,055 mi.","$12,998"
26,2009 GMC Yukon Hybrid Base,"147,366 mi.","$12,995"
27,2008 GMC Yukon Hybrid Base,"148,874 mi.","$11,995"
28,2012 GMC Yukon Hybrid Denali,"107,971 mi.","$18,491"
29,2008 GMC Yukon Hybrid,"226,330 mi.","$11,995"
30,2010 GMC Yukon Hybrid Denali,"128,729 mi.","$13,955"
31,2013 GMC Yukon Hybrid,"40,776 mi.","$32,997"
32,2013 GMC Yukon Hybrid Denali,"135,877 mi.","$18,995"
33,2013 GMC Yukon Hybrid Base,"48,121 mi.","$31,698"
34,2008 GMC Yukon Hybrid Base,"130,864 mi.","$11,995"
35,2011 GMC Yukon Hybrid Denali,"102,930 mi.","$21,980"
36,2010 GMC Yukon Hybrid Denali,"104,294 mi.","$18,999"
37,2009 GMC Yukon Hybrid Base,"91,462 mi.","$14,995"
38,2008 GMC Yukon Hybrid,"153,298 mi.","$8,995"
39,2011 GMC Yukon Hybrid Denali,"108,186 mi.","$21,500"
40,2010 GMC Yukon Hybrid Denali,"175,000 mi.","$13,990"
41,2009 GMC Yukon Hybrid,"65,203 mi.","$19,989"
42,2011 GMC Yukon Hybrid Denali,0 mi.,"$15,999"
43,2011 GMC Yukon Hybrid Base,0 mi.,"$13,998"
44,2008 GMC Yukon Hybrid Base,"147,518 mi.",Not Priced
45,2011 GMC Yukon Hybrid Denali,"130,895 mi.","$16,547"
46,2011 GMC Yukon Hybrid,"104,981 mi.","$18,900"
47,2009 GMC Yukon Hybrid,"146,384 mi.",Not Priced
48,2010 GMC Yukon Hybrid Denali,"120,878 mi.",Not Priced
49,2010 GMC Yukon Hybrid Denali,"120,978 mi.",Not Priced
50,2010 GMC Yukon Hybrid Denali,0 mi.,"$12,999"
51,2008 GMC Yukon Hybrid Base,"112,824 mi.",Not Priced
