,Name,Mileage,Price
0,2015 GMC Yukon XL Denali,"61,975 mi.","$43,791"
1,2012 GMC Yukon XL SLT,"120,267 mi.","$14,991"
2,2011 GMC Yukon XL Denali,"89,038 mi.","$21,000"
3,2013 GMC Yukon XL Denali,"68,458 mi.","$21,500"
4,2017 GMC Yukon XL SLE,"46,882 mi.","$34,998"
5,2014 GMC Yukon XL 1500 Denali,"97,313 mi.","$27,777"
6,2016 GMC Yukon XL Denali,"83,005 mi.","$41,987"
7,2017 GMC Yukon XL Denali,"42,878 mi.","$54,695"
8,2016 GMC Yukon XL Denali,"62,737 mi.","$44,950"
9,2015 GMC Yukon XL 1500 SLT,"85,154 mi.","$37,900"
10,2015 GMC Yukon XL Denali,"55,816 mi.","$44,987"
11,2014 GMC Yukon XL Denali,"44,955 mi.","$38,995"
12,2016 GMC Yukon XL SLT,"42,023 mi.","$37,900"
13,2010 GMC Yukon XL 1500 SLT,"120,085 mi.","$15,999"
14,2012 GMC Yukon XL 1500 SLT,"95,299 mi.","$16,996"
15,2016 GMC Yukon XL Denali,"51,398 mi.","$48,250"
16,2017 GMC Yukon XL SLT,"42,954 mi.","$39,500"
17,2013 GMC Yukon XL SLT,"71,933 mi.","$19,987"
18,2013 GMC Yukon XL 1500 SLT,"155,900 mi.","$12,995"
19,2015 GMC Yukon XL 1500 SLE,"36,327 mi.","$34,900"
20,2017 GMC Yukon XL SLT,"52,677 mi.","$38,000"
21,2016 GMC Yukon XL SLT,"45,632 mi.","$35,199"
22,2015 GMC Yukon XL 1500 SLT,"70,512 mi.","$37,000"
23,2012 GMC Yukon XL 1500 Denali,"84,445 mi.","$20,923"
24,2012 GMC Yukon XL 1500 SLT,"97,530 mi.","$17,867"
25,2007 GMC Yukon XL SLT,"166,355 mi.","$9,450"
26,2016 GMC Yukon XL SLE,"92,215 mi.","$28,988"
27,2016 GMC Yukon XL SLT,"45,632 mi.","$35,199"
28,2016 GMC Yukon XL SLT,"47,021 mi.","$39,575"
29,2016 GMC Yukon XL SLT,"55,550 mi.","$37,500"
30,2016 GMC Yukon XL SLE,"30,906 mi.","$39,987"
31,2017 GMC Yukon XL Denali,"17,837 mi.","$59,000"
32,2016 GMC Yukon XL Denali,"70,669 mi.","$44,000"
33,2017 GMC Yukon XL Denali,"38,376 mi.","$53,950"
34,2013 GMC Yukon XL 1500 Denali,"137,151 mi.","$20,950"
35,2013 GMC Yukon XL 1500 Denali,"68,991 mi.","$28,797"
36,2007 GMC Yukon XL 1500 SLT,"182,675 mi.","$8,975"
37,2016 GMC Yukon XL Denali,"46,566 mi.","$48,513"
38,2014 GMC Yukon XL 1500 SLT,"109,535 mi.","$20,229"
39,2015 GMC Yukon XL 1500 SLT,"75,077 mi.","$36,990"
40,2016 GMC Yukon XL Denali,"71,359 mi.","$42,641"
41,2010 GMC Yukon XL SLT,"129,150 mi.","$16,490"
42,2016 GMC Yukon XL SLE,"63,665 mi.","$36,500"
43,2015 GMC Yukon XL Denali,"31,638 mi.","$46,970"
44,2011 GMC Yukon XL 1500 SLE,"143,988 mi.","$10,955"
45,2017 GMC Yukon XL SLT,"18,026 mi.","$48,999"
46,2015 GMC Yukon XL 1500 SLE,"62,725 mi.","$37,998"
47,2016 GMC Yukon XL SLT,"65,014 mi.","$39,489"
48,2016 GMC Yukon XL SLE,"40,938 mi.","$37,998"
49,2018 GMC Yukon XL SLT,"17,743 mi.","$49,897"
50,2016 GMC Yukon XL Denali,"43,241 mi.","$48,996"
51,2014 GMC Yukon XL 1500 SLT,"121,112 mi.","$19,499"
