,Name,Mileage,Price
0,2016 GMC Yukon SLE,"39,600 mi.","$31,990"
1,2016 GMC Yukon SLE,"33,898 mi.","$34,000"
2,2018 GMC Yukon Denali,"5,214 mi.","$61,999"
3,2015 GMC Yukon SLE,"51,488 mi.","$32,995"
4,2015 GMC Yukon Denali,"59,461 mi.","$40,487"
5,2016 GMC Yukon SLE,"20,243 mi.","$36,993"
6,2017 GMC Yukon Denali,"37,517 mi.","$46,495"
7,2013 GMC Yukon SLT,"84,570 mi.","$21,996"
8,2015 GMC Yukon SLT,"41,038 mi.","$41,498"
9,2017 GMC Yukon Denali,"36,635 mi.","$45,994"
10,2015 GMC Yukon Denali,"53,698 mi.","$44,500"
11,2015 GMC Yukon Denali,"37,788 mi.","$44,603"
12,2018 GMC Yukon SLT,"26,772 mi.","$46,999"
13,2015 GMC Yukon Denali,"49,027 mi.","$45,910"
14,2018 GMC Yukon Denali,"22,494 mi.","$61,995"
15,2015 GMC Yukon Denali,"70,790 mi.","$41,999"
16,2013 GMC Yukon SLE,"104,095 mi.","$14,430"
17,2007 GMC Yukon SLT,"158,731 mi.","$10,995"
18,2015 GMC Yukon SLT,"37,342 mi.","$42,500"
19,2016 GMC Yukon Denali,"91,067 mi.","$36,815"
20,2015 GMC Yukon SLE,"49,519 mi.","$34,841"
21,2015 GMC Yukon SLT,"56,431 mi.","$36,400"
22,2015 GMC Yukon SLT,"99,950 mi.","$27,161"
23,2016 GMC Yukon Denali,"12,717 mi.","$53,664"
24,2016 GMC Yukon Denali,"22,236 mi.","$47,651"
25,2016 GMC Yukon Denali,"32,233 mi.","$46,185"
26,2016 GMC Yukon Denali,"43,828 mi.","$42,271"
27,2016 GMC Yukon Denali,"62,124 mi.","$42,900"
28,2016 GMC Yukon SLT,"75,475 mi.","$36,599"
29,2018 GMC Yukon SLT,"21,532 mi.","$51,290"
30,2015 GMC Yukon Denali,"79,992 mi.","$38,776"
31,2009 GMC Yukon SLT,"139,503 mi.","$14,399"
32,2016 GMC Yukon SLT,"35,330 mi.","$42,990"
33,2016 GMC Yukon SLE,"46,424 mi.","$33,925"
34,2015 GMC Yukon SLT,"63,738 mi.","$35,989"
35,2007 GMC Yukon SLE,"153,307 mi.","$10,000"
36,2016 GMC Yukon SLE,"44,990 mi.","$36,999"
37,2018 GMC Yukon SLE,"27,841 mi.","$40,500"
38,2016 GMC Yukon Denali,"56,003 mi.","$45,000"
39,2012 GMC Yukon Denali,"85,237 mi.","$24,907"
40,2015 GMC Yukon Denali,"87,199 mi.","$35,500"
41,2015 GMC Yukon Denali,"77,151 mi.","$35,498"
42,2018 GMC Yukon Denali,"8,900 mi.","$63,987"
43,2018 GMC Yukon Denali,"10,235 mi.","$63,488"
44,2011 GMC Yukon SLE,"128,208 mi.","$13,495"
45,2015 GMC Yukon Denali,"36,025 mi.","$45,985"
46,2010 GMC Yukon SLT,"109,755 mi.","$16,997"
47,2016 GMC Yukon Denali,"48,320 mi.","$47,990"
48,2016 GMC Yukon Denali,"37,138 mi.","$49,365"
49,2016 GMC Yukon SLT,"47,301 mi.","$42,988"
50,2017 GMC Yukon SLE,"35,073 mi.","$40,988"
51,2017 GMC Yukon Denali,"29,978 mi.","$54,598"
52,2016 GMC Yukon Denali,"40,405 mi.","$47,600"
53,2006 GMC Yukon Denali,"191,517 mi.","$6,888"
