,Name,Mileage,Price
0,1996 Geo Tracker 2dr Convertible LSi 4WD,"80,514 mi.","$5,991"
1,1996 Geo Prizm LSi,"177,771 mi.","$1,995"
2,1992 Geo Prizm 4dr Notchback Sedan,"171,125 mi.",$995
3,1994 Geo Prizm LSi,"245,901 mi.",$995
4,1997 Geo Prizm LSi,"120,000 mi.","$3,499"
5,1995 Geo Tracker LSi,"92,049 mi.","$4,499"
6,1996 Geo Prizm,"181,658 mi.",$995
7,1996 Geo Tracker LSi,"121,364 mi.","$6,700"
8,1995 Geo Tracker Base 2dr 4WD SUV,"108,000 mi.","$5,450"
9,1990 Geo Tracker 4WD,"133,000 mi.","$3,995"
10,1993 Geo Storm 2+2,"116,000 mi.","$1,300"
11,1995 Geo Metro,"101,160 mi.",$950
12,1997 Geo Tracker 4dr Hardtop 4WD,"125,233 mi.","$2,499"
13,1994 Geo Tracker LSi Soft Top 4WD,"170,000 mi.","$4,999"
14,1997 Geo Metro LSi,"175,294 mi.",Not Priced
15,1996 Geo Prizm LSi,"188,177 mi.","$4,500"
