,Name,Mileage,Price
0,2010 Honda Accord Crosstour EX-L,"111,149 mi.","$12,998"
1,2010 Honda Accord Crosstour EX-L,"125,099 mi.","$8,891"
2,2010 Honda Accord Crosstour EX,"120,477 mi.","$10,998"
3,2010 Honda Accord Crosstour EX-L,"234,000 mi.","$6,598"
4,2010 Honda Accord Crosstour EX-L,"78,637 mi.","$11,995"
5,2011 Honda Accord Crosstour EX-L,"96,754 mi.","$12,599"
6,2010 Honda Accord Crosstour EX-L,"139,885 mi.","$8,955"
7,2011 Honda Accord Crosstour EX-L,"88,113 mi.","$13,895"
8,2010 Honda Accord Crosstour EX-L,"88,877 mi.","$10,996"
9,2011 Honda Accord Crosstour EX-L,"97,603 mi.","$12,787"
10,2010 Honda Accord Crosstour EX-L,"94,964 mi.","$10,800"
11,2010 Honda Accord Crosstour EX-L,"117,540 mi.","$11,998"
12,2010 Honda Accord Crosstour EX-L,"115,983 mi.","$11,500"
13,2011 Honda Accord Crosstour EX-L,"123,879 mi.","$9,998"
14,2010 Honda Accord Crosstour EX-L,"109,233 mi.","$9,500"
15,2010 Honda Accord Crosstour EX,"74,763 mi.","$9,875"
16,2010 Honda Accord Crosstour EX-L,"94,008 mi.","$10,000"
17,2010 Honda Accord Crosstour EX-L,"116,294 mi.","$8,890"
18,2010 Honda Accord Crosstour EX-L,"91,309 mi.","$10,188"
19,2010 Honda Accord Crosstour EX-L,"195,089 mi.","$6,800"
20,2010 Honda Accord Crosstour EX,"106,942 mi.","$8,990"
21,2011 Honda Accord Crosstour EX-L,"53,066 mi.","$14,498"
22,2010 Honda Accord Crosstour EX-L,"81,830 mi.","$11,690"
23,2011 Honda Accord Crosstour EX-L,"102,755 mi.","$13,095"
24,2010 Honda Accord Crosstour EX-L,"128,453 mi.","$10,995"
25,2011 Honda Accord Crosstour EX-L,"150,532 mi.","$9,700"
26,2010 Honda Accord Crosstour EX-L,"86,030 mi.","$13,998"
27,2011 Honda Accord Crosstour EX-L,"126,838 mi.","$8,995"
28,2011 Honda Accord Crosstour EX-L,"139,587 mi.","$9,494"
29,2010 Honda Accord Crosstour EX-L,"118,480 mi.","$10,167"
30,2011 Honda Accord Crosstour EX-L,"139,276 mi.","$8,895"
31,2010 Honda Accord Crosstour EX-L,"151,126 mi.","$9,995"
32,2011 Honda Accord Crosstour EX-L,"84,489 mi.","$13,995"
33,2010 Honda Accord Crosstour EX-L,"123,203 mi.","$11,950"
34,2011 Honda Accord Crosstour EX-L,"113,072 mi.","$11,479"
35,2011 Honda Accord Crosstour EX-L,"70,046 mi.","$13,000"
36,2011 Honda Accord Crosstour EX-L,"82,327 mi.","$12,892"
37,2011 Honda Accord Crosstour EX,"94,414 mi.","$9,750"
38,2010 Honda Accord Crosstour EX-L,"39,241 mi.","$13,999"
39,2010 Honda Accord Crosstour EX-L,"99,066 mi.","$9,997"
40,2010 Honda Accord Crosstour EX-L,"108,444 mi.","$11,998"
41,2010 Honda Accord Crosstour EX-L,"141,516 mi.","$8,900"
42,2010 Honda Accord Crosstour EX-L,"174,605 mi.","$9,325"
43,2010 Honda Accord Crosstour EX-L,"114,462 mi.","$10,999"
44,2010 Honda Accord Crosstour EX-L,"95,235 mi.","$11,800"
45,2011 Honda Accord Crosstour EX-L,"120,140 mi.","$12,000"
46,2010 Honda Accord Crosstour EX-L,"97,964 mi.","$11,841"
47,2010 Honda Accord Crosstour EX-L,"211,363 mi.","$7,491"
48,2010 Honda Accord Crosstour EX-L,"139,301 mi.","$10,500"
49,2011 Honda Accord Crosstour EX-L,"81,463 mi.","$12,682"
50,2010 Honda Accord Crosstour EX-L,"132,632 mi.","$9,250"
51,2010 Honda Accord Crosstour EX-L,"116,518 mi.","$9,725"
52,2010 Honda Accord Crosstour EX-L,"90,103 mi.","$13,420"
53,2011 Honda Accord Crosstour EX,"104,396 mi.","$11,999"
54,2010 Honda Accord Crosstour EX-L,"104,757 mi.","$13,599"
55,2010 Honda Accord Crosstour EX-L,"82,548 mi.","$10,347"
56,2010 Honda Accord Crosstour EX-L,"71,994 mi.","$11,500"
57,2010 Honda Accord Crosstour EX-L,"95,507 mi.","$10,500"
58,2010 Honda Accord Crosstour EX-L,"72,007 mi.","$10,985"
59,2010 Honda Accord Crosstour EX-L,"93,631 mi.","$9,349"
60,2010 Honda Accord Crosstour EX-L,"52,414 mi.","$12,997"
61,2010 Honda Accord Crosstour EX-L,"103,603 mi.","$10,749"
62,2010 Honda Accord Crosstour EX-L,"121,498 mi.","$10,990"
63,2010 Honda Accord Crosstour EX-L,"115,840 mi.","$9,499"
64,2010 Honda Accord Crosstour EX-L,"106,051 mi.","$10,995"
65,2011 Honda Accord Crosstour EX,"84,577 mi.","$10,995"
66,2010 Honda Accord Crosstour EX-L,"110,521 mi.","$10,827"
67,2010 Honda Accord Crosstour EX-L,"62,238 mi.","$12,998"
