,Name,Mileage,Price
0,2008 Honda CR-V EX-L,"134,488 mi.","$8,295"
1,2016 Honda CR-V EX,"42,464 mi.","$18,800"
2,2014 Honda CR-V EX-L,"81,722 mi.","$14,795"
3,2016 Honda CR-V EX-L,"24,873 mi.","$23,829"
4,2013 Honda CR-V EX,"65,127 mi.","$13,600"
5,2018 Honda CR-V EX,"22,517 mi.","$24,792"
6,2018 Honda CR-V LX,"2,162 mi.","$23,925"
7,2018 Honda CR-V EX,"3,848 mi.","$29,777"
8,2011 Honda CR-V LX,"119,310 mi.","$10,500"
9,2016 Honda CR-V LX,"45,604 mi.","$17,995"
10,2016 Honda CR-V Touring,"18,295 mi.","$23,652"
11,2016 Honda CR-V LX,"16,078 mi.","$15,499"
12,2017 Honda CR-V LX,"39,709 mi.","$19,161"
13,2015 Honda CR-V LX,"51,541 mi.","$14,987"
14,2016 Honda CR-V EX,"14,944 mi.","$20,412"
15,2017 Honda CR-V Touring,"38,406 mi.","$26,354"
16,2018 Honda CR-V LX,"1,702 mi.","$23,900"
17,2014 Honda CR-V EX-L,"88,450 mi.","$14,532"
18,2007 Honda CR-V EX-L,"202,919 mi.","$5,280"
19,2017 Honda CR-V LX,"29,148 mi.","$21,875"
20,2018 Honda CR-V EX,"4,488 mi.","$26,999"
21,2017 Honda CR-V EX-L,"20,128 mi.","$25,491"
22,2018 Honda CR-V LX,"6,234 mi.","$23,997"
23,2015 Honda CR-V EX,"58,432 mi.","$18,998"
24,2016 Honda CR-V SE,"47,348 mi.","$20,950"
25,2017 Honda CR-V LX,"11,901 mi.","$22,745"
26,2013 Honda CR-V LX,"77,957 mi.","$12,863"
27,2017 Honda CR-V Touring,"35,101 mi.","$27,400"
28,2016 Honda CR-V SE,"63,681 mi.","$17,321"
29,2017 Honda CR-V Touring,"32,604 mi.","$26,907"
30,2018 Honda CR-V LX,"23,034 mi.","$22,988"
31,2011 Honda CR-V SE,"60,525 mi.","$12,499"
32,2012 Honda CR-V LX,"88,021 mi.","$12,600"
33,2018 Honda CR-V LX,"11,942 mi.","$23,148"
34,2016 Honda CR-V Touring,"44,472 mi.","$25,388"
35,2017 Honda CR-V LX,"21,455 mi.","$20,538"
36,2009 Honda CR-V EX,"72,799 mi.","$12,491"
37,2017 Honda CR-V EX,"37,303 mi.","$22,403"
38,2012 Honda CR-V LX,"79,801 mi.","$13,721"
39,2016 Honda CR-V LX,"38,818 mi.","$19,056"
40,2014 Honda CR-V EX-L,"50,226 mi.","$18,933"
41,2014 Honda CR-V EX,"73,553 mi.","$16,025"
42,2015 Honda CR-V EX,"31,303 mi.","$20,791"
43,2010 Honda CR-V LX,"78,442 mi.","$10,495"
44,2015 Honda CR-V LX,"41,269 mi.","$16,475"
45,2016 Honda CR-V SE,"36,015 mi.","$18,683"
46,2014 Honda CR-V LX,"91,753 mi.","$13,397"
47,2016 Honda CR-V Touring,"45,807 mi.","$20,999"
48,2010 Honda CR-V EX-L,"63,539 mi.","$14,384"
49,2013 Honda CR-V EX-L,"93,681 mi.","$16,378"
50,2016 Honda CR-V LX,"25,307 mi.","$18,350"
51,2010 Honda CR-V LX,"49,995 mi.","$12,190"
52,2015 Honda CR-V EX,"30,142 mi.","$20,494"
53,2018 Honda CR-V EX-L,"9,347 mi.","$28,509"
54,2012 Honda CR-V EX-L,"86,393 mi.","$13,991"
55,2013 Honda CR-V LX,"72,574 mi.","$14,900"
56,2017 Honda CR-V EX,"14,185 mi.","$22,489"
57,2015 Honda CR-V EX-L,"26,897 mi.","$18,990"
58,2014 Honda CR-V EX-L,"32,543 mi.","$18,000"
59,2011 Honda CR-V SE,"63,126 mi.","$12,500"
60,2011 Honda CR-V SE,"69,045 mi.","$13,000"
61,2016 Honda CR-V EX,"37,175 mi.","$18,990"
62,2015 Honda CR-V EX,"30,557 mi.","$17,827"
63,2015 Honda CR-V LX,"31,901 mi.","$13,999"
64,2015 Honda CR-V LX,"33,623 mi.","$13,199"
65,2018 Honda CR-V Touring,"3,541 mi.","$34,490"
66,2016 Honda CR-V LX,"15,091 mi.","$18,988"
67,2016 Honda CR-V EX,"16,261 mi.","$21,988"
68,2019 Honda CR-V Touring,115 mi.,"$31,988"
69,2018 Honda CR-V LX,"1,335 mi.","$21,988"
70,2016 Honda CR-V Touring,"33,640 mi.","$24,988"
71,2017 Honda CR-V Touring,"29,370 mi.","$28,988"
72,2018 Honda CR-V Touring,"6,676 mi.","$30,750"
73,2016 Honda CR-V LX,"21,859 mi.","$16,900"
74,2016 Honda CR-V Touring,"14,806 mi.","$23,200"
75,2016 Honda CR-V SE,"29,791 mi.","$17,800"
76,2019 Honda CR-V EX,62 mi.,"$27,888"
77,2013 Honda CR-V EX-L,"84,118 mi.","$14,995"
78,2016 Honda CR-V EX-L,"26,080 mi.","$20,920"
79,2008 Honda CR-V EX,"96,118 mi.","$7,990"
80,2018 Honda CR-V EX,"19,277 mi.","$26,888"
81,2016 Honda CR-V LX,"28,970 mi.","$19,920"
82,2017 Honda CR-V EX-L,"8,355 mi.","$28,459"
83,2016 Honda CR-V EX,"22,855 mi.","$21,900"
84,2016 Honda CR-V Touring,"32,831 mi.","$23,436"
85,2017 Honda CR-V LX,"13,808 mi.","$21,895"
