,Name,Mileage,Price
0,2014 Honda Crosstour EX-L,"52,681 mi.","$15,984"
1,2015 Honda Crosstour EX,"42,014 mi.","$15,950"
2,2012 Honda Crosstour EX,"74,831 mi.","$13,998"
3,2015 Honda Crosstour EX,"61,361 mi.","$15,995"
4,2012 Honda Crosstour EX-L,"85,451 mi.","$13,981"
5,2014 Honda Crosstour EX,"62,000 mi.","$14,499"
6,2013 Honda Crosstour EX-L,"83,749 mi.","$10,995"
7,2014 Honda Crosstour EX-L,"52,410 mi.","$15,525"
8,2015 Honda Crosstour EX-L,"32,415 mi.","$20,000"
9,2014 Honda Crosstour EX-L,"48,361 mi.","$19,800"
10,2015 Honda Crosstour EX-L,"47,014 mi.","$17,500"
11,2012 Honda Crosstour EX,"86,410 mi.","$11,595"
12,2014 Honda Crosstour EX-L,"42,717 mi.","$18,495"
13,2012 Honda Crosstour EX-L,"53,520 mi.","$16,100"
14,2015 Honda Crosstour EX-L,"55,150 mi.","$21,586"
15,2012 Honda Crosstour EX,"54,188 mi.","$13,950"
16,2012 Honda Crosstour EX-L,"55,808 mi.","$16,883"
17,2015 Honda Crosstour EX-L,"25,653 mi.","$24,990"
18,2014 Honda Crosstour EX-L,"53,328 mi.","$18,998"
19,2012 Honda Crosstour EX-L,"60,737 mi.","$13,491"
20,2015 Honda Crosstour EX-L,"74,462 mi.","$17,377"
21,2012 Honda Crosstour EX-L,"78,705 mi.","$12,786"
22,2014 Honda Crosstour EX-L,"69,124 mi.","$16,517"
23,2014 Honda Crosstour EX-L,"93,455 mi.","$12,907"
24,2015 Honda Crosstour EX-L,"49,991 mi.","$16,500"
25,2013 Honda Crosstour EX-L,"15,656 mi.","$20,999"
26,2012 Honda Crosstour EX,"76,826 mi.","$11,234"
27,2012 Honda Crosstour EX-L,"147,722 mi.","$8,699"
28,2014 Honda Crosstour EX-L,"33,278 mi.","$19,999"
29,2013 Honda Crosstour EX-L,"53,337 mi.","$14,566"
30,2014 Honda Crosstour EX-L,"63,749 mi.","$15,960"
31,2012 Honda Crosstour EX-L,"122,454 mi.","$12,911"
32,2013 Honda Crosstour EX-L,"48,213 mi.","$18,276"
33,2012 Honda Crosstour EX,"78,832 mi.","$12,500"
34,2013 Honda Crosstour EX-L,"89,527 mi.","$14,998"
35,2015 Honda Crosstour EX-L,"74,841 mi.","$19,275"
36,2012 Honda Crosstour EX-L,"70,802 mi.","$14,496"
