,Name,Mileage,Price
0,2012 Honda Insight EX,"45,187 mi.","$12,000"
1,2014 Honda Insight LX,"56,423 mi.","$10,988"
2,2013 Honda Insight EX,"99,360 mi.","$8,450"
3,2013 Honda Insight Base,"77,146 mi.","$12,000"
4,2014 Honda Insight,"141,943 mi.","$6,488"
5,2010 Honda Insight EX,"107,835 mi.","$6,390"
6,2019 Honda Insight EX,"9,586 mi.","$22,989"
7,2019 Honda Insight Touring,"5,208 mi.","$25,200"
8,2011 Honda Insight LX,"100,499 mi.","$7,999"
9,2010 Honda Insight EX,"66,700 mi.","$9,288"
10,2014 Honda Insight LX,"73,700 mi.","$10,588"
11,2010 Honda Insight LX,"97,759 mi.","$8,490"
12,2010 Honda Insight EX,"94,066 mi.","$7,488"
13,2012 Honda Insight LX,"39,145 mi.","$9,995"
14,2019 Honda Insight EX,"6,912 mi.","$23,698"
15,2010 Honda Insight LX,"106,347 mi.","$6,596"
16,2011 Honda Insight EX,"46,166 mi.","$11,998"
17,2014 Honda Insight LX,"40,962 mi.","$12,998"
18,2013 Honda Insight Base,"77,146 mi.","$12,000"
19,2014 Honda Insight LX,"29,640 mi.","$11,455"
20,2019 Honda Insight EX,"10,563 mi.","$22,591"
21,2019 Honda Insight EX,"12,558 mi.","$21,733"
22,2019 Honda Insight EX,"1,008 mi.","$21,493"
23,2019 Honda Insight EX,"6,553 mi.","$22,495"
24,2010 Honda Insight EX,"81,000 mi.","$6,995"
25,2019 Honda Insight Touring,375 mi.,"$26,889"
26,2010 Honda Insight EX,"49,519 mi.","$8,990"
27,2014 Honda Insight EX,"64,880 mi.","$12,166"
28,2013 Honda Insight Base,"77,146 mi.","$12,000"
29,2019 Honda Insight Touring,"2,824 mi.","$25,499"
30,2019 Honda Insight Touring,"1,043 mi.","$26,500"
31,2012 Honda Insight EX,"46,052 mi.","$10,200"
32,2019 Honda Insight EX,"5,897 mi.","$23,919"
33,2010 Honda Insight EX,"151,614 mi.","$5,990"
34,2019 Honda Insight EX,"2,730 mi.","$23,900"
35,2019 Honda Insight EX,"2,950 mi.","$22,149"
36,2012 Honda Insight EX,"46,052 mi.","$10,200"
37,2012 Honda Insight Base,"59,121 mi.","$8,990"
38,2010 Honda Insight EX,"139,269 mi.","$5,901"
39,2013 Honda Insight EX,"71,385 mi.","$10,700"
40,2010 Honda Insight EX,"92,187 mi.","$6,989"
41,2014 Honda Insight EX,"48,351 mi.","$12,775"
42,2013 Honda Insight Base,"77,146 mi.","$12,000"
43,2019 Honda Insight LX,"2,300 mi.","$23,034"
44,2010 Honda Insight EX,"79,512 mi.","$10,599"
45,2013 Honda Insight Base,"77,146 mi.","$12,000"
46,2014 Honda Insight EX,"15,995 mi.","$13,995"
47,2019 Honda Insight Touring,"5,921 mi.","$24,973"
48,2011 Honda Insight EX,"96,105 mi.","$7,495"
49,2011 Honda Insight 5DR CVT EX,"183,086 mi.","$4,750"
50,2019 Honda Insight EX,110 mi.,"$22,998"
51,2019 Honda Insight EX,"2,495 mi.","$22,149"
52,2013 Honda Insight,"96,045 mi.","$6,976"
53,2012 Honda Insight EX,"52,510 mi.","$7,989"
54,2019 Honda Insight EX,"2,495 mi.","$22,149"
55,2012 Honda Insight EX,"52,510 mi.","$7,989"
56,2013 Honda Insight Base,"50,803 mi.","$8,949"
57,2013 Honda Insight EX,"30,635 mi.","$10,474"
58,2010 Honda Insight EX,"71,716 mi.","$6,481"
59,2019 Honda Insight Touring,"7,023 mi.","$26,999"
60,2013 Honda Insight Base,"77,146 mi.","$12,000"
61,2012 Honda Insight Base,"168,939 mi.","$4,200"
62,2019 Honda Insight EX,"7,725 mi.","$21,985"
63,2019 Honda Insight EX,318 mi.,"$24,955"
64,2013 Honda Insight EX,"128,360 mi.","$6,990"
65,2010 Honda Insight EX,"63,893 mi.","$8,084"
66,2013 Honda Insight Base,"77,146 mi.","$12,000"
67,2011 Honda Insight LX,"89,557 mi.","$8,600"
68,2010 Honda Insight EX,"119,754 mi.","$5,600"
69,2010 Honda Insight EX,"101,962 mi.","$8,388"
70,2011 Honda Insight Base,"93,805 mi.","$6,799"
71,2010 Honda Insight EX,"79,551 mi.","$6,995"
72,2014 Honda Insight EX,"47,083 mi.","$10,777"
73,2019 Honda Insight LX,750 mi.,"$21,998"
74,2013 Honda Insight EX,"61,973 mi.","$8,995"
75,2012 Honda Insight LX,"71,490 mi.","$7,595"
76,2013 Honda Insight LX,"74,405 mi.","$8,990"
77,2010 Honda Insight EX,"124,285 mi.","$5,990"
78,2010 Honda Insight EX,"999,999 mi.","$4,199"
79,2019 Honda Insight Touring,"5,512 mi.","$26,695"
80,2012 Honda Insight Base,"66,657 mi.","$9,999"
81,2011 Honda Insight EX,"113,368 mi.","$6,299"
82,2003 Honda Insight Base 2dr Hatchback w/AC,"10,076 mi.","$8,998"
83,2012 Honda Insight EX,"52,550 mi.","$10,588"
84,2011 Honda Insight LX,"99,471 mi.","$7,131"
85,2011 Honda Insight EX,"108,248 mi.","$7,391"
86,2012 Honda Insight LX,"91,575 mi.","$7,995"
87,2013 Honda Insight Base,"77,146 mi.","$12,000"
88,2010 Honda Insight EX,"156,354 mi.","$3,600"
