,Name,Mileage,Price
0,2014 Honda Odyssey Touring Elite,"54,283 mi.","$22,998"
1,2016 Honda Odyssey EX-L,"30,218 mi.","$26,878"
2,2014 Honda Odyssey EX,"96,010 mi.","$13,989"
3,2017 Honda Odyssey EX-L,"30,050 mi.","$29,400"
4,2018 Honda Odyssey LX,"3,531 mi.","$28,848"
5,2016 Honda Odyssey,"9,736 mi.","$33,545"
6,2017 Honda Odyssey SE,"5,166 mi.","$19,500"
7,2016 Honda Odyssey EX-L,"29,635 mi.","$18,500"
8,2016 Honda Odyssey EX-L,"49,949 mi.","$26,358"
9,2013 Honda Odyssey,"93,730 mi.","$18,694"
10,2015 Honda Odyssey EX-L,"64,009 mi.","$21,991"
11,2008 Honda Odyssey EX-L,"187,039 mi.","$5,999"
12,2018 Honda Odyssey EX-L,"2,701 mi.","$34,391"
13,2016 Honda Odyssey EX-L,"39,897 mi.","$25,290"
14,2016 Honda Odyssey SE,"33,081 mi.","$23,992"
15,2011 Honda Odyssey EX,"78,563 mi.","$12,890"
16,2016 Honda Odyssey LX,"40,792 mi.","$20,000"
17,2016 Honda Odyssey SE,"27,887 mi.","$25,991"
18,2009 Honda Odyssey EX-L,"129,203 mi.","$8,900"
19,2016 Honda Odyssey SE,"39,189 mi.","$23,953"
20,2016 Honda Odyssey SE,"33,950 mi.","$24,953"
21,2014 Honda Odyssey EX-L,"80,590 mi.","$19,953"
22,2015 Honda Odyssey EX-L,"83,646 mi.","$20,953"
23,2018 Honda Odyssey EX-L,"15,618 mi.","$34,977"
24,2018 Honda Odyssey EX-L,"25,349 mi.","$34,875"
25,2014 Honda Odyssey EX-L,"123,694 mi.","$16,875"
26,2018 Honda Odyssey Elite,"35,650 mi.","$38,375"
27,2008 Honda Odyssey Touring,"167,518 mi.","$6,380"
28,2016 Honda Odyssey SE,"17,470 mi.","$24,997"
29,2012 Honda Odyssey Touring,"56,683 mi.","$20,000"
30,2016 Honda Odyssey Touring,"30,631 mi.","$28,707"
31,2011 Honda Odyssey EX-L,"111,355 mi.","$13,487"
32,2016 Honda Odyssey EX-L,"33,211 mi.","$24,929"
33,2017 Honda Odyssey EX-L,"28,120 mi.","$28,993"
34,2016 Honda Odyssey SE,"68,247 mi.","$19,500"
35,2018 Honda Odyssey Elite,"15,351 mi.","$39,499"
36,2011 Honda Odyssey Touring Elite,"106,434 mi.","$14,850"
37,2015 Honda Odyssey EX-L,"45,071 mi.","$18,999"
38,2018 Honda Odyssey EX-L,"21,384 mi.","$32,232"
39,2015 Honda Odyssey EX-L,"41,270 mi.","$23,977"
40,2016 Honda Odyssey EX-L,"71,097 mi.","$23,491"
41,2016 Honda Odyssey SE,"26,737 mi.","$24,595"
42,2016 Honda Odyssey EX-L,"48,743 mi.","$23,500"
43,2016 Honda Odyssey SE,"32,928 mi.","$23,000"
44,2016 Honda Odyssey SE,"34,950 mi.","$22,747"
45,2016 Honda Odyssey SE,"35,775 mi.","$24,000"
46,2015 Honda Odyssey EX,"79,339 mi.","$16,495"
47,2010 Honda Odyssey Touring,"118,645 mi.","$9,500"
48,2015 Honda Odyssey LX,"29,887 mi.","$16,777"
49,2013 Honda Odyssey EX,"70,122 mi.","$15,500"
50,2015 Honda Odyssey EX-L,"84,324 mi.","$19,688"
51,2016 Honda Odyssey EX-L,"35,626 mi.","$26,090"
52,2018 Honda Odyssey LX,"2,567 mi.","$28,184"
53,2007 Honda Odyssey EX,"133,352 mi.","$5,995"
54,2015 Honda Odyssey EX,"67,355 mi.","$17,507"
55,2011 Honda Odyssey EX,"104,909 mi.","$10,500"
56,2013 Honda Odyssey EX-L,"47,797 mi.","$20,991"
57,2014 Honda Odyssey EX-L,"109,936 mi.","$14,371"
58,2015 Honda Odyssey EX,"30,423 mi.","$21,500"
59,2015 Honda Odyssey EX,"37,015 mi.","$16,299"
60,2015 Honda Odyssey EX-L,"23,725 mi.","$21,399"
61,2015 Honda Odyssey Touring,"39,849 mi.","$21,699"
62,2015 Honda Odyssey EX-L,"41,835 mi.","$23,450"
63,2015 Honda Odyssey Touring Elite,"54,194 mi.","$23,485"
64,2011 Honda Odyssey EX-L,"97,554 mi.","$12,530"
65,2016 Honda Odyssey EX-L,"47,218 mi.","$24,595"
66,2016 Honda Odyssey SE,"36,300 mi.","$21,750"
67,2018 Honda Odyssey Elite,"30,611 mi.","$37,997"
68,2016 Honda Odyssey EX-L,"35,070 mi.","$26,970"
69,2016 Honda Odyssey SE,"43,302 mi.","$22,988"
70,2016 Honda Odyssey EX-L,"32,648 mi.","$26,988"
71,2017 Honda Odyssey EX-L,"29,228 mi.","$28,988"
72,2016 Honda Odyssey SE,"34,379 mi.","$24,988"
73,2016 Honda Odyssey SE,"26,719 mi.","$24,896"
74,2016 Honda Odyssey EX-L,"40,704 mi.","$25,900"
75,2010 Honda Odyssey LX,"75,902 mi.","$8,500"
76,2015 Honda Odyssey EX,"33,446 mi.","$16,399"
77,2014 Honda Odyssey Touring Elite,"107,862 mi.","$19,999"
78,2015 Honda Odyssey EX-L,"21,912 mi.","$25,995"
79,2014 Honda Odyssey EX-L,"58,897 mi.","$18,899"
80,2011 Honda Odyssey EX-L,"53,459 mi.","$16,490"
81,2016 Honda Odyssey Touring Elite,"22,066 mi.","$29,997"
82,2016 Honda Odyssey EX-L,"23,092 mi.","$27,570"
83,2015 Honda Odyssey LX,"69,520 mi.","$16,395"
84,2015 Honda Odyssey Touring,"39,849 mi.","$21,699"
85,2015 Honda Odyssey EX-L,"45,071 mi.","$18,999"
86,2012 Honda Odyssey EX,"99,730 mi.","$12,645"
87,2015 Honda Odyssey EX-L,"27,941 mi.","$20,995"
88,2013 Honda Odyssey EX-L,"75,803 mi.","$14,895"
89,2014 Honda Odyssey EX,"85,136 mi.","$14,998"
90,2016 Honda Odyssey EX-L,"13,352 mi.","$24,503"
91,2015 Honda Odyssey EX-L,"47,633 mi.","$21,288"
92,2015 Honda Odyssey EX-L,"51,015 mi.","$19,999"
93,2018 Honda Odyssey EX,"24,728 mi.","$26,499"
94,2009 Honda Odyssey EX,"93,286 mi.","$7,500"
95,2016 Honda Odyssey LX,"32,369 mi.","$20,988"
96,2013 Honda Odyssey Touring Elite,"82,511 mi.","$17,995"
97,2016 Honda Odyssey EX-L,"23,152 mi.","$25,120"
98,2016 Honda Odyssey LX,"38,865 mi.","$19,258"
99,2012 Honda Odyssey LX,"94,953 mi.","$12,000"
100,2012 Honda Odyssey EX,"76,651 mi.","$13,950"
101,2016 Honda Odyssey LX,"40,888 mi.","$18,998"
102,2014 Honda Odyssey LX,"91,746 mi.","$14,900"
103,2010 Honda Odyssey EX-L,"93,585 mi.","$10,493"
104,2016 Honda Odyssey EX,"33,396 mi.","$25,900"
105,2016 Honda Odyssey LX,"55,635 mi.","$22,788"
