,Name,Mileage,Price
0,2001 Honda Passport LX,"173,920 mi.","$3,995"
1,2000 Honda Passport EX,"189,456 mi.","$2,499"
2,1998 Honda Passport LX/EX,"185,013 mi.","$2,500"
3,2002 Honda Passport EX,"177,551 mi.","$3,995"
4,2001 Honda Passport LX,"139,335 mi.","$3,950"
5,2002 Honda Passport EX,"118,850 mi.","$3,995"
6,2000 Honda Passport EX,"250,000 mi.","$1,000"
7,2000 Honda Passport EX 4WD,"89,000 mi.","$2,900"
8,2001 Honda Passport LX/EX/EX w/Luxury Pkg,"177,879 mi.",Not Priced
9,1999 Honda Passport EX,"117,035 mi.",Not Priced
10,1999 Honda Passport EX,"300,387 mi.","$4,995"
11,1998 Honda Passport EX,"147,000 mi.",Not Priced
