,Name,Mileage,Price
0,1995 Honda del Sol Si,"62,471 mi.","$9,000"
1,1994 Honda del Sol S,"223,073 mi.","$2,450"
2,1993 Honda del Sol S,"227,000 mi.","$1,700"
3,1993 Honda del Sol S,"201,139 mi.","$2,992"
4,1993 Honda del Sol Si,"140,000 mi.","$6,000"
5,1997 Honda del Sol VTEC,"187,500 mi.","$9,000"
6,1995 Honda del Sol VTEC,"218,000 mi.","$4,300"
7,1995 Honda del Sol S,"178,000 mi.","$5,500"
8,1993 Honda del Sol S,"57,000 mi.","$3,000"
9,1997 Honda del Sol Si,0 mi.,"$3,499"
10,1994 Honda del Sol S,"206,775 mi.",Not Priced
11,1997 Honda del Sol Si,"126,000 mi.","$5,999"
