,Name,Mileage,Price
0,2015 Hyundai Azera 4dr Sdn,"55,465 mi.","$15,990"
1,2017 Hyundai Azera Limited,"4,963 mi.","$24,689"
2,2014 Hyundai Azera 4dr Sdn,"40,695 mi.","$14,412"
3,2015 Hyundai Azera Base,"25,830 mi.","$17,200"
4,2015 Hyundai Azera Limited,"35,042 mi.","$17,998"
5,2015 Hyundai Azera Limited,"29,332 mi.","$19,387"
6,2009 Hyundai Azera Limited,"62,940 mi.","$8,599"
7,2011 Hyundai Azera Limited,"52,244 mi.","$11,998"
8,2013 Hyundai Azera 4dr Sdn,"58,160 mi.","$14,177"
9,2016 Hyundai Azera Limited,"8,640 mi.","$23,000"
10,2011 Hyundai Azera Limited,"38,582 mi.","$12,488"
11,2014 Hyundai Azera Base,"42,761 mi.","$13,488"
12,2016 Hyundai Azera Base,"32,883 mi.","$15,997"
13,2014 Hyundai Azera Limited,"10,485 mi.","$17,789"
14,2008 Hyundai Azera Limited,"124,900 mi.","$3,999"
15,2015 Hyundai Azera Base,"25,830 mi.","$17,200"
16,2016 Hyundai Azera Base,"22,857 mi.","$17,400"
17,2016 Hyundai Azera 4dr Sdn,"26,427 mi.","$16,995"
18,2015 Hyundai Azera Base,"28,629 mi.","$15,490"
19,2016 Hyundai Azera Base,"20,214 mi.","$18,977"
20,2015 Hyundai Azera 4dr Sdn,"33,500 mi.","$16,499"
21,2017 Hyundai Azera 3.3L,"5,337 mi.","$22,950"
22,2014 Hyundai Azera Limited,"35,140 mi.","$17,460"
23,2014 Hyundai Azera Base,"51,958 mi.","$12,688"
24,2015 Hyundai Azera Base,"69,388 mi.","$14,998"
25,2015 Hyundai Azera Base,"30,444 mi.","$16,500"
26,2017 Hyundai Azera Limited,"19,015 mi.","$24,950"
27,2013 Hyundai Azera 4dr Sdn,"51,104 mi.","$14,500"
28,2016 Hyundai Azera 4dr Sdn,"53,744 mi.","$15,379"
29,2008 Hyundai Azera Limited,"165,590 mi.","$5,429"
30,2015 Hyundai Azera Base,"47,732 mi.","$13,873"
31,2015 Hyundai Azera Limited,"29,229 mi.","$19,000"
32,2012 Hyundai Azera Base,"62,102 mi.","$11,995"
33,2016 Hyundai Azera 3.3L,"26,617 mi.","$19,370"
34,2014 Hyundai Azera Limited,"40,505 mi.","$15,126"
35,2017 Hyundai Azera 3.3L,"19,126 mi.","$19,991"
36,2015 Hyundai Azera Limited,"38,152 mi.","$18,668"
37,2014 Hyundai Azera Limited,"54,257 mi.","$15,499"
