,Name,Mileage,Price
0,2013 Hyundai Genesis 3.8,"53,500 mi.","$13,444"
1,2015 Hyundai Genesis 3.8,"40,581 mi.","$23,990"
2,2010 Hyundai Genesis 3.8,"127,027 mi.","$7,295"
3,2012 Hyundai Genesis 3.8,"83,180 mi.","$11,588"
4,2015 Hyundai Genesis 3.8,"30,426 mi.","$22,998"
5,2015 Hyundai Genesis 3.8,"62,283 mi.","$18,998"
6,2015 Hyundai Genesis 3.8,"25,729 mi.","$24,988"
7,2015 Hyundai Genesis 3.8,"57,600 mi.","$19,030"
8,2016 Hyundai Genesis 3.8,"42,722 mi.","$26,999"
9,2013 Hyundai Genesis 3.8,"53,498 mi.","$13,700"
10,2012 Hyundai Genesis 5.0 R-Spec,"81,579 mi.","$14,597"
11,2015 Hyundai Genesis 3.8,"57,027 mi.","$18,998"
12,2013 Hyundai Genesis 3.8,"52,821 mi.","$15,083"
13,2015 Hyundai Genesis 3.8,"67,126 mi.","$20,888"
14,2009 Hyundai Genesis 3.8,"91,915 mi.","$8,988"
15,2015 Hyundai Genesis 3.8,"40,299 mi.","$23,950"
16,2013 Hyundai Genesis 3.8,"53,411 mi.","$12,999"
17,2012 Hyundai Genesis 3.8,"95,172 mi.","$11,481"
18,2015 Hyundai Genesis 5.0,"37,235 mi.","$22,900"
19,2015 Hyundai Genesis 3.8,"38,898 mi.","$18,299"
20,2012 Hyundai Genesis 3.8,"143,492 mi.","$7,865"
21,2012 Hyundai Genesis 3.8,"86,712 mi.","$9,945"
22,2016 Hyundai Genesis 3.8,"42,129 mi.","$18,899"
23,2014 Hyundai Genesis 3.8,"42,540 mi.","$15,792"
24,2013 Hyundai Genesis 5.0 R-Spec,"38,655 mi.","$18,995"
25,2015 Hyundai Genesis 3.8,"54,819 mi.","$19,400"
26,2015 Hyundai Genesis 3.8,"40,511 mi.","$20,249"
27,2013 Hyundai Genesis 3.8,"38,192 mi.","$16,300"
28,2012 Hyundai Genesis 5.0 R-Spec,"77,264 mi.","$14,189"
29,2015 Hyundai Genesis 3.8,"30,892 mi.","$23,200"
30,2015 Hyundai Genesis 5.0,"28,380 mi.","$26,900"
31,2013 Hyundai Genesis 3.8,"57,441 mi.","$14,777"
32,2015 Hyundai Genesis 3.8,"56,771 mi.","$20,582"
33,2015 Hyundai Genesis 3.8,"30,223 mi.","$22,995"
34,2016 Hyundai Genesis 3.8,"26,795 mi.","$26,300"
35,2012 Hyundai Genesis 4.6,"79,258 mi.","$12,480"
36,2012 Hyundai Genesis 3.8,"85,668 mi.","$12,700"
37,2015 Hyundai Genesis 3.8,"40,218 mi.","$23,499"
38,2015 Hyundai Genesis 3.8,"42,519 mi.","$23,995"
39,2015 Hyundai Genesis 3.8,"40,017 mi.","$24,895"
40,2015 Hyundai Genesis 3.8,"58,071 mi.","$22,995"
41,2015 Hyundai Genesis 3.8,"27,814 mi.","$27,870"
42,2015 Hyundai Genesis 3.8,"35,102 mi.","$25,955"
43,2015 Hyundai Genesis 3.8,"27,068 mi.","$27,390"
44,2011 Hyundai Genesis 4.6,"56,790 mi.","$12,253"
45,2015 Hyundai Genesis 3.8,"39,730 mi.","$21,511"
46,2012 Hyundai Genesis 5.0,"62,689 mi.","$15,295"
47,2015 Hyundai Genesis 3.8,"38,898 mi.","$18,299"
48,2016 Hyundai Genesis 3.8,"42,129 mi.","$18,899"
49,2015 Hyundai Genesis 3.8,"42,185 mi.","$23,150"
50,2012 Hyundai Genesis 3.8,"113,385 mi.","$10,000"
51,2015 Hyundai Genesis 3.8,"36,678 mi.","$24,571"
52,2013 Hyundai Genesis 3.8,"39,525 mi.","$14,988"
53,2016 Hyundai Genesis 3.8,"32,727 mi.","$23,585"
54,2013 Hyundai Genesis 3.8,"14,060 mi.","$15,995"
55,2015 Hyundai Genesis 3.8,"37,279 mi.","$23,882"
56,2016 Hyundai Genesis 3.8,"36,212 mi.","$26,101"
57,2015 Hyundai Genesis 3.8,"24,200 mi.","$21,599"
58,2015 Hyundai Genesis 3.8,"43,745 mi.","$19,099"
59,2014 Hyundai Genesis 3.8,"152,114 mi.","$10,900"
60,2016 Hyundai Genesis 3.8,"28,868 mi.","$25,900"
61,2013 Hyundai Genesis 3.8,"93,933 mi.","$9,990"
62,2016 Hyundai Genesis 3.8,"42,129 mi.","$18,899"
63,2015 Hyundai Genesis 3.8,"38,898 mi.","$18,299"
