,Name,Mileage,Price
0,2018 Hyundai Santa Fe Sport 2.4L,"14,398 mi.","$17,798"
1,2015 Hyundai Santa Fe Sport 2.4L,"49,625 mi.","$13,997"
2,2017 Hyundai Santa Fe Sport 2.4L,"41,974 mi.","$15,390"
3,2017 Hyundai Santa Fe Sport 2.4L,"45,883 mi.","$15,495"
4,2015 Hyundai Santa Fe Sport 2.4L,"35,300 mi.","$14,998"
5,2016 Hyundai Santa Fe Sport 2.4L,"28,504 mi.","$18,998"
6,2018 Hyundai Santa Fe Sport 2.4L,"36,081 mi.","$18,995"
7,2016 Hyundai Santa Fe Sport 2.4L,"39,560 mi.","$15,400"
8,2015 Hyundai Santa Fe Sport 2.4L,"81,293 mi.","$13,200"
9,2015 Hyundai Santa Fe Sport 2.4L,"73,253 mi.","$16,599"
10,2017 Hyundai Santa Fe Sport 2.4L,"57,595 mi.","$16,450"
11,2017 Hyundai Santa Fe Sport 2.4L,"46,843 mi.","$16,394"
12,2018 Hyundai Santa Fe Sport 2.4L,"24,308 mi.","$17,498"
13,2015 Hyundai Santa Fe Sport 2.4L,"27,346 mi.","$17,198"
14,2015 Hyundai Santa Fe Sport 2.4L,"44,375 mi.","$16,559"
15,2015 Hyundai Santa Fe Sport 2.4L,"38,799 mi.","$16,871"
16,2018 Hyundai Santa Fe Sport 2.4L,"30,242 mi.","$16,999"
17,2017 Hyundai Santa Fe Sport 2.4L,"49,673 mi.","$17,900"
18,2017 Hyundai Santa Fe Sport 2.4L,"41,664 mi.","$14,494"
19,2017 Hyundai Santa Fe Sport 2.4L,"44,171 mi.","$13,995"
20,2014 Hyundai Santa Fe Sport 2.4L,"45,965 mi.","$12,977"
21,2015 Hyundai Santa Fe Sport 2.4L,"24,505 mi.","$14,913"
22,2017 Hyundai Santa Fe Sport 2.4L,"18,009 mi.","$16,621"
23,2017 Hyundai Santa Fe Sport 2.4L,"39,640 mi.","$16,599"
24,2017 Hyundai Santa Fe Sport 2.4L,"84,133 mi.","$18,900"
25,2017 Hyundai Santa Fe Sport 2.4L,"35,669 mi.","$16,711"
26,2018 Hyundai Santa Fe Sport 2.4L,"23,332 mi.","$16,798"
27,2018 Hyundai Santa Fe Sport 2.4L,"15,008 mi.","$18,494"
28,2017 Hyundai Santa Fe Sport 2.4L,"20,215 mi.","$17,997"
29,2018 Hyundai Santa Fe Sport 2.4L,"25,703 mi.","$18,949"
30,2018 Hyundai Santa Fe Sport 2.4L,"44,706 mi.","$18,999"
31,2017 Hyundai Santa Fe Sport 2.4L,"20,446 mi.","$18,495"
32,2017 Hyundai Santa Fe Sport 2.4L,"40,938 mi.","$16,998"
33,2016 Hyundai Santa Fe Sport 2.4L,"44,125 mi.","$17,998"
34,2014 Hyundai Santa Fe Sport 2.4L,"89,578 mi.","$11,777"
35,2017 Hyundai Santa Fe Sport 2.4L,"36,127 mi.","$17,940"
36,2018 Hyundai Santa Fe Sport 2.4L,"21,668 mi.","$19,259"
37,2017 Hyundai Santa Fe Sport 2.4L,"52,480 mi.","$14,499"
38,2017 Hyundai Santa Fe Sport 2.4L,"50,082 mi.","$15,999"
39,2014 Hyundai Santa Fe Sport 2.0L Turbo,"55,526 mi.","$17,490"
40,2016 Hyundai Santa Fe Sport 2.4L,"40,451 mi.","$19,990"
41,2017 Hyundai Santa Fe Sport 2.4L,"50,082 mi.","$15,999"
42,2017 Hyundai Santa Fe Sport 2.4L,"16,191 mi.","$19,990"
43,2017 Hyundai Santa Fe Sport 2.4L,"15,033 mi.","$18,795"
44,2015 Hyundai Santa Fe Sport 2.0L Turbo,"26,841 mi.","$18,498"
45,2016 Hyundai Santa Fe Sport 2.4L,"13,502 mi.","$19,970"
46,2018 Hyundai Santa Fe Sport 2.4L,"31,928 mi.","$18,995"
47,2016 Hyundai Santa Fe Sport 2.4L,"21,085 mi.","$16,533"
48,2017 Hyundai Santa Fe Sport 2.4L,"33,485 mi.","$17,998"
49,2014 Hyundai Santa Fe Sport 2.4L,"43,137 mi.","$14,900"
50,2018 Hyundai Santa Fe Sport 2.4L,"43,106 mi.","$15,799"
51,2017 Hyundai Santa Fe Sport 2.4L,"43,500 mi.","$14,799"
52,2017 Hyundai Santa Fe Sport 2.4L,"20,633 mi.","$18,498"
53,2018 Hyundai Santa Fe Sport 2.4L,"29,984 mi.","$18,988"
54,2015 Hyundai Santa Fe Sport 2.0L Turbo,"77,001 mi.","$17,201"
55,2014 Hyundai Santa Fe Sport 2.4L,"32,756 mi.","$16,056"
56,2018 Hyundai Santa Fe Sport 2.4L,"34,764 mi.","$19,288"
57,2018 Hyundai Santa Fe Sport 2.4L,"40,182 mi.","$14,245"
58,2018 Hyundai Santa Fe Sport 2.4L,"38,788 mi.","$14,299"
59,2016 Hyundai Santa Fe Sport 2.4L,"62,700 mi.","$14,991"
60,2014 Hyundai Santa Fe Sport 2.4L,"88,090 mi.","$13,325"
61,2018 Hyundai Santa Fe Sport 2.4L,"26,891 mi.","$15,800"
62,2017 Hyundai Santa Fe Sport 2.4L,"31,041 mi.","$16,596"
63,2016 Hyundai Santa Fe Sport 2.0L Turbo,"29,690 mi.","$22,140"
64,2017 Hyundai Santa Fe Sport 2.4L,"17,358 mi.","$20,701"
65,2016 Hyundai Santa Fe Sport 2.4L,"45,513 mi.","$16,889"
66,2016 Hyundai Santa Fe Sport 2.4L,"24,286 mi.","$15,599"
67,2018 Hyundai Santa Fe Sport 2.0T Ultimate,"15,440 mi.","$28,993"
68,2018 Hyundai Santa Fe Sport 2.4L,"26,388 mi.","$17,959"
69,2017 Hyundai Santa Fe Sport 2.4L,"45,042 mi.","$13,477"
70,2015 Hyundai Santa Fe Sport 2.4L,"55,799 mi.","$14,490"
71,2016 Hyundai Santa Fe Sport 2.4L,"8,821 mi.","$20,990"
72,2017 Hyundai Santa Fe Sport 2.4L,"47,090 mi.","$14,380"
73,2018 Hyundai Santa Fe Sport 2.4L,"14,896 mi.","$18,215"
74,2014 Hyundai Santa Fe Sport 2.4L,"61,278 mi.","$15,000"
75,2018 Hyundai Santa Fe Sport 2.4L,"12,142 mi.","$17,800"
76,2014 Hyundai Santa Fe Sport 2.4L,"69,037 mi.","$12,501"
77,2016 Hyundai Santa Fe Sport 2.4L,"50,343 mi.","$13,000"
78,2015 Hyundai Santa Fe Sport 2.4L,"43,300 mi.","$13,899"
79,2017 Hyundai Santa Fe Sport 2.4L,"44,914 mi.","$15,411"
80,2018 Hyundai Santa Fe Sport 2.4L,"27,995 mi.","$16,993"
81,2018 Hyundai Santa Fe Sport 2.4L,"14,995 mi.","$23,888"
82,2016 Hyundai Santa Fe Sport 2.0L Turbo,"42,163 mi.","$19,990"
83,2017 Hyundai Santa Fe Sport 2.4L,"43,812 mi.","$14,215"
84,2016 Hyundai Santa Fe Sport 2.4L,"68,492 mi.","$14,999"
85,2014 Hyundai Santa Fe Sport 2.0L Turbo,"102,051 mi.","$12,000"
86,2016 Hyundai Santa Fe Sport 2.4L,"28,765 mi.","$18,997"
87,2017 Hyundai Santa Fe Sport 2.4L,"22,602 mi.","$19,999"
88,2018 Hyundai Santa Fe Sport 2.4L,"18,084 mi.","$21,773"
89,2018 Hyundai Santa Fe Sport 2.4L,"16,646 mi.","$19,789"
90,2018 Hyundai Santa Fe Sport 2.4L,"18,688 mi.","$21,773"
91,2017 Hyundai Santa Fe Sport 2.4L,"20,432 mi.","$18,135"
92,2016 Hyundai Santa Fe Sport 2.4L,"36,091 mi.","$18,106"
93,2018 Hyundai Santa Fe Sport 2.4L,"15,657 mi.","$16,991"
94,2017 Hyundai Santa Fe Sport 2.4L,"47,108 mi.","$14,988"
95,2014 Hyundai Santa Fe Sport 2.4L,"78,670 mi.","$12,895"
96,2014 Hyundai Santa Fe Sport 2.4L,"31,568 mi.","$14,499"
97,2017 Hyundai Santa Fe Sport 2.4L,"47,485 mi.","$16,288"
98,2017 Hyundai Santa Fe Sport 2.4L,"46,266 mi.","$14,500"
99,2018 Hyundai Santa Fe Sport 2.4L,"37,499 mi.","$17,000"
100,2014 Hyundai Santa Fe Sport 2.0L Turbo,"60,494 mi.","$13,975"
101,2018 Hyundai Santa Fe Sport 2.4L,"31,654 mi.","$16,877"
102,2017 Hyundai Santa Fe Sport 2.4L,"45,729 mi.","$16,977"
103,2018 Hyundai Santa Fe Sport 2.4L,"24,597 mi.","$15,759"
104,2014 Hyundai Santa Fe Sport 2.4L,"96,322 mi.","$11,699"
105,2014 Hyundai Santa Fe Sport 2.4L,"70,986 mi.","$15,295"
106,2017 Hyundai Santa Fe Sport 2.4L,"48,146 mi.","$17,701"
107,2016 Hyundai Santa Fe Sport 2.4L,"29,259 mi.","$17,500"
108,2017 Hyundai Santa Fe Sport 2.4L,"46,903 mi.","$15,000"
109,2015 Hyundai Santa Fe Sport 2.4L,"46,419 mi.","$19,400"
110,2015 Hyundai Santa Fe Sport 2.4L,"28,826 mi.","$16,930"
111,2018 Hyundai Santa Fe Sport 2.4L,"26,955 mi.","$18,596"
112,2018 Hyundai Santa Fe Sport 2.4L,"28,968 mi.","$15,894"
113,2016 Hyundai Santa Fe Sport 2.4L,"54,151 mi.","$14,989"
114,2016 Hyundai Santa Fe Sport 2.4L,"76,646 mi.","$14,292"
115,2018 Hyundai Santa Fe Sport 2.4L,"21,465 mi.","$18,154"
116,2016 Hyundai Santa Fe Sport 2.4L,"79,200 mi.","$13,599"
117,2017 Hyundai Santa Fe Sport 2.4L,"39,468 mi.","$14,900"
118,2014 Hyundai Santa Fe Sport 2.0L Turbo,"29,718 mi.","$17,930"
119,2017 Hyundai Santa Fe Sport 2.4L,"42,992 mi.","$16,987"
120,2017 Hyundai Santa Fe Sport 2.4L,"23,542 mi.","$19,995"
121,2017 Hyundai Santa Fe Sport 2.4L,"48,252 mi.","$17,995"
122,2017 Hyundai Santa Fe Sport 2.4L,"42,134 mi.","$16,497"
123,2017 Hyundai Santa Fe Sport 2.4L,"43,708 mi.","$14,890"
124,2015 Hyundai Santa Fe Sport 2.4L,"33,085 mi.","$18,625"
125,2018 Hyundai Santa Fe Sport 2.4L,"31,250 mi.","$18,990"
126,2015 Hyundai Santa Fe Sport 2.4L,"61,605 mi.","$13,630"
127,2014 Hyundai Santa Fe Sport 2.4L,"74,413 mi.","$14,989"
128,2014 Hyundai Santa Fe Sport 2.0L Turbo,"55,526 mi.","$17,490"
129,2016 Hyundai Santa Fe Sport 2.0L Turbo,"48,344 mi.","$19,672"
130,2017 Hyundai Santa Fe Sport 2.4L,"23,895 mi.","$19,450"
131,2018 Hyundai Santa Fe Sport 2.4L,"35,924 mi.","$17,590"
132,2016 Hyundai Santa Fe Sport 2.4L,"30,565 mi.","$17,594"
133,2015 Hyundai Santa Fe Sport 2.4L,"56,901 mi.","$14,499"
134,2017 Hyundai Santa Fe Sport 2.4L,"20,520 mi.","$16,980"
135,2017 Hyundai Santa Fe Sport 2.4L,"40,175 mi.","$15,995"
136,2016 Hyundai Santa Fe Sport 2.4L,"32,125 mi.","$17,972"
137,2017 Hyundai Santa Fe Sport 2.4L,"47,299 mi.","$14,390"
138,2017 Hyundai Santa Fe Sport 2.4L,"55,789 mi.","$15,997"
139,2015 Hyundai Santa Fe Sport 2.4L,"25,519 mi.","$17,700"
140,2015 Hyundai Santa Fe Sport 2.4L,"49,132 mi.","$15,998"
