,Name,Mileage,Price
0,2017 Hyundai Sonata Hybrid Limited,"13,446 mi.","$22,000"
1,2016 Hyundai Sonata Hybrid SE,"42,418 mi.","$15,990"
2,2016 Hyundai Sonata Hybrid Limited,"37,347 mi.","$19,795"
3,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
4,2015 Hyundai Sonata Hybrid Limited,"35,866 mi.","$17,295"
5,2017 Hyundai Sonata Hybrid SE,"23,048 mi.","$16,998"
6,2017 Hyundai Sonata Hybrid Limited,"46,746 mi.","$21,777"
7,2013 Hyundai Sonata Hybrid Base,"68,422 mi.","$10,624"
8,2017 Hyundai Sonata Hybrid Limited,"27,850 mi.","$22,100"
9,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
10,2017 Hyundai Sonata Hybrid Limited,"2,207 mi.","$24,900"
11,2017 Hyundai Sonata Hybrid SE,"41,904 mi.","$14,500"
12,2016 Hyundai Sonata Hybrid SE,"36,904 mi.","$15,804"
13,2016 Hyundai Sonata Hybrid SE,"18,468 mi.","$16,889"
14,2012 Hyundai Sonata Hybrid,"80,089 mi.","$9,391"
15,2014 Hyundai Sonata Hybrid Limited,"65,092 mi.","$13,000"
16,2012 Hyundai Sonata Hybrid Base,"61,671 mi.","$10,750"
17,2016 Hyundai Sonata Hybrid SE,"34,486 mi.","$14,995"
18,2015 Hyundai Sonata Hybrid Base,"34,960 mi.","$14,995"
19,2015 Hyundai Sonata Hybrid Limited,"24,132 mi.","$12,997"
20,2015 Hyundai Sonata Hybrid Limited,"58,266 mi.","$13,761"
21,2017 Hyundai Sonata Hybrid SE,"31,932 mi.","$15,195"
22,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
23,2012 Hyundai Sonata Hybrid Base,"73,863 mi.","$8,988"
24,2016 Hyundai Sonata Hybrid Limited,"32,303 mi.","$17,859"
25,2013 Hyundai Sonata Hybrid Base,"55,112 mi.","$11,000"
26,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
27,2017 Hyundai Sonata Hybrid Limited,"27,850 mi.","$22,100"
28,2017 Hyundai Sonata Hybrid Limited,"19,856 mi.","$23,900"
29,2015 Hyundai Sonata Hybrid Limited,"48,685 mi.","$13,994"
30,2018 Hyundai Sonata Hybrid SE,"21,631 mi.","$18,991"
31,2015 Hyundai Sonata Hybrid Limited,"72,316 mi.","$13,643"
32,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
33,2017 Hyundai Sonata Hybrid Limited,"27,850 mi.","$22,100"
34,2017 Hyundai Sonata Hybrid Limited,"7,805 mi.","$23,487"
35,2015 Hyundai Sonata Hybrid Limited,"85,929 mi.","$12,188"
36,2015 Hyundai Sonata Hybrid Base,"70,925 mi.","$13,901"
37,2015 Hyundai Sonata Hybrid Limited,"63,255 mi.","$13,960"
38,2015 Hyundai Sonata Hybrid Limited,"24,075 mi.","$17,995"
39,2013 Hyundai Sonata Hybrid Base,"176,786 mi.","$6,000"
40,2018 Hyundai Sonata Hybrid SE,"20,729 mi.","$17,900"
41,2016 Hyundai Sonata Hybrid Limited,"41,185 mi.","$18,795"
42,2015 Hyundai Sonata Hybrid Base,"56,248 mi.","$12,250"
43,2016 Hyundai Sonata Hybrid SE,"27,558 mi.","$16,310"
44,2017 Hyundai Sonata Hybrid Limited,"1,394 mi.","$19,997"
45,2016 Hyundai Sonata Hybrid SE,"18,197 mi.","$15,999"
46,2015 Hyundai Sonata Hybrid Base,"24,875 mi.","$14,098"
47,2013 Hyundai Sonata Hybrid Limited w/Panoramic Sunroof Pkg,"35,050 mi.","$12,897"
48,2017 Hyundai Sonata Hybrid SE,"26,980 mi.","$16,497"
49,2015 Hyundai Sonata Hybrid Limited,"15,463 mi.","$17,756"
50,2015 Hyundai Sonata Hybrid Limited,"6,696 mi.","$18,532"
51,2017 Hyundai Sonata Hybrid Limited,"2,330 mi.","$20,773"
52,2014 Hyundai Sonata Hybrid Base,"54,000 mi.","$13,501"
53,2015 Hyundai Sonata Hybrid Limited,"45,091 mi.","$16,500"
54,2015 Hyundai Sonata Hybrid Limited,"86,134 mi.","$13,495"
55,2017 Hyundai Sonata Hybrid Limited,"91,190 mi.","$16,495"
56,2016 Hyundai Sonata Hybrid Limited,"94,486 mi.","$13,564"
57,2015 Hyundai Sonata Hybrid Limited,"58,034 mi.","$14,390"
58,2013 Hyundai Sonata Hybrid Base,"39,655 mi.","$10,487"
59,2017 Hyundai Sonata Hybrid Limited,"2,207 mi.","$24,900"
60,2017 Hyundai Sonata Hybrid Limited,"19,856 mi.","$23,900"
61,2017 Hyundai Sonata Hybrid Limited,"27,850 mi.","$22,100"
62,2017 Hyundai Sonata Hybrid Limited,"13,911 mi.","$23,333"
63,2012 Hyundai Sonata Hybrid Base,"129,595 mi.","$6,450"
64,2012 Hyundai Sonata Hybrid Base,"72,316 mi.","$10,436"
65,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
66,2017 Hyundai Sonata Hybrid Limited,"19,856 mi.","$23,900"
67,2017 Hyundai Sonata Hybrid Limited,"2,207 mi.","$24,900"
68,2017 Hyundai Sonata Hybrid Limited,"27,850 mi.","$22,100"
69,2016 Hyundai Sonata Hybrid SE,"34,487 mi.","$14,470"
70,2016 Hyundai Sonata Hybrid SE,"8,934 mi.","$15,390"
71,2015 Hyundai Sonata Hybrid Limited,"60,923 mi.","$14,983"
72,2017 Hyundai Sonata Hybrid Limited,"38,938 mi.","$21,498"
73,2013 Hyundai Sonata Hybrid Limited,"72,577 mi.","$10,988"
74,2014 Hyundai Sonata Hybrid Limited,"105,818 mi.","$9,930"
75,2015 Hyundai Sonata Hybrid Limited,"25,055 mi.","$15,577"
76,2011 Hyundai Sonata Hybrid Base,"106,251 mi.","$6,500"
77,2017 Hyundai Sonata Hybrid Limited,"19,856 mi.","$23,900"
78,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
79,2016 Hyundai Sonata Hybrid Limited,"25,182 mi.","$18,997"
80,2016 Hyundai Sonata Hybrid Limited,"15,480 mi.","$20,995"
81,2015 Hyundai Sonata Hybrid Base,"86,750 mi.","$11,495"
82,2016 Hyundai Sonata Hybrid SE,"24,379 mi.","$15,825"
83,2016 Hyundai Sonata Hybrid Limited,"38,085 mi.","$17,788"
84,2016 Hyundai Sonata Hybrid SE,"20,267 mi.","$15,197"
85,2012 Hyundai Sonata Hybrid Base,"74,247 mi.","$9,898"
86,2015 Hyundai Sonata Hybrid Base,"47,993 mi.","$14,000"
87,2016 Hyundai Sonata Hybrid Limited,"11,950 mi.","$16,499"
88,2014 Hyundai Sonata Hybrid Limited,"67,024 mi.","$11,914"
89,2015 Hyundai Sonata Hybrid Limited,"31,328 mi.","$15,799"
90,2016 Hyundai Sonata Hybrid Limited,"36,297 mi.","$18,963"
91,2015 Hyundai Sonata Hybrid Limited,"69,409 mi.","$14,151"
92,2017 Hyundai Sonata Hybrid SE,"15,500 mi.","$17,000"
93,2013 Hyundai Sonata Hybrid Limited,"46,663 mi.","$11,789"
