,Name,Mileage,Price
0,2016 Hyundai Tucson SE,"43,853 mi.","$15,495"
1,2016 Hyundai Tucson Eco,"20,953 mi.","$17,993"
2,2018 Hyundai Tucson SE,"11,695 mi.","$20,280"
3,2018 Hyundai Tucson SEL,"16,269 mi.","$18,950"
4,2018 Hyundai Tucson SEL,"28,089 mi.","$22,999"
5,2016 Hyundai Tucson Eco,"22,823 mi.","$18,000"
6,2012 Hyundai Tucson GLS,"70,045 mi.",Not Priced
7,2012 Hyundai Tucson GLS,"55,683 mi.","$12,999"
8,2017 Hyundai Tucson SE,"48,191 mi.","$15,995"
9,2016 Hyundai Tucson Eco,"46,368 mi.","$13,988"
10,2018 Hyundai Tucson SEL,"22,855 mi.","$18,500"
11,2017 Hyundai Tucson SE,"24,329 mi.","$15,899"
12,2016 Hyundai Tucson SE,"31,763 mi.","$15,090"
13,2018 Hyundai Tucson SEL,"13,150 mi.","$19,900"
14,2012 Hyundai Tucson GLS,"118,850 mi.","$10,995"
15,2018 Hyundai Tucson SEL,"26,148 mi.","$18,000"
16,2011 Hyundai Tucson GLS,"77,038 mi.","$9,995"
17,2018 Hyundai Tucson SEL,"28,264 mi.","$18,000"
18,2018 Hyundai Tucson SEL,"9,100 mi.","$21,449"
19,2017 Hyundai Tucson SE,"19,328 mi.","$17,490"
20,2017 Hyundai Tucson Limited,"21,438 mi.","$23,950"
21,2016 Hyundai Tucson Limited,"35,822 mi.","$22,995"
22,2010 Hyundai Tucson Limited,"96,905 mi.","$9,677"
23,2018 Hyundai Tucson SEL,"33,196 mi.","$17,990"
24,2018 Hyundai Tucson SEL,"16,366 mi.","$19,985"
25,2016 Hyundai Tucson Limited,"62,398 mi.","$17,907"
26,2016 Hyundai Tucson Sport,"38,659 mi.","$17,099"
27,2016 Hyundai Tucson SE,"37,338 mi.","$15,829"
28,2017 Hyundai Tucson Sport,"11,622 mi.","$20,490"
29,2018 Hyundai Tucson SEL,"30,554 mi.","$18,490"
30,2012 Hyundai Tucson Limited,"99,192 mi.","$9,998"
31,2018 Hyundai Tucson SEL,"16,679 mi.","$18,991"
32,2016 Hyundai Tucson Sport,"31,270 mi.","$17,976"
33,2017 Hyundai Tucson Sport,"20,798 mi.","$21,812"
