,Name,Mileage,Price
0,2017 Hyundai Limited,"3,512 mi.","$29,995"
1,2013 Hyundai 2.4L,"99,061 mi.","$13,900"
2,2013 Hyundai 2.4L,"41,769 mi.","$19,750"
3,2013 Hyundai 2.0L Turbo,"59,486 mi.","$17,198"
4,2017 Hyundai SE,"41,050 mi.","$11,995"
5,2017 Hyundai Base,"32,388 mi.","$14,195"
6,2014 Hyundai SE,"49,085 mi.","$10,449"
7,2016 Hyundai SE,"36,018 mi.","$15,950"
8,2013 Hyundai Base,"29,367 mi.","$12,900"
9,2013 Hyundai 2.4L,"74,393 mi.","$13,988"
10,2015 Hyundai SE,"84,166 mi.","$10,900"
11,2017 Hyundai SE Value Edition,"41,017 mi.","$12,900"
12,2013 Hyundai 2.4L,"47,852 mi.","$16,879"
13,2017 Hyundai Limited,"4,550 mi.","$27,000"
14,2013 Hyundai 2.4L,"42,506 mi.","$14,893"
15,2013 Hyundai 2.4L,"61,139 mi.","$18,500"
16,2017 Hyundai Hatchback,"10,287 mi.","$24,995"
17,2013 Hyundai 2.4,"103,985 mi.","$14,995"
18,2013 Hyundai 2.4L,"74,393 mi.","$13,988"
19,2016 Hyundai SE,"38,529 mi.",Not Priced
20,2017 Hyundai Limited,"3,759 mi.","$27,990"
21,2018 Hyundai,0 mi.,"$28,000"
22,2017 Hyundai Limited,"3,708 mi.","$28,760"
23,2017 Hyundai Value Edition,"3,072 mi.","$17,999"
