,Name,Mileage,Price
0,2014 Hyundai Veloster Base,"44,738 mi.","$10,490"
1,2017 Hyundai Veloster Base,"47,863 mi.","$11,000"
2,2016 Hyundai Veloster Turbo R-Spec,"20,570 mi.","$12,999"
3,2013 Hyundai Veloster Turbo,"81,519 mi.","$10,995"
4,2014 Hyundai Veloster Base,"56,437 mi.","$9,993"
5,2017 Hyundai Veloster Base,"34,834 mi.","$13,380"
6,2017 Hyundai Veloster Base,"29,443 mi.","$11,999"
7,2016 Hyundai Veloster Turbo,"24,866 mi.","$15,497"
8,2012 Hyundai Veloster Base,"89,772 mi.","$8,950"
9,2013 Hyundai Veloster Base,"31,770 mi.","$8,999"
10,2012 Hyundai Veloster Base,"109,168 mi.","$6,100"
11,2015 Hyundai Veloster Base,"60,191 mi.","$10,496"
12,2017 Hyundai Veloster Value Edition,"14,901 mi.","$14,949"
13,2014 Hyundai Veloster Turbo,"41,089 mi.","$11,250"
14,2014 Hyundai Veloster Turbo,"77,921 mi.","$11,415"
15,2016 Hyundai Veloster Base,"31,607 mi.","$11,888"
16,2016 Hyundai Veloster Base,"16,202 mi.","$14,998"
17,2013 Hyundai Veloster Base,"62,409 mi.","$8,999"
18,2016 Hyundai Veloster Base,"19,950 mi.","$11,495"
19,2017 Hyundai Veloster Base,"41,177 mi.","$12,800"
20,2016 Hyundai Veloster Base,"47,875 mi.","$13,986"
21,2017 Hyundai Veloster Base,"38,130 mi.","$10,998"
22,2016 Hyundai Veloster Base,"38,443 mi.","$9,599"
23,2015 Hyundai Veloster Turbo,"56,743 mi.","$12,950"
24,2015 Hyundai Veloster RE:FLEX w/Black,"35,025 mi.","$11,995"
25,2016 Hyundai Veloster Base,"50,524 mi.","$10,997"
26,2013 Hyundai Veloster Turbo,"90,160 mi.","$8,928"
27,2017 Hyundai Veloster Value Edition,"4,683 mi.","$14,977"
28,2012 Hyundai Veloster Base,"103,603 mi.","$6,990"
29,2015 Hyundai Veloster Base,"38,789 mi.","$13,950"
30,2017 Hyundai Veloster Base,"51,645 mi.","$12,000"
31,2017 Hyundai Veloster Base,"51,447 mi.","$9,999"
32,2012 Hyundai Veloster Base,"94,500 mi.","$7,885"
33,2015 Hyundai Veloster RE:FLEX w/Black,"40,812 mi.","$11,799"
34,2013 Hyundai Veloster Base,"44,277 mi.","$9,828"
35,2017 Hyundai Veloster Value Edition,197 mi.,"$14,472"
36,2019 Hyundai Veloster Turbo,"10,517 mi.","$20,333"
37,2012 Hyundai Veloster Base,"70,970 mi.","$8,595"
38,2013 Hyundai Veloster Turbo,"34,345 mi.","$11,660"
39,2013 Hyundai Veloster Turbo,"86,349 mi.","$9,910"
40,2016 Hyundai Veloster Turbo,"12,520 mi.","$14,990"
41,2017 Hyundai Veloster Value Edition,"48,391 mi.","$11,390"
42,2016 Hyundai Veloster Base,"38,443 mi.","$9,599"
43,2016 Hyundai Veloster Base,"7,051 mi.","$16,988"
44,2012 Hyundai Veloster Base,"129,922 mi.","$6,500"
45,2016 Hyundai Veloster Base,"30,289 mi.","$15,555"
46,2016 Hyundai Veloster Base,"39,181 mi.","$11,000"
47,2013 Hyundai Veloster Turbo,"65,766 mi.","$9,987"
48,2016 Hyundai Veloster Base,"23,966 mi.","$12,800"
49,2016 Hyundai Veloster Turbo R-Spec,"66,579 mi.","$13,986"
50,2017 Hyundai Veloster Base,"39,034 mi.","$13,999"
51,2015 Hyundai Veloster Base,"45,118 mi.","$10,000"
52,2012 Hyundai Veloster Base,"167,472 mi.","$5,480"
53,2017 Hyundai Veloster Value Edition,"10,430 mi.","$15,000"
54,2012 Hyundai Veloster Base,"101,786 mi.","$7,750"
55,2012 Hyundai Veloster,"90,313 mi.","$7,299"
56,2013 Hyundai Veloster Base,"126,778 mi.","$6,451"
57,2017 Hyundai Veloster,"48,513 mi.","$11,250"
58,2016 Hyundai Veloster Base,"49,724 mi.","$12,942"
59,2016 Hyundai Veloster Base,"21,574 mi.","$12,000"
60,2017 Hyundai Veloster Base,"39,764 mi.","$10,999"
61,2013 Hyundai Veloster RE:MIX,"75,622 mi.","$8,459"
62,2017 Hyundai Veloster Base,"45,164 mi.","$13,453"
63,2013 Hyundai Veloster Base,"56,807 mi.","$8,788"
64,2016 Hyundai Veloster Turbo R-Spec,"28,973 mi.","$14,559"
65,2014 Hyundai Veloster Base,"95,500 mi.","$6,988"
66,2015 Hyundai Veloster Base,"53,638 mi.","$9,998"
67,2012 Hyundai Veloster Base,"54,203 mi.","$8,590"
68,2016 Hyundai Veloster Base,"20,924 mi.","$10,999"
69,2013 Hyundai Veloster Base,"70,449 mi.","$9,700"
70,2014 Hyundai Veloster Turbo,"74,342 mi.","$10,995"
71,2016 Hyundai Veloster Turbo Rally Edition,"45,451 mi.","$14,588"
72,2016 Hyundai Veloster Base,"10,180 mi.","$16,650"
73,2015 Hyundai Veloster Base,"70,080 mi.","$9,180"
74,2017 Hyundai Veloster Base,"44,907 mi.","$9,780"
75,2017 Hyundai Veloster Value Edition,"3,366 mi.","$15,495"
76,2016 Hyundai Veloster,"14,947 mi.","$13,950"
77,2016 Hyundai Veloster Base,"12,420 mi.","$12,199"
78,2016 Hyundai Veloster Base,"38,443 mi.","$9,599"
79,2016 Hyundai Veloster Base,"28,599 mi.","$12,290"
80,2013 Hyundai Veloster Base,"26,869 mi.","$9,466"
81,2013 Hyundai Veloster Base,"28,425 mi.","$11,560"
82,2017 Hyundai Veloster Base,"48,346 mi.","$11,687"
83,2012 Hyundai Veloster Base,"49,066 mi.","$9,391"
84,2012 Hyundai Veloster Base,"70,084 mi.","$7,995"
85,2017 Hyundai Veloster Base,"29,403 mi.","$10,999"
86,2012 Hyundai Veloster Base,"49,780 mi.","$8,777"
87,2016 Hyundai Veloster Base,"38,443 mi.","$9,599"
88,2012 Hyundai Veloster Base,"99,414 mi.","$7,725"
89,2016 Hyundai Veloster Base,"48,750 mi.","$12,999"
90,2013 Hyundai Veloster Base,"72,206 mi.","$8,937"
91,2012 Hyundai Veloster Base,"79,303 mi.","$7,495"
92,2016 Hyundai Veloster Base,"38,443 mi.","$9,599"
93,2017 Hyundai Veloster,"38,172 mi.","$11,500"
94,2017 Hyundai Veloster Turbo,"1,445 mi.","$16,250"
95,2017 Hyundai Veloster Base,"6,004 mi.","$12,770"
96,2016 Hyundai Veloster Base,"37,894 mi.","$11,775"
97,2013 Hyundai Veloster Base,"21,882 mi.","$10,999"
98,2016 Hyundai Veloster Base,"71,301 mi.","$8,488"
99,2013 Hyundai Veloster Base,"35,482 mi.","$9,995"
100,2017 Hyundai Veloster Base,"43,066 mi.","$12,991"
101,2016 Hyundai Veloster Base,"27,626 mi.","$12,500"
102,2013 Hyundai Veloster Base,"64,294 mi.","$9,000"
103,2016 Hyundai Veloster Base,"24,750 mi.","$12,599"
104,2017 Hyundai Veloster Base,"41,292 mi.","$12,100"
105,2017 Hyundai Veloster,"42,210 mi.","$11,890"
106,2017 Hyundai Veloster Base,"44,661 mi.","$11,888"
107,2016 Hyundai Veloster Base,"24,924 mi.","$14,272"
108,2017 Hyundai Veloster Base,"51,688 mi.","$11,999"
109,2016 Hyundai Veloster Base,"38,292 mi.","$13,400"
110,2013 Hyundai Veloster Base,"77,849 mi.","$9,539"
111,2017 Hyundai Veloster Base,"40,556 mi.","$11,995"
112,2017 Hyundai Veloster Base,"46,917 mi.","$12,000"
113,2012 Hyundai Veloster Base,"48,753 mi.","$9,325"
114,2014 Hyundai Veloster Base,"65,248 mi.","$11,488"
115,2016 Hyundai Veloster Base,"72,950 mi.","$10,994"
116,2013 Hyundai Veloster Base,"37,809 mi.","$10,788"
117,2016 Hyundai Veloster Base,"67,216 mi.","$12,000"
118,2016 Hyundai Veloster Base,"45,375 mi.","$12,400"
119,2013 Hyundai Veloster Base,"57,871 mi.","$10,911"
120,2016 Hyundai Veloster Turbo R-Spec,"15,469 mi.","$16,498"
121,2017 Hyundai Veloster Base,"45,168 mi.","$13,500"
122,2012 Hyundai Veloster,"95,160 mi.","$7,899"
123,2017 Hyundai Veloster Value Edition,"11,960 mi.","$15,998"
124,2013 Hyundai Veloster Turbo,"70,769 mi.","$10,998"
125,2017 Hyundai Veloster Base,"44,918 mi.","$12,389"
126,2014 Hyundai Veloster Turbo,"20,777 mi.","$14,237"
127,2016 Hyundai Veloster Turbo,"47,149 mi.","$14,978"
128,2017 Hyundai Veloster,"49,398 mi.","$11,500"
129,2017 Hyundai Veloster Base,"46,646 mi.","$12,400"
130,2016 Hyundai Veloster Base,"19,461 mi.","$13,100"
131,2013 Hyundai Veloster Base,"45,745 mi.","$10,000"
132,2017 Hyundai Veloster Base,"49,805 mi.","$12,135"
