,Name,Mileage,Price
0,2005 Hyundai XG350 LOW MILES LEATHER ALLOYS,"114,088 mi.","$4,450"
1,2002 Hyundai XG350 L,"68,169 mi.","$3,995"
2,2004 Hyundai XG350 Base,"89,871 mi.","$3,495"
3,2004 Hyundai XG350,"131,534 mi.","$2,995"
4,2004 Hyundai XG350 L 4dr Sedan,"86,262 mi.","$3,999"
5,2002 Hyundai XG350 L 4dr Sedan,"132,162 mi.","$2,800"
6,2005 Hyundai XG350 L 4dr Sedan,"99,860 mi.","$3,995"
7,2002 Hyundai XG350 L,"171,538 mi.","$1,799"
8,2004 Hyundai XG350 L,"161,834 mi.","$3,995"
9,2004 Hyundai XG350 L,"54,000 mi.","$6,599"
10,2005 Hyundai XG350 L,"154,398 mi.","$5,000"
11,2003 Hyundai XG350 Base,"93,823 mi.","$2,995"
12,2004 Hyundai XG350,"126,400 mi.","$2,500"
13,2004 Hyundai XG350 L,"122,960 mi.","$4,290"
14,2005 Hyundai XG350 L,"113,311 mi.","$5,981"
15,2005 Hyundai XG350,"117,000 mi.","$2,995"
16,2005 Hyundai XG350 L 4dr Sedan,"112,343 mi.","$2,495"
17,2004 Hyundai XG350,"89,738 mi.","$2,995"
18,2004 Hyundai XG350,"187,491 mi.","$2,100"
19,2002 Hyundai XG350 L,"74,000 mi.","$5,700"
20,2004 Hyundai XG350 L,"123,000 mi.","$2,200"
21,2002 Hyundai XG350 L,"168,000 mi.",$750
22,2005 Hyundai XG350 L,"171,000 mi.","$3,000"
23,2005 Hyundai XG350,"222,902 mi.",Not Priced
24,2004 Hyundai XG350,"128,265 mi.",Not Priced
25,2005 Hyundai XG350 4dr Sdn,"146,402 mi.","$3,306"
26,2002 Hyundai XG350,"183,077 mi.",Not Priced
