,Name,Mileage,Price
0,2013 INFINITI EX37 Journey,"19,542 mi.","$18,000"
1,2013 INFINITI EX37 AWD 4dr,"66,280 mi.","$16,000"
2,2013 INFINITI EX37 Journey,"33,750 mi.","$20,695"
3,2013 INFINITI EX37 Journey,"100,497 mi.","$13,995"
4,2013 INFINITI EX37,"36,258 mi.","$18,688"
5,2013 INFINITI EX37 Journey,"21,845 mi.","$16,977"
6,2013 INFINITI EX37 Journey,"57,729 mi.","$17,895"
7,2013 INFINITI EX37 Journey,"64,555 mi.","$16,220"
8,2013 INFINITI EX37 Journey,"44,742 mi.","$18,995"
9,2013 INFINITI EX37 Journey,"14,639 mi.","$19,998"
10,2013 INFINITI EX37 Journey,"40,093 mi.","$19,990"
11,2013 INFINITI EX37 Journey,"52,546 mi.","$18,700"
